Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SCHAFFER Lauge - HOUMOLLER Jonas;159;-0,43;-0,57;0,14;0,11;77;  0,16;82;-0,60;37;0,77;40;0,08;42;0,05;40;0,10;82;
GERIN Dominique - PELLETIER Jean-Claude;223;-0,47;-0,30;-0,18;-0,32;117;  -0,02;106;-0,16;69;-0,54;48;-0,30;64;-0,14;42;0,22;106;
BARAKAT Sireen - GHANEM Marwan;240;-0,50;-0,13;-0,37;-0,41;135;  -0,33;104;-0,40;58;-0,42;77;0,07;43;-0,23;61;-0,23;104;
BRUM Paulo Roberto - SALOMAO Jeovani;160;-0,57;-0,60;0,03;-0,12;82;  0,18;77;-0,15;49;-0,09;33;-0,04;47;0,08;30;0,18;77;
GRUNDER Martin - KAPREY Imtiaz;336;-0,57;-0,05;-0,52;-0,65;164;  -0,40;171;-0,83;74;-0,50;90;0,00;82;-0,05;89;-0,38;171;
ELSHORBAGY Emad - MONIR Ahmed;208;-0,70;-0,32;-0,38;-0,09;114;  -0,73;94;0,34;52;-0,45;62;-0,61;38;0,07;56;-0,53;94;
SOUDAN Luc - GARNIER Charles;224;-0,72;-0,69;-0,03;-0,17;113;  0,12;111;-0,11;55;-0,24;58;0,18;61;0,04;50;0,01;111;
ABDUL-HADI Rana - ABDUL-JALIL Jamal;224;-0,81;-0,46;-0,35;-0,59;108;  -0,13;116;-0,80;57;-0,36;51;0,33;58;0,10;58;-0,35;116;
SUMAR Humayun - SADASHIV Ravishankar;240;-1,09;-0,63;-0,46;-0,03;105;  -0,80;135;0,90;42;-0,65;63;-0,34;73;-0,19;62;-0,53;135;
SWEIDAN Fadi - HALLASA Jawan;208;-1,64;-1,04;-0,60;-1,21;96;  -0,07;112;-1,64;47;-0,80;49;-0,44;54;0,11;58;0,09;112;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
BANERJEE Amar Nath - MAJUMDER Subir;31;1,42;1,11;0,31;0,17;18;  0,50;13;-0,27;10;0,71;8;-0,97;7;-0,86;6;1,41;13;
CAMBEROS Hector - PELLEGRINI Carlos;16;0,33;0,13;0,20;0,56;11;  -0,58;5;-0,54;5;1,46;6;-0,96;2;0,01;3;-0,20;5;
MAJUMDER Subir - ROY Rana;32;0,32;0,28;0,04;0,18;16;  -0,10;16;0,66;8;-0,29;8;0,15;6;-0,23;10;-0,01;16;
MAJUMDER Subir - MUKHERJEE Sumit;16;0,07;-0,44;0,51;0,78;11;  -0,07;5;1,02;5;0,57;6;0,12;2;-0,34;3;0,09;5;
ABD ELLATEIF Khaled Hassan - ELSHORBAGY Emad;16;-1,44;-1,02;-0,42;-1,63;7;  0,52;9;-3,26;4;0,55;3;1,59;4;0,22;5;-0,31;9;
ABD ELLATEIF Khaled Hassan - MONIR Ahmed;16;-1,74;-1,20;-0,54;-0,43;10;  -0,72;6;0,23;5;-1,09;5;-1,34;4;-0,05;2;0,18;6;

