DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
5C, E, D, 11           1   67.12   67.51   49.62
4H, W, C, 6            1   12.33    9.36   52.97
4H, W, D, 6            1   12.33    9.36   52.97
4H, W, S, 5            1    3.42    9.36   44.06
4HX, S, D, 5           1    0.00    0.68   49.32

DEFENDER, Board 10|2

Contract           Count Overall     Bid    Lead Restdef
1D, E, D, 5            2   47.95   57.81   40.14   50.00
1D, E, S, 4            2   72.60   57.81   56.58   58.22
1D, E, S, 5            1   47.95   57.81   56.58   33.56
1NT, E, C, 5           1   47.95   36.87   61.08   50.00
1NT, E, D, 4           1   72.60   36.87   49.35   86.39
2C, W, D, 7            1   33.56   56.68   50.00   26.88
2D, N, C, 9            1   41.10   41.10   50.00   50.00
2D, S, C, 8            1   60.27   56.96   50.00   53.31
2DX, S, C, 8           1   19.18   18.41   50.00   50.77
2H, S, D, 6            1   96.58   97.61   50.00   48.96
2HX, E, S, 7           1   47.95   47.95   50.00   50.00
2NT, E, D, 6           1   47.95   50.76   48.72   48.47
2NT, E, D, 7           1   33.56   50.76   48.72   34.09
2NT, E, D, 8           1    6.85   50.76   48.72    7.37
2NT, S, C, 8           1   36.99   36.99   50.00   50.00
2NT, W, D, 4           1   87.67   80.14   57.53   50.00
3C, E, D, 6            1   72.60   42.34   59.03   71.23
3C, E, D, 7            1   47.95   42.34   59.03   46.58
3C, E, S, 7            1   47.95   42.34   46.61   58.99
3C, E, S, 8            4   33.56   42.34   46.61   44.61
3CX, E, S, 7           1  100.00   71.61   45.86   82.53
3D, S, C, 10           1   35.62   74.00   50.00   11.62
3D, S, C, 7            1   96.58   74.00   50.00   72.57
3D, S, C, 8           15   82.19   74.00   50.00   58.19
3D, S, C, 9            4   41.10   74.00   50.00   17.09
3DX, S, C, 8           1   96.58   76.54   50.00   70.03
3NT, E, D, 4           1   96.58   70.21   48.97   77.40
3NT, E, D, 5           4   87.67   70.21   48.97   68.49
3NT, E, D, 6           5   72.60   70.21   48.97   53.42
3NT, E, D, 7           1   47.95   70.21   48.97   28.77
3NT, E, D, 8           2   33.56   70.21   48.97   14.38
3NT, W, S, 5           1   87.67   92.12   45.55   50.00
3NTX, S, C, 8          1   96.58   96.58   50.00   50.00
4C, E, D, 8            1   47.95   60.52   58.88   28.54
4C, E, S, 7            1   72.60   60.52   46.67   65.41
4C, E, S, 8            1   47.95   60.52   46.67   40.75
4C, W, D, 5            2   96.58   88.36   50.00   58.22
4C, W, D, 6            1   87.67   88.36   50.00   49.32
4H, E, S, 7            1   72.60   72.60   50.00   50.00
4H, W, C, 6            1   87.67   90.64   47.03   50.00
4H, W, D, 6            1   87.67   90.64   47.03   50.00
4H, W, S, 5            1   96.58   90.64   55.94   50.00
4HX, S, D, 5           1  100.00   99.32   50.00   50.68

DECLARER, Board 11|3

Contract           Count Overall     Bid    Play
2H, N, D, 5            1   94.52   94.52   50.00
2H, S, S, 6            1   95.89   94.98   50.91
2HX, N, D, 5           1   82.88   82.88   50.00
3D, E, C, 13           1    8.90    8.90   50.00
3D, E, S, 13           1    8.90    8.90   50.00
3H, N, D, 5            1   87.67   87.67   50.00
3HX, N, D, 5           1   36.99   36.99   50.00
3NT, E, C, 11          1   38.36   47.15   41.21
3NT, E, C, 12          3   47.95   47.15   50.80
3NT, E, H, 12          3   47.95   47.15   50.80
3NT, E, S, 12          3   47.95   47.15   50.80
3NT, W, H, 12          2   47.95   50.86   47.09
3NT, W, S, 12          2   47.95   50.86   47.09
3NT, W, S, 13          3   58.90   50.86   58.05
3NTX, E, S, 12         2   71.92   71.75   50.17
3S, E, D, 7            1    2.74    2.74   50.00
3SX, N, C, 9           1  100.00   65.66   84.34
3SX, N, H, 5           2   36.99   65.66   21.33
3SX, N, H, 6           3   82.88   65.66   67.22
3SX, S, H, 7           1   86.30   86.30   50.00
4D, E, H, 13           1    8.90    8.90   50.00
4D, E, S, 13           1    8.90    8.90   50.00
4HX, S, H, 5           1   32.88   34.25   48.63
4HX, S, S, 5           1   32.88   34.25   48.63
4SX, N, H, 5           1   32.88   43.64   39.24
5C, W, C, 12           1   20.55   20.55   50.00
5D, E, C, 13           4   29.45   29.45   50.00
5D, E, H, 13           2   29.45   29.45   50.00
5D, E, S, 13           6   29.45   29.45   50.00
5DX, E, H, 13          1   69.86   69.86   50.00
6D, E, C, 13           4   84.93   84.93   50.00
6D, E, H, 13           2   84.93   84.93   50.00
6D, E, S, 13          10   84.93   84.93   50.00
6D, W, S, 13           1   84.93   84.93   50.00
6DX, E, C, 13          1   97.26   97.26   50.00
6DXX, E, H, 13         1  100.00  100.00   50.00
7D, E, S, 13           1   98.63   98.63   50.00
7NTX, W, S, 11         1    1.37   39.04   12.33

DEFENDER, Board 11|3

Contract           Count Overall     Bid    Lead Restdef
2H, N, D, 5            1    5.48    5.48   50.00   50.00
2H, S, S, 6            1    4.11    5.02   49.77   49.32
2HX, N, D, 5           1   17.12   17.12   50.00   50.00
3D, E, C, 13           1   91.10   91.10   50.00   50.00
3D, E, S, 13           1   91.10   91.10   50.00   50.00
3H, N, D, 5            1   12.33   12.33   50.00   50.00
3HX, N, D, 5           1   63.01   63.01   50.00   50.00
3NT, E, C, 11          1   61.64   52.85   51.60   57.19
3NT, E, C, 12          3   52.05   52.85   51.60   47.60
3NT, E, H, 12          3   52.05   52.85   49.20   50.00
3NT, E, S, 12          3   52.05   52.85   49.20   50.00
3NT, W, H, 12          2   52.05   49.14   52.91   50.00
3NT, W, S, 12          2   52.05   49.14   49.03   53.88
3NT, W, S, 13          3   41.10   49.14   49.03   42.92
3NTX, E, S, 12         2   28.08   28.25   49.83   50.00
3S, E, D, 7            1   97.26   97.26   50.00   50.00
3SX, N, C, 9           1    0.00   34.34   15.66   50.00
3SX, N, H, 5           2   63.01   34.34   55.72   72.95
3SX, N, H, 6           3   17.12   34.34   55.72   27.05
3SX, S, H, 7           1   13.70   13.70   50.00   50.00
4D, E, H, 13           1   91.10   91.10   50.00   50.00
4D, E, S, 13           1   91.10   91.10   50.00   50.00
4HX, S, H, 5           1   67.12   65.75   51.37   50.00
4HX, S, S, 5           1   67.12   65.75   49.32   52.05
4SX, N, H, 5           1   67.12   56.36   58.71   52.05
5C, W, C, 12           1   79.45   79.45   50.00   50.00
5D, E, C, 13           4   70.55   70.55   50.00   50.00
5D, E, H, 13           2   70.55   70.55   50.00   50.00
5D, E, S, 13           6   70.55   70.55   50.00   50.00
5DX, E, H, 13          1   30.14   30.14   50.00   50.00
6D, E, C, 13           4   15.07   15.07   50.00   50.00
6D, E, H, 13           2   15.07   15.07   50.00   50.00
6D, E, S, 13          10   15.07   15.07   50.00   50.00
6D, W, S, 13           1   15.07   15.07   50.00   50.00
6DX, E, C, 13          1    2.74    2.74   50.00   50.00
6DXX, E, H, 13         1    0.00    0.00   50.00   50.00
7D, E, S, 13           1    1.37    1.37   50.00   50.00
7NTX, W, S, 11         1   98.63   60.96   37.90   99.77

DECLARER, Board 11|4

Contract           Count Overall     Bid    Play
1NT, N, H, 9           1    5.48   25.18   30.30
1NT, W, H, 4           1   56.16   56.16   50.00
1SX, W, H, 5           1   54.79   54.79   50.00
2DX, W, H, 4           1    0.00    0.00   50.00
2H, N, C, 11           3   26.03   24.66   51.37
2H, N, D, 10           1    7.53   24.66   32.88
2H, N, D, 11          13   26.03   24.66   51.37
2H, N, H, 11           1   26.03   24.66   51.37
3C, S, D, 10           1    4.11    4.11   50.00
3H, N, C, 11           3   26.03   24.66   51.37
3H, N, D, 10           1    7.53   24.66   32.88
3H, N, D, 11           4   26.03   24.66   51.37
3H, N, H, 11           1   26.03   24.66   51.37
3NT, N, C, 10          1   57.53   66.78   40.75
3NT, N, C, 11          2   92.47   66.78   75.68
3NT, N, D, 11          2   92.47   66.78   75.68
3NT, N, D, 8           1    1.37   66.78  -15.41
3NT, N, S, 10          1   57.53   66.78   40.75
3NT, S, D, 10          5   57.53   62.86   44.67
3NT, S, D, 11          2   92.47   62.86   79.60
3NT, S, D, 12          1   98.63   62.86   85.77
3NT, S, H, 10          1   57.53   62.86   44.67
3NT, S, S, 10          3   57.53   62.86   44.67
3NT, S, S, 11          2   92.47   62.86   79.60
3NT, S, S, 8           1    1.37   62.86  -11.49
3NT, S, S, 9           3   47.95   62.86   35.08
4H, N, C, 11           2   76.03   73.01   53.02
4H, N, D, 11          10   76.03   73.01   53.02
4H, N, D, 9            1    1.37   73.01  -21.64
4H, N, H, 11           2   76.03   73.01   53.02
4H, S, H, 11           1   76.03   76.03   50.00
4H, S, S, 11           1   76.03   76.03   50.00

DEFENDER, Board 11|4

Contract           Count Overall     Bid    Lead Restdef
1NT, N, H, 9           1   94.52   74.82   69.70   50.00
1NT, W, H, 4           1   43.84   43.84   50.00   50.00
1SX, W, H, 5           1   45.21   45.21   50.00   50.00
2DX, W, H, 4           1  100.00  100.00   50.00   50.00
2H, N, C, 11           3   73.97   75.34   48.63   50.00
2H, N, D, 10           1   92.47   75.34   50.55   66.57
2H, N, D, 11          13   73.97   75.34   50.55   48.08
2H, N, H, 11           1   73.97   75.34   48.63   50.00
3C, S, D, 10           1   95.89   95.89   50.00   50.00
3H, N, C, 11           3   73.97   75.34   48.63   50.00
3H, N, D, 10           1   92.47   75.34   50.55   66.57
3H, N, D, 11           4   73.97   75.34   50.55   48.08
3H, N, H, 11           1   73.97   75.34   48.63   50.00
3NT, N, C, 10          1   42.47   33.22   35.96   73.29
3NT, N, C, 11          2    7.53   33.22   35.96   38.36
3NT, N, D, 11          2    7.53   33.22   54.68   19.63
3NT, N, D, 8           1   98.63   33.22   54.68  110.73
3NT, N, S, 10          1   42.47   33.22   59.25   50.00
3NT, S, D, 10          5   42.47   37.14   41.46   63.87
3NT, S, D, 11          2    7.53   37.14   41.46   28.94
3NT, S, D, 12          1    1.37   37.14   41.46   22.77
3NT, S, H, 10          1   42.47   37.14   55.33   50.00
3NT, S, S, 10          3   42.47   37.14   57.00   48.33
3NT, S, S, 11          2    7.53   37.14   57.00   13.39
3NT, S, S, 8           1   98.63   37.14   57.00  104.49
3NT, S, S, 9           3   52.05   37.14   57.00   57.91
4H, N, C, 11           2   23.97   26.99   46.98   50.00
4H, N, D, 11          10   23.97   26.99   51.21   45.78
4H, N, D, 9            1   98.63   26.99   51.21  120.43
4H, N, H, 11           2   23.97   26.99   46.98   50.00
4H, S, H, 11           1   23.97   23.97   50.00   50.00
4H, S, S, 11           1   23.97   23.97   50.00   50.00

DECLARER, Board 12|5

Contract           Count Overall     Bid    Play
1H, S, C, 7            1   91.78   89.59   52.19
1NT, E, H, 8           1   32.88   26.01   56.87
1NT, S, S, 7           1   93.84   93.84   50.00
1S, E, D, 9            1   65.75   63.84   51.91
2C, N, S, 8            1   93.84   93.84   50.00
2CX, N, S, 8           1   97.95   97.95   50.00
2CX, S, S, 8           1   97.95   98.97   48.97
2H, N, C, 7            3   80.82   80.82   50.00
2H, N, D, 7            1   80.82   80.82   50.00
2H, S, C, 6            2    1.37   64.93  -13.56
2H, S, C, 7            7   80.82   64.93   65.89
2NT, E, H, 8           2   32.88   25.67   57.21
2S, E, C, 8            2   29.45   63.84   15.61
2S, E, C, 9           13   65.75   63.84   51.91
2S, E, D, 9           13   65.75   63.84   51.91
2S, E, H, 9            2   65.75   63.84   51.91
2S, E, S, 9            4   65.75   63.84   51.91
2S, W, C, 9            1   65.75   65.75   50.00
2S, W, D, 9            1   65.75   65.75   50.00
2S, W, H, 9            5   65.75   65.75   50.00
3C, N, S, 8            2   80.82   80.82   50.00
3C, S, C, 9            1   95.89   88.36   57.53
3CX, N, S, 8           1    1.37    1.37   50.00
3NT, E, H, 5           1    0.00    7.19   42.81
3NT, W, H, 8           1    9.59    9.59   50.00
3S, E, C, 9            1   65.75   62.80   52.96
3S, E, H, 9            1   65.75   62.80   52.96
3S, E, S, 9            1   65.75   62.80   52.96
3S, W, H, 9            2   65.75   65.75   50.00

DEFENDER, Board 12|5

Contract           Count Overall     Bid    Lead Restdef
1H, S, C, 7            1    8.22   10.41   50.00   47.81
1NT, E, H, 8           1   67.12   73.99   50.00   43.13
1NT, S, S, 7           1    6.16    6.16   50.00   50.00
1S, E, D, 9            1   34.25   36.16   48.09   50.00
2C, N, S, 8            1    6.16    6.16   50.00   50.00
2CX, N, S, 8           1    2.05    2.05   50.00   50.00
2CX, S, S, 8           1    2.05    1.03   51.03   50.00
2H, N, C, 7            3   19.18   19.18   50.00   50.00
2H, N, D, 7            1   19.18   19.18   50.00   50.00
2H, S, C, 6            2   98.63   35.07   50.00  113.56
2H, S, C, 7            7   19.18   35.07   50.00   34.11
2NT, E, H, 8           2   67.12   74.33   50.00   42.79
2S, E, C, 8            2   70.55   36.16   52.63   81.76
2S, E, C, 9           13   34.25   36.16   52.63   45.46
2S, E, D, 9           13   34.25   36.16   48.09   50.00
2S, E, H, 9            2   34.25   36.16   48.09   50.00
2S, E, S, 9            4   34.25   36.16   48.09   50.00
2S, W, C, 9            1   34.25   34.25   50.00   50.00
2S, W, D, 9            1   34.25   34.25   50.00   50.00
2S, W, H, 9            5   34.25   34.25   50.00   50.00
3C, N, S, 8            2   19.18   19.18   50.00   50.00
3C, S, C, 9            1    4.11   11.64   42.47   50.00
3CX, N, S, 8           1   98.63   98.63   50.00   50.00
3NT, E, H, 5           1  100.00   92.81   50.00   57.19
3NT, W, H, 8           1   90.41   90.41   50.00   50.00
3S, E, C, 9            1   34.25   37.20   54.06   42.98
3S, E, H, 9            1   34.25   37.20   47.04   50.00
3S, E, S, 9            1   34.25   37.20   47.04   50.00
3S, W, H, 9            2   34.25   34.25   50.00   50.00

DECLARER, Board 12|6

Contract           Count Overall     Bid    Play
1NT, E, S, 10          1   95.89   48.56   97.33
1NT, E, S, 6           5   15.75   48.56   17.20
1NT, E, S, 7          16   56.16   48.56   57.61
1NT, E, S, 8           1   86.30   48.56   87.74
1NT, W, S, 6           1   15.75   58.37    7.38
1NT, W, S, 7           5   56.16   58.37   47.79
1NT, W, S, 8           1   86.30   58.37   77.93
2C, E, S, 9            1   80.82   80.82   50.00
2D, W, S, 10           1   91.10   88.53   52.57
2H, W, S, 9            1   94.52   94.52   50.00
2NT, E, D, 6           1    3.42   18.05   35.37
2NT, E, S, 7           3   15.75   18.05   47.70
2NT, W, H, 8           1   86.30   30.06  106.24
2S, N, D, 7            1   67.12   88.83   28.30
2S, S, H, 8            2   93.84   90.50   53.34
2SX, S, S, 8           1  100.00   90.75   59.25
3C, W, S, 8            2   15.75   15.75   50.00
3D, E, C, 10           1   91.10   82.88   58.22
3D, E, H, 9            1   80.82   82.88   47.95
3D, E, S, 9            2   80.82   82.88   47.95
3D, W, S, 10           2   91.10   88.53   52.57
3D, W, S, 9            1   80.82   88.53   42.29
3NT, E, S, 6           1    1.37    6.80   44.57
3NT, W, S, 7           1    3.42    5.94   47.49
3S, N, C, 8            2   67.12   59.42   57.71
3S, N, D, 7            1   26.03   59.42   16.61
3S, N, D, 8            7   67.12   59.42   57.71
3S, N, S, 8            1   67.12   59.42   57.71
3S, S, D, 8            1   67.12   61.99   55.14
3S, S, H, 8            1   67.12   61.99   55.14
3SX, N, D, 7           1    1.37   21.40   29.97
3SX, N, D, 8           2   26.03   21.40   54.62
3SX, S, D, 8           1   26.03   22.95   53.08
3SX, S, S, 7           1    1.37   22.95   28.42
3SX, S, S, 8           1   26.03   22.95   53.08
4D, E, S, 9            1   15.75   30.82   34.93
4SX, N, D, 8           1    1.37    1.11   50.26

DEFENDER, Board 12|6

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 10          1    4.11   51.44   48.79    3.88
1NT, E, S, 6           5   84.25   51.44   48.79   84.02
1NT, E, S, 7          16   43.84   51.44   48.79   43.61
1NT, E, S, 8           1   13.70   51.44   48.79   13.47
1NT, W, S, 6           1   84.25   41.63   53.49   89.13
1NT, W, S, 7           5   43.84   41.63   53.49   48.72
1NT, W, S, 8           1   13.70   41.63   53.49   18.58
2C, E, S, 9            1   19.18   19.18   50.00   50.00
2D, W, S, 10           1    8.90   11.47   50.00   47.43
2H, W, S, 9            1    5.48    5.48   50.00   50.00
2NT, E, D, 6           1   96.58   81.95   64.63   50.00
2NT, E, S, 7           3   84.25   81.95   49.46   52.84
2NT, W, H, 8           1   13.70   69.94   -6.24   50.00
2S, N, D, 7            1   32.88   11.17   51.16   70.55
2S, S, H, 8            2    6.16    9.50   46.66   50.00
2SX, S, S, 8           1    0.00    9.25   65.41   25.34
3C, W, S, 8            2   84.25   84.25   50.00   50.00
3D, E, C, 10           1    8.90   17.12   41.78   50.00
3D, E, H, 9            1   19.18   17.12   52.05   50.00
3D, E, S, 9            2   19.18   17.12   52.05   50.00
3D, W, S, 10           2    8.90   11.47   50.00   47.43
3D, W, S, 9            1   19.18   11.47   50.00   57.71
3NT, E, S, 6           1   98.63   93.20   49.80   55.63
3NT, W, S, 7           1   96.58   94.06   51.23   51.28
3S, N, C, 8            2   32.88   40.58   42.29   50.00
3S, N, D, 7            1   73.97   40.58   51.78   81.61
3S, N, D, 8            7   32.88   40.58   51.78   40.52
3S, N, S, 8            1   32.88   40.58   42.29   50.00
3S, S, D, 8            1   32.88   38.01   44.86   50.00
3S, S, H, 8            1   32.88   38.01   44.86   50.00
3SX, N, D, 7           1   98.63   78.60   51.07   68.97
3SX, N, D, 8           2   73.97   78.60   51.07   44.31
3SX, S, D, 8           1   73.97   77.05   46.92   50.00
3SX, S, S, 7           1   98.63   77.05   55.14   66.44
3SX, S, S, 8           1   73.97   77.05   55.14   41.78
4D, E, S, 9            1   84.25   69.18   65.07   50.00
4SX, N, D, 8           1   98.63   98.89   50.06   49.68

DECLARER, Board 13|7

Contract           Count Overall     Bid    Play
2S, N, C, 10           1   29.45   28.12   51.33
2S, N, D, 10          11   29.45   28.12   51.33
2S, N, D, 9            2    6.16   28.12   28.04
2S, N, S, 10           1   29.45   28.12   51.33
2S, S, D, 10           1   29.45   29.45   50.00
3D, W, D, 9            1  100.00   91.28   58.72
3D, W, S, 8            1   95.89   91.28   54.61
3DX, E, S, 8           1   41.10   41.10   50.00
3DX, W, D, 8           1   41.10   45.58   45.52
3DX, W, S, 7           1   31.51   45.58   35.93
3DX, W, S, 8           5   41.10   45.58   45.52
3H, N, D, 10           1   29.45   51.54   27.91
3H, N, D, 11           2   58.90   51.54   57.36
3H, S, D, 11           2   58.90   43.40   65.50
3S, N, D, 10          15   29.45   28.12   51.33
3S, N, S, 10           2   29.45   28.12   51.33
3SX, N, D, 10          1   98.63   98.55   50.08
4DX, W, S, 8           2   31.51   29.76   51.75
4H, N, D, 11           1   91.10   87.67   53.42
4H, S, D, 10           5   77.40   78.02   49.38
4H, S, D, 11           6   91.10   78.02   63.08
4H, S, D, 9            1    2.05   78.02  -25.97
4H, S, H, 9            1    2.05   78.02  -25.97
4H, S, S, 10           3   77.40   78.02   49.38
4H, S, S, 11           3   91.10   78.02   63.08
4HX, S, S, 11          1  100.00   89.93   60.07
4S, N, D, 10           2   77.40   73.09   54.31

DEFENDER, Board 13|7

Contract           Count Overall     Bid    Lead Restdef
2S, N, C, 10           1   70.55   71.88   48.67   50.00
2S, N, D, 10          11   70.55   71.88   50.17   48.50
2S, N, D, 9            2   93.84   71.88   50.17   71.79
2S, N, S, 10           1   70.55   71.88   48.67   50.00
2S, S, D, 10           1   70.55   70.55   50.00   50.00
3D, W, D, 9            1    0.00    8.72   43.34   47.95
3D, W, S, 8            1    4.11    8.72   51.48   43.91
3DX, E, S, 8           1   58.90   58.90   50.00   50.00
3DX, W, D, 8           1   58.90   54.42   25.03   79.45
3DX, W, S, 7           1   68.49   54.42   55.55   58.52
3DX, W, S, 8           5   58.90   54.42   55.55   48.93
3H, N, D, 10           1   70.55   48.46   50.00   72.09
3H, N, D, 11           2   41.10   48.46   50.00   42.64
3H, S, D, 11           2   41.10   56.60   48.78   35.71
3S, N, D, 10          15   70.55   71.88   50.17   48.50
3S, N, S, 10           2   70.55   71.88   48.67   50.00
3SX, N, D, 10          1    1.37    1.45   50.01   49.91
4DX, W, S, 8           2   68.49   70.24   51.45   46.80
4H, N, D, 11           1    8.90   12.33   50.00   46.58
4H, S, D, 10           5   22.60   21.98   48.18   52.45
4H, S, D, 11           6    8.90   21.98   48.18   38.75
4H, S, D, 9            1   97.95   21.98   48.18  127.79
4H, S, H, 9            1   97.95   21.98  125.97   50.00
4H, S, S, 10           3   22.60   21.98   42.79   57.83
4H, S, S, 11           3    8.90   21.98   42.79   44.13
4HX, S, S, 11          1    0.00   10.07   41.08   48.84
4S, N, D, 10           2   22.60   26.91   50.56   45.14

DECLARER, Board 13|8

Contract           Count Overall     Bid    Play
3D, W, C, 12           1   57.53   46.36   61.18
3D, W, S, 10           2   43.15   46.36   46.79
3NT, E, C, 11         13   83.56   82.48   51.08
3NT, E, C, 12          2   93.84   82.48   61.36
3NT, E, C, 13          1   95.89   82.48   63.41
3NT, E, H, 9           3   65.75   82.48   33.27
3NT, W, H, 10          1   73.97   73.97   50.00
4D, E, C, 10           1   43.15   43.15   50.00
4D, E, S, 10           1   43.15   43.15   50.00
4D, W, C, 10           7   43.15   46.36   46.79
4D, W, H, 10           4   43.15   46.36   46.79
4D, W, S, 10           3   43.15   46.36   46.79
4D, W, S, 11           1   56.16   46.36   59.81
4HX, E, C, 7           1    0.00    0.00   50.00
4SX, N, C, 4           1    0.68    2.05   48.63
4SX, N, D, 5           1    2.74    2.05   50.68
5D, E, C, 10           3   16.44   16.44   50.00
5D, E, D, 10           1   16.44   16.44   50.00
5D, E, H, 10           3   16.44   16.44   50.00
5D, W, C, 10           3   16.44   28.64   37.80
5D, W, C, 11           2   65.75   28.64   87.11
5D, W, H, 10           9   16.44   28.64   37.80
5D, W, H, 11           5   65.75   28.64   87.11
5D, W, S, 10           2   16.44   28.64   37.80
5D, W, S, 11           1   65.75   28.64   87.11
5DX, W, C, 10          1    1.37   24.44   26.93
5SX, N, C, 5           1    0.68    0.46   50.23

DEFENDER, Board 13|8

Contract           Count Overall     Bid    Lead Restdef
3D, W, C, 12           1   42.47   53.64   50.32   38.50
3D, W, S, 10           2   56.85   53.64   50.32   52.89
3NT, E, C, 11         13   16.44   17.52   46.86   52.05
3NT, E, C, 12          2    6.16   17.52   46.86   41.78
3NT, E, C, 13          1    4.11   17.52   46.86   39.73
3NT, E, H, 9           3   34.25   17.52   66.73   50.00
3NT, W, H, 10          1   26.03   26.03   50.00   50.00
4D, E, C, 10           1   56.85   56.85   50.00   50.00
4D, E, S, 10           1   56.85   56.85   50.00   50.00
4D, W, C, 10           7   56.85   53.64   50.32   52.89
4D, W, H, 10           4   56.85   53.64   49.59   53.61
4D, W, S, 10           3   56.85   53.64   50.32   52.89
4D, W, S, 11           1   43.84   53.64   50.32   39.88
4HX, E, C, 7           1  100.00  100.00   50.00   50.00
4SX, N, C, 4           1   99.32   97.95   50.34   51.03
4SX, N, D, 5           1   97.26   97.95   49.32   50.00
5D, E, C, 10           3   83.56   83.56   50.00   50.00
5D, E, D, 10           1   83.56   83.56   50.00   50.00
5D, E, H, 10           3   83.56   83.56   50.00   50.00
5D, W, C, 10           3   83.56   71.36   51.12   61.08
5D, W, C, 11           2   34.25   71.36   51.12   11.77
5D, W, H, 10           9   83.56   71.36   48.51   63.70
5D, W, H, 11           5   34.25   71.36   48.51   14.38
5D, W, S, 10           2   83.56   71.36   51.25   60.96
5D, W, S, 11           1   34.25   71.36   51.25   11.64
5DX, W, C, 10          1   98.63   75.56   52.80   70.27
5SX, N, C, 5           1   99.32   99.54   50.11   49.66

DECLARER, Board 14|10

Contract           Count Overall     Bid    Play
3NT, E, C, 12          2   76.71   42.12   84.59
3NT, E, D, 11          2    7.53   42.12   15.41
3NT, E, S, 11          1    7.53   42.12   15.41
3NT, E, S, 12          1   76.71   42.12   84.59
3NT, W, S, 11          5    7.53    7.53   50.00
4H, E, C, 12          14   43.84   43.84   50.00
4H, E, D, 12          21   43.84   43.84   50.00
4H, E, H, 12           1   43.84   43.84   50.00
4H, E, S, 12           3   43.84   43.84   50.00
4H, W, C, 12           2   43.84   43.84   50.00
4H, W, D, 12           2   43.84   43.84   50.00
5H, E, C, 12           1   43.84   43.84   50.00
5H, E, S, 12           1   43.84   43.84   50.00
6H, E, C, 12           2   89.73   89.73   50.00
6H, E, D, 12           3   89.73   89.73   50.00
