DECLARER, Board 10|19

Contract           Count Overall     Bid    Play
1NT, E, S, 8           1   55.39   55.39   50.00
3H, E, S, 7            1   98.69   38.76   41.35  118.59
3H, E, S, 9            5   22.40   38.76   41.35   42.30
3H, W, C, 9            2   22.27   29.74   40.67   51.86
3H, W, D, 8            1   89.48   29.74   54.14  105.60
3H, W, D, 9            1   22.27   29.74   54.14   38.39
3NT, N, D, 9           1    0.00   87.12  -37.12   50.00

DECLARER, Board 10|20

Contract           Count Overall     Bid    Play
3NT, N, C, 11          1   39.80   44.82   44.98
3NT, N, H, 11          1   39.80   44.82   44.98
3NT, N, S, 12          5   67.42   44.82   72.60
3NT, S, C, 12          1   67.33   49.20   68.13
3NT, S, H, 11          3   40.14   49.20   40.93
3NT, S, S, 11          2   40.14   49.20   40.93
3NT, S, S, 12          2   67.33   49.20   68.13
4H, N, C, 12           1   53.61   36.01   67.60
4H, N, D, 11           1   30.14   36.01   44.13
4H, S, C, 12           1   54.18   49.71   54.47
4H, S, D, 11           2   30.71   49.71   31.00
4H, S, S, 11           1   30.71   49.71   31.00
4H, S, S, 12           4   54.18   49.71   54.47
5H, S, D, 12           1   54.18   49.71   54.47
6H, N, C, 11           2   12.96   30.75   32.21
6H, N, D, 11           2   12.96   30.75   32.21
6H, N, S, 11           1   12.96   30.75   32.21
6H, S, C, 12           4   84.71   71.15   63.56
6H, S, D, 12           1   84.71   71.15   63.56
6H, S, S, 11           1   13.53   71.15   -7.62
6H, S, S, 12           6   84.71   71.15   63.56
6NT, N, D, 10          4    2.81   43.90    8.91
6NT, N, D, 9           1    0.34   43.90    6.44
6NT, S, C, 11          1   13.05   41.32   21.72
7H, N, D, 12           1   11.94    4.90   57.04

DEFENDER, Board 10|20

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 11          1   60.20   55.18   54.00   51.02
3NT, N, H, 11          1   60.20   55.18   54.00   51.02
3NT, N, S, 12          5   32.58   55.18   24.41   52.99
3NT, S, C, 12          1   32.67   50.80   43.59   38.28
3NT, S, H, 11          3   59.86   50.80   58.39   50.68
3NT, S, S, 11          2   59.86   50.80   43.59   65.48
3NT, S, S, 12          2   32.67   50.80   43.59   38.28
4H, N, C, 12           1   46.39   63.99   47.91   34.49
4H, N, D, 11           1   69.86   63.99   50.04   55.83
4H, S, C, 12           1   45.82   50.29   44.61   50.92
4H, S, D, 11           2   69.29   50.29   57.36   61.64
4H, S, S, 11           1   69.29   50.29   48.86   70.14
4H, S, S, 12           4   45.82   50.29   48.86   46.67
5H, S, D, 12           1   45.82   50.29   57.36   38.17
6H, N, C, 11           2   87.04   69.25   39.26   78.53
6H, N, D, 11           2   87.04   69.25   45.30   72.50
6H, N, S, 11           1   87.04   69.25   63.41   54.39
6H, S, C, 12           4   15.29   28.85   31.35   55.09
6H, S, D, 12           1   15.29   28.85   67.58   18.87
6H, S, S, 11           1   86.47   28.85   43.43  114.19
6H, S, S, 12           6   15.29   28.85   43.43   43.02
6NT, N, D, 10          4   97.19   56.10   89.82   51.28
6NT, N, D, 9           1   99.66   56.10   89.82   53.74
6NT, S, C, 11          1   86.95   58.68   32.65   95.63
7H, N, D, 12           1   88.06   95.10   46.74   46.22

DECLARER, Board 11|21

Contract           Count Overall     Bid    Play
3NT, E, C, 11          1   47.70   82.91   14.80
3NT, E, C, 12          3   94.64   82.91   61.73
3NT, W, H, 12          1   94.90   94.90   50.00
4H, E, D, 11           1   22.45   22.45   50.00
4S, E, C, 11           1   22.97   47.24   25.73
4S, E, C, 12           3   68.91   47.24   71.68
4S, E, D, 11          16   22.97   47.24   25.73
4S, E, D, 12          13   68.91   47.24   71.68
4S, E, D, 13           1   99.00   47.24  101.77
4S, E, H, 11           3   22.97   47.24   25.73
4S, E, H, 12           4   68.91   47.24   71.68
4S, W, C, 12           1   68.71   38.10   80.61
4S, W, H, 11           2   22.79   38.10   34.69

DEFENDER, Board 11|21

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 11          1   52.30   17.09   50.00   85.20
3NT, E, C, 12          3    5.36   17.09   50.00   38.27
3NT, W, H, 12          1    5.10    5.10   50.00   50.00
4H, E, D, 11           1   77.55   77.55   50.00   50.00
4S, E, C, 11           1   77.03   52.76   39.58   84.68
4S, E, C, 12           3   31.09   52.76   39.58   38.74
4S, E, D, 11          16   77.03   52.76   51.86   72.40
4S, E, D, 12          13   31.09   52.76   51.86   26.46
4S, E, D, 13           1    1.00   52.76   51.86   -3.63
4S, E, H, 11           3   77.03   52.76   47.97   76.30
4S, E, H, 12           4   31.09   52.76   47.97   30.36
4S, W, C, 12           1   31.29   61.90   18.71   50.68
4S, W, H, 11           2   77.21   61.90   65.65   49.66

DECLARER, Board 11|22

Contract           Count Overall     Bid    Play
2S, E, C, 7            2   47.09   70.63   26.46
2S, E, H, 10           2   83.70   70.63   63.07
2S, E, H, 9            1   75.28   70.63   54.65
3C, N, H, 9            1   62.67   52.69   59.98
3CX, N, H, 10          1   97.72   54.61   93.11
3CX, N, H, 7           3    9.61   54.61    5.00
3CX, S, S, 10          2   97.75   70.62   77.13
3CX, S, S, 6           1    5.47   70.62  -15.15
3CX, S, S, 9           3   85.44   70.62   64.82
3D, S, D, 9            1   63.11   63.38   49.73
3D, S, S, 9            1   63.11   63.38   49.73
3DX, S, S, 10          1   97.72   87.39   60.33
3DX, S, S, 9           2   85.67   87.39   48.28
3H, E, C, 7            1   30.82   64.52   16.30
3H, E, C, 9            1   75.30   64.52   60.78
3NT, E, C, 6           1   24.50   24.50   50.00
3S, E, C, 8            1   46.64   61.88   34.76
3S, E, H, 7            1   30.79   61.88   18.91
3S, E, H, 8            2   46.64   61.88   34.76
3S, E, H, 9            4   75.28   61.88   63.40
4C, S, S, 7            1   20.04   43.13   26.92
4CX, N, H, 9           2   37.71   31.84   55.87
4CX, S, S, 8           1    9.62   39.13   20.49
4CX, S, S, 9           4   37.92   39.13   48.79
4D, S, S, 9            1   45.38   48.18   47.19
4DX, S, S, 9           1   38.15   46.18   41.97
4H, E, C, 8            1   30.48   48.62   31.86
4H, E, C, 9            2   46.09   48.62   47.47
4H, E, D, 10           1   97.62   48.62   99.00
4H, W, H, 9            1   46.26   46.26   50.00
4S, E, D, 10           1   97.70   51.16   96.54
4S, E, H, 10           1   97.70   51.16   96.54
4SX, E, C, 8           1    6.66   35.76   20.90

DEFENDER, Board 11|22

Contract           Count Overall     Bid    Lead Restdef
2S, E, C, 7            2   52.91   29.37   66.71   56.83
2S, E, H, 10           2   16.30   29.37   49.36   37.58
2S, E, H, 9            1   24.72   29.37   49.36   46.00
3C, N, H, 9            1   37.33   47.31   45.17   44.85
3CX, N, H, 10          1    2.28   45.39   49.21    7.67
3CX, N, H, 7           3   90.39   45.39   49.21   95.78
3CX, S, S, 10          2    2.25   29.38   49.62   23.26
3CX, S, S, 6           1   94.53   29.38   49.62  115.54
3CX, S, S, 9           3   14.56   29.38   49.62   35.56
3D, S, D, 9            1   36.89   36.62   43.99   56.28
3D, S, S, 9            1   36.89   36.62   43.56   56.72
3DX, S, S, 10          1    2.28   12.61   49.81   39.86
3DX, S, S, 9           2   14.33   12.61   49.81   51.91
3H, E, C, 7            1   69.18   35.48   57.78   75.92
3H, E, C, 9            1   24.70   35.48   57.78   31.43
3NT, E, C, 6           1   75.50   75.50   54.09   45.91
3S, E, C, 8            1   53.36   38.12   78.72   36.52
3S, E, H, 7            1   69.21   38.12   46.58   84.51
3S, E, H, 8            2   53.36   38.12   46.58   68.66
3S, E, H, 9            4   24.72   38.12   46.58   40.03
4C, S, S, 7            1   79.96   56.87   46.12   76.96
4CX, N, H, 9           2   62.29   68.16   48.58   45.55
4CX, S, S, 8           1   90.38   60.87   48.54   80.97
4CX, S, S, 9           4   62.08   60.87   48.54   52.67
4D, S, S, 9            1   54.62   51.82   45.37   57.44
4DX, S, S, 9           1   61.85   53.82   46.84   61.20
4H, E, C, 8            1   69.52   51.38   64.54   53.61
4H, E, C, 9            2   53.91   51.38   64.54   37.99
4H, E, D, 10           1    2.38   51.38    0.66   50.34
4H, W, H, 9            1   53.74   53.74   54.42   45.58
4S, E, D, 10           1    2.30   48.84    3.20   50.26
4S, E, H, 10           1    2.30   48.84   49.12    4.34
4SX, E, C, 8           1   93.34   64.24   81.67   47.42

DECLARER, Board 12|23

Contract           Count Overall     Bid    Play
3S, E, H, 10           1   25.50   25.50   50.00
3S, W, C, 10           1   25.25   24.39   50.86
4H, N, S, 8            1   71.86   75.61   46.25
4H, N, S, 9            1   78.43   75.61   52.81
4H, S, S, 9            1   78.87   78.87   50.00
4S, E, H, 10           2   62.88   62.88   50.00
4S, W, C, 10          21   62.63   49.13   63.51
4S, W, C, 11           1   89.99   49.13   90.86
4S, W, C, 8            1    2.21   49.13    3.08
4S, W, C, 9            7   11.86   49.13   12.73
4S, W, D, 10           2   62.63   49.13   63.51
4S, W, D, 9            1   11.86   49.13   12.73
4S, W, H, 10           2   62.63   49.13   63.51
4SX, E, C, 10          1   94.71   94.71   50.00
4SX, E, H, 10          1   94.71   94.71   50.00
4SX, W, H, 8           1    0.00   69.50  -19.50
5H, N, S, 8            1   69.94   70.45   49.48
5HX, N, C, 8           1    1.37   38.39   12.98
5HX, N, S, 9           3   66.15   38.39   77.76

DEFENDER, Board 12|23

Contract           Count Overall     Bid    Lead Restdef
3S, E, H, 10           1   74.50   74.50   49.99   50.01
3S, W, C, 10           1   74.75   75.61   49.58   49.56
4H, N, S, 8            1   28.14   24.39   49.42   54.33
4H, N, S, 9            1   21.57   24.39   49.42   47.76
4H, S, S, 9            1   21.13   21.13   50.30   49.70
4S, E, H, 10           2   37.12   37.12   47.58   52.42
4S, W, C, 10          21   37.37   50.87   47.15   39.34
4S, W, C, 11           1   10.01   50.87   47.15   11.98
4S, W, C, 8            1   97.79   50.87   47.15   99.77
4S, W, C, 9            7   88.14   50.87   47.15   90.12
4S, W, D, 10           2   37.37   50.87   51.85   34.64
4S, W, D, 9            1   88.14   50.87   51.85   85.42
4S, W, H, 10           2   37.37   50.87   54.91   31.58
4SX, E, C, 10          1    5.29    5.29   47.77   52.23
4SX, E, H, 10          1    5.29    5.29   47.77   52.23
4SX, W, H, 8           1  100.00   30.50   54.87  114.63
5H, N, S, 8            1   30.06   29.55   49.71   50.81
5HX, N, C, 8           1   98.63   61.61   88.39   48.63
5HX, N, S, 9           3   33.85   61.61   44.85   27.39

DECLARER, Board 12|24

Contract           Count Overall     Bid    Play
1NT, E, C, 7           1   51.30   67.01   34.29
1NTX, S, C, 5          1   10.24   43.93   16.32
1NTX, S, H, 5          2   10.24   43.93   16.32
1NTX, S, H, 6          2   40.50   43.93   46.58
1NTX, S, S, 7          2   97.88   43.93  103.95
2C, W, C, 7            2   30.75   49.69   31.07
2C, W, C, 8            4   50.69   49.69   51.00
2C, W, C, 9            2   65.13   49.69   65.44
2D, E, C, 6            1   10.66   18.12   42.54
2D, E, C, 7            1   29.31   18.12   61.19
2D, E, H, 6            2   10.66   18.12   42.54
2D, E, S, 7            1   29.31   18.12   61.19
2D, W, C, 8            1   50.69   50.69   50.00
2DX, S, S, 5           1    1.70    6.78   44.92
2DX, S, S, 6           2    9.32    6.78   52.54
2H, E, H, 7            1   29.92   29.92   50.00
2H, W, D, 8            1   65.97   65.97   50.00
2HX, N, S, 5           1    1.02    1.02   50.00
2NT, E, C, 7           1   30.53   58.70   21.83
2NT, E, C, 8           3   75.99   58.70   67.28
2NT, E, C, 9           1   82.72   58.70   74.02
2NT, E, H, 8           1   75.99   58.70   67.28
2NT, E, H, 9           1   82.72   58.70   74.02
2NT, E, S, 7           2   30.53   58.70   21.83
2NT, E, S, 8           2   75.99   58.70   67.28
2S, W, C, 7            1   30.26   41.94   38.32
2S, W, D, 8            1   65.29   41.94   73.35
2SX, W, D, 7           1   10.59   39.04   21.56
3C, E, C, 9            1   65.97   65.97   50.00
3C, W, C, 8            2   29.92   32.90   47.02
3H, W, D, 8            1   29.92   29.92   50.00
3NT, E, H, 7           1   10.87   30.84   30.02
3NT, E, S, 7           1   10.87   30.84   30.02
3NT, E, S, 8           1   29.65   30.84   48.80
5C, W, D, 8            1    4.08    4.31   49.77

DEFENDER, Board 12|24

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 7           1   48.70   32.99   47.96   67.75
1NTX, S, C, 5          1   89.76   56.07   85.76   47.92
1NTX, S, H, 5          2   89.76   56.07   68.93   64.76
1NTX, S, H, 6          2   59.50   56.07   68.93   34.50
1NTX, S, S, 7          2    2.12   56.07   -5.05   51.10
2C, W, C, 7            2   69.25   50.31   50.51   68.43
2C, W, C, 8            4   49.31   50.31   50.51   48.50
2C, W, C, 9            2   34.87   50.31   50.51   34.05
2D, E, C, 6            1   89.34   81.88   47.20   60.26
2D, E, C, 7            1   70.69   81.88   47.20   41.61
2D, E, H, 6            2   89.34   81.88   56.90   50.56
2D, E, S, 7            1   70.69   81.88   37.51   51.30
2D, W, C, 8            1   49.31   49.31   50.69   49.31
2DX, S, S, 5           1   98.30   93.22   51.00   54.08
2DX, S, S, 6           2   90.68   93.22   51.00   46.46
2H, E, H, 7            1   70.08   70.08   49.31   50.69
2H, W, D, 8            1   34.03   34.03   50.66   49.34
2HX, N, S, 5           1   98.98   98.98   50.00   50.00
2NT, E, C, 7           1   69.47   41.30   46.12   82.05
2NT, E, C, 8           3   24.01   41.30   46.12   36.60
2NT, E, C, 9           1   17.28   41.30   46.12   29.86
2NT, E, H, 8           1   24.01   41.30   44.76   37.96
2NT, E, H, 9           1   17.28   41.30   44.76   31.22
2NT, E, S, 7           2   69.47   41.30   55.13   73.04
2NT, E, S, 8           2   24.01   41.30   55.13   27.59
2S, W, C, 7            1   69.74   58.06   61.32   50.35
2S, W, D, 8            1   34.71   58.06   43.98   32.67
2SX, W, D, 7           1   89.41   60.96   35.42   93.02
3C, E, C, 9            1   34.03   34.03   50.66   49.34
3C, W, C, 8            2   70.08   67.10   49.22   53.75
3H, W, D, 8            1   70.08   70.08   49.31   50.69
3NT, E, H, 7           1   89.13   69.16   34.90   85.08
3NT, E, S, 7           1   89.13   69.16   59.93   60.05
3NT, E, S, 8           1   70.35   69.16   59.93   41.27
5C, W, D, 8            1   95.92   95.69   50.23   50.00

DECLARER, Board 13|25

Contract           Count Overall     Bid    Play
2H, N, C, 10           1   44.23   44.23   50.00
2H, S, C, 10          16   44.25   44.82   49.44
2H, S, C, 11           1   65.15   44.82   70.33
2NT, E, H, 7           1   78.68   78.68   50.00
2S, N, H, 5            1    0.91    9.48   41.43
2S, N, H, 7            8   10.55    9.48   51.07
2S, S, C, 7            1   10.66   10.66   50.00
3H, S, C, 10           4   44.25   44.82   49.44
4H, S, C, 10          15   83.24   82.20   51.05
4H, S, C, 11           1   99.14   82.20   66.94
4H, S, C, 9            1   11.65   82.20  -20.54

DEFENDER, Board 13|25

Contract           Count Overall     Bid    Lead Restdef
2H, N, C, 10           1   55.77   55.77   49.33   50.67
2H, S, C, 10          16   55.75   55.18   49.29   51.28
2H, S, C, 11           1   34.85   55.18   49.29   30.38
2NT, E, H, 7           1   21.32   21.32   51.13   48.87
2S, N, H, 5            1   99.09   90.52   49.50   59.07
2S, N, H, 7            8   89.45   90.52   49.50   49.43
2S, S, C, 7            1   89.34   89.34   49.44   50.56
3H, S, C, 10           4   55.75   55.18   49.29   51.28
4H, S, C, 10          15   16.76   17.80   49.57   49.38
4H, S, C, 11           1    0.86   17.80   49.57   33.49
4H, S, C, 9            1   88.35   17.80   49.57  120.97

DECLARER, Board 13|26

Contract           Count Overall     Bid    Play
1NTX, S, S, 8          1   88.34   88.34   50.00
1S, E, C, 7            1   79.44   83.52   45.92
2CX, S, S, 10          1   92.86   92.56   50.30
2H, E, C, 8            1   85.81   63.82   71.98
2H, E, D, 5            1   15.73   63.82    1.91
2H, E, D, 6            1   23.84   63.82   10.02
2H, E, D, 7            3   70.13   63.82   56.30
2NT, S, H, 8           1   44.97   44.97   50.00
2S, E, D, 8            3   86.23   80.04   56.20
2S, E, H, 8            1   86.23   80.04   56.20
2S, W, D, 8            1   86.64   86.64   50.00
3C, N, D, 10           1   57.98   52.57   55.41
3C, N, D, 9            1   41.74   52.57   39.17
3C, N, H, 10           1   57.98   52.57   55.41
3C, S, D, 10           5   58.23   56.88   51.35
3C, S, H, 10           2   58.23   56.88   51.35
3C, S, S, 10           2   58.23   56.88   51.35
3C, S, S, 9            1   41.99   56.88   35.11
3D, N, S, 9            1   41.06   41.06   50.00
3H, E, C, 7            1   23.10   29.71   43.39
3H, E, D, 7            3   23.10   29.71   43.39
3H, E, D, 8            1   69.29   29.71   89.58
3H, W, C, 6            1   15.32   53.83   11.48
3H, W, H, 9            1   92.35   53.83   88.52
3NT, N, S, 8           1   19.66   19.66   50.00
3S, E, C, 7            1   23.71   51.32   22.40
3S, E, C, 8            1   69.72   51.32   68.40
3S, E, H, 8            1   69.72   51.32   68.40
3SX, E, C, 7           1    9.42   17.38   42.04
3SX, E, D, 7           1    9.42   17.38   42.04
4C, S, S, 10           1   58.23   55.10   53.14
pass                   7   21.58   21.58   50.00

DEFENDER, Board 13|26

Contract           Count Overall     Bid    Lead Restdef
1NTX, S, S, 8          1   11.66   11.66   44.46   55.54
1S, E, C, 7            1   20.56   16.48   47.55   56.53
2CX, S, S, 10          1    7.14    7.44   43.78   55.92
2H, E, C, 8            1   14.19   36.18   36.27   41.74
2H, E, D, 5            1   84.27   36.18   59.06   89.03
2H, E, D, 6            1   76.16   36.18   59.06   80.92
2H, E, D, 7            3   29.87   36.18   59.06   34.64
2NT, S, H, 8           1   55.03   55.03   43.95   56.05
2S, E, D, 8            3   13.77   19.96   44.83   48.97
2S, E, H, 8            1   13.77   19.96   37.18   56.62
2S, W, D, 8            1   13.36   13.36   43.78   56.22
3C, N, D, 10           1   42.02   47.43   46.95   47.63
3C, N, D, 9            1   58.26   47.43   46.95   63.87
3C, N, H, 10           1   42.02   47.43   38.28   56.31
3C, S, D, 10           5   41.77   43.12   42.60   56.05
3C, S, H, 10           2   41.77   43.12   42.60   56.05
3C, S, S, 10           2   41.77   43.12   46.06   52.58
3C, S, S, 9            1   58.01   43.12   46.06   68.82
3D, N, S, 9            1   58.94   58.94   44.12   55.88
3H, E, C, 7            1   76.90   70.29   39.92   66.70
3H, E, D, 7            3   76.90   70.29   59.54   47.07
3H, E, D, 8            1   30.71   70.29   59.54    0.88
3H, W, C, 6            1   84.68   46.17   94.65   43.87
3H, W, H, 9            1    7.65   46.17    3.83   57.65
3NT, N, S, 8           1   80.34   80.34   55.37   44.63
3S, E, C, 7            1   76.29   48.68   72.74   54.86
3S, E, C, 8            1   30.28   48.68   72.74    8.85
3S, E, H, 8            1   30.28   48.68   39.07   42.53
3SX, E, C, 7           1   90.58   82.62   60.75   47.21
3SX, E, D, 7           1   90.58   82.62   53.61   54.35
4C, S, S, 10           1   41.77   44.90   50.81   46.05
pass                   7   78.42   78.42   50.00   50.00

DECLARER, Board 14|27

Contract           Count Overall     Bid    Play
2H, W, S, 7            1   60.50   60.50   50.00
2HX, E, D, 7           1   44.29   25.17   69.12
2S, N, C, 10           1   78.30   71.95   56.35
2S, N, D, 9            1   68.77   71.95   46.83
2S, S, H, 8            2   64.34   59.82   54.52
3D, N, D, 5            1   13.71   13.71   50.00
3D, W, H, 8            1   61.07   70.67   40.40
3D, W, H, 9            3   78.45   70.67   57.78
3D, W, S, 8            1   61.07   70.67   40.40
3D, W, S, 9            1   78.45   70.67   57.78
3DX, W, D, 8           1   45.47   72.42   23.05
3DX, W, H, 8           1   45.47   72.42   23.05
3DX, W, H, 9           1   95.34   72.42   72.92
3H, E, C, 6            1   25.50   33.55   41.95
3H, E, S, 7            1   44.29   33.55   60.74
3HX, E, C, 6           2    5.02    7.05   47.97
3HX, E, S, 7           1    9.76    7.05   52.71
3NT, E, H, 3           1   11.28   25.21   36.07
3NT, E, H, 4           1   15.57   25.21   40.36
3NT, E, H, 5           2   18.31   25.21   43.10
3NT, E, H, 6           1   24.74   25.21   49.53
3NT, E, H, 7           2   44.14   25.21   68.92
3NT, W, C, 6           1   25.75   69.78    5.98
3NT, W, C, 9           2   91.79   69.78   72.01
3S, S, H, 7            1   26.57   41.88   34.69
3S, S, H, 8            1   29.76   41.88   37.88
3S, S, H, 9            1   67.71   41.88   75.83
3SX, N, S, 9           1   98.78   98.78   50.00
4C, N, D, 6            2   13.97   16.70   47.27
4CX, N, H, 6           1    0.80    3.03   47.77
4CX, N, H, 8           1    9.72    3.03   56.69
4D, E, C, 9            1   60.15   55.30   54.85
4D, E, H, 8            1   45.60   55.30   40.30
4D, E, S, 9            1   60.15   55.30   54.85
4D, W, C, 10           1   81.56   54.99   76.57
4D, W, H, 8            1   45.47   54.99   40.47
4D, W, S, 9            1   60.09   54.99   55.10
4DX, W, D, 8           1   10.94   32.99   27.95
4HX, E, C, 6           1    0.00    1.69   48.31
4S, S, H, 9            1   28.87   25.46   53.41

DEFENDER, Board 14|27

Contract           Count Overall     Bid    Lead Restdef
2H, W, S, 7            1   39.50   39.50   49.86   50.14
2HX, E, D, 7           1   55.71   74.83   29.42   51.46
2S, N, C, 10           1   21.70   28.05   43.23   50.42
2S, N, D, 9            1   31.23   28.05   52.80   50.37
2S, S, H, 8            2   35.66   40.18   49.18   46.30
3D, N, D, 5            1   86.29   86.29   50.94   49.06
3D, W, H, 8            1   38.93   29.33   50.31   59.29
3D, W, H, 9            3   21.55   29.33   50.31   41.91
3D, W, S, 8            1   38.93   29.33   48.68   60.91
3D, W, S, 9            1   21.55   29.33   48.68   43.54
3DX, W, D, 8           1   54.53   27.58   76.68   50.28
3DX, W, H, 8           1   54.53   27.58   46.89   80.06
3DX, W, H, 9           1    4.66   27.58   46.89   30.20
3H, E, C, 6            1   74.50   66.45   58.02   50.03
3H, E, S, 7            1   55.71   66.45   37.81   51.46
3HX, E, C, 6           2   94.98   92.95   51.73   50.30
3HX, E, S, 7           1   90.24   92.95   46.41   50.88
3NT, E, H, 3           1   88.72   74.79   49.68   64.25
3NT, E, H, 4           1   84.43   74.79   49.68   59.96
3NT, E, H, 5           2   81.69   74.79   49.68   57.22
3NT, E, H, 6           1   75.26   74.79   49.68   50.79
3NT, E, H, 7           2   55.86   74.79   49.68   31.40
3NT, W, C, 6           1   74.25   30.22   48.15   95.88
3NT, W, C, 9           2    8.21   30.22   48.15   29.84
3S, S, H, 7            1   73.43   58.12   48.79   66.52
3S, S, H, 8            1   70.24   58.12   48.79   63.33
3S, S, H, 9            1   32.29   58.12   48.79   25.37
3SX, N, S, 9           1    1.22    1.22   50.91   49.09
4C, N, D, 6            2   86.03   83.30   53.93   48.79
4CX, N, H, 6           1   99.20   96.97   48.77   53.46
4CX, N, H, 8           1   90.28   96.97   48.77   44.54
4D, E, C, 9            1   39.85   44.70   44.66   50.49
4D, E, H, 8            1   54.40   44.70   59.55   50.14
4D, E, S, 9            1   39.85   44.70   44.66   50.49
4D, W, C, 10           1   18.44   45.01   22.02   51.42
4D, W, H, 8            1   54.53   45.01   50.74   58.79
4D, W, S, 9            1   39.91   45.01   49.32   45.58
4DX, W, D, 8           1   89.06   67.01   72.35   49.70
4HX, E, C, 6           1  100.00   98.31   51.69   50.00
4S, S, H, 9            1   71.13   74.54   48.57   48.02

DECLARER, Board 14|28

Contract           Count Overall     Bid    Play
1NT, E, H, 7           1   15.41   15.87   49.54
1NT, E, H, 8           1   16.78   15.87   50.92
2S, E, D, 10           3   79.81   54.24   75.57
2S, E, H, 9            3   43.88   54.24   39.63
2S, E, S, 9            2   43.88   54.24   39.63
3NT, E, H, 7           1    0.91    3.02   47.89
3S, E, D, 10           7   79.81   54.05   75.76
3S, E, D, 8            1    8.91   54.05    4.86
3S, E, D, 9            7   43.88   54.05   39.82
3S, E, H, 10           1   79.81   54.05   75.76
3S, E, H, 9            8   43.88   54.05   39.82
3S, E, S, 9            5   43.88   54.05   39.82
3SX, E, D, 9           1   99.38   97.44   51.94
4H, S, S, 8            1    6.97    6.97   50.00
4S, E, D, 10           3   95.52   34.63  110.89
4S, E, D, 9            1    8.20   34.63   23.57
4S, E, H, 9            3    8.20   34.63   23.57
4SX, E, H, 9           1    0.86   30.82   20.03

DEFENDER, Board 14|28

Contract           Count Overall     Bid    Lead Restdef
1NT, E, H, 7           1   84.59   84.13   50.90   49.56
1NT, E, H, 8           1   83.22   84.13   50.90   48.18
2S, E, D, 10           3   20.19   45.76   41.79   32.64
2S, E, H, 9            3   56.12   45.76   59.09   51.28
2S, E, S, 9            2   56.12   45.76   61.39   48.98
3NT, E, H, 7           1   99.09   96.98   49.62   52.49
3S, E, D, 10           7   20.19   45.95   41.94   32.30
3S, E, D, 8            1   91.09   45.95   41.94  103.20
3S, E, D, 9            7   56.12   45.95   41.94   68.23
3S, E, H, 10           1   20.19   45.95   58.90   15.34
3S, E, H, 9            8   56.12   45.95   58.90   51.28
3S, E, S, 9            5   56.12   45.95   61.20   48.98
