Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
YAVAS Dilek - KURANOGLU Serap;238;-0,02;-0,10;0,07;-0,06;123;  0,22;115;0,08;61;-0,20;62;-0,21;59;0,26;56;0,20;115;
GREENWOOD Diane - RIGNEY Teresa;176;-0,03;0,27;-0,30;-0,27;81;  -0,32;95;-0,12;38;-0,40;43;-0,13;48;-0,14;47;-0,18;95;
AGHEMO Monica - BURATTI Monica;208;-0,05;0,12;-0,16;-0,18;107;  -0,14;101;0,31;53;-0,66;54;-0,03;58;-0,08;43;-0,10;101;
HEGEDUS Orsolya - TICHY Eszter;112;-0,11;-0,15;0,04;0,16;57;  -0,10;53;0,35;29;-0,03;28;0,48;25;0,27;28;-0,47;53;
PIIBELEHT Ines - TAUBE Aire;176;-0,11;-0,16;0,05;-0,01;92;  0,11;84;-0,35;38;0,23;54;0,52;40;0,13;44;-0,20;84;
WIECZOREK Ewa - KATER Ewa;192;-0,14;-0,12;-0,02;0,27;97;  -0,33;92;0,37;53;0,14;44;-0,24;56;-0,21;36;-0,10;92;
ROSEN Anne - SENIOR Nevena;191;-0,15;-0,23;0,08;0,20;115;  -0,09;76;-0,03;54;0,40;61;0,12;39;-0,14;37;-0,08;76;
SCHOONEN Anne - VAN DEN HEUVEL Lennie;191;-0,18;-0,10;-0,08;-0,35;92;  0,17;99;-0,18;46;-0,52;46;0,01;54;0,13;45;0,11;99;
DRAPER Catherine - SEALE Catherine;192;-0,19;-0,22;0,03;0,42;80;  -0,25;112;0,36;40;0,49;40;-0,10;54;0,16;58;-0,29;112;
VISSER Esther - CHRISTENSEN Malene Holm;192;-0,21;-0,13;-0,08;0,14;103;  -0,34;88;-0,13;47;0,37;56;-0,32;47;-0,30;41;-0,03;88;
PUILLET Carole - ROLLAND Sabine;112;-0,26;-0,25;-0,00;-0,12;57;  0,12;54;0,19;31;-0,48;26;0,50;28;0,56;26;-0,41;54;
LEITAO Mariana - RUSSO Rita;224;-0,28;-0,11;-0,16;-0,06;103;  -0,26;119;-0,16;47;0,03;56;0,13;63;-0,23;56;-0,22;119;
ARNOLDS Carla - KOLEN Sandra;192;-0,31;-0,35;0,04;0,22;86;  -0,10;103;0,40;47;-0,00;39;0,11;55;0,01;48;-0,17;103;
CASTELLS Angeles - CASTELLS Laura;192;-0,33;-0,15;-0,18;0,35;95;  -0,69;97;0,14;40;0,51;55;-0,11;46;-0,24;51;-0,52;97;
GIGLIOTTI Donatella - PAOLUZI Simonetta;192;-0,33;0,19;-0,52;-0,45;106;  -0,60;85;-0,62;52;-0,29;54;-0,05;42;-0,61;43;-0,26;85;
GUDNADOTTIR Alda - JONSDOTTIR Arngunnur;176;-0,37;-0,03;-0,34;-0,04;82;  -0,61;93;0,16;44;-0,26;38;-0,07;50;0,16;43;-0,64;93;
DUC Laurence - MEYERSON Elianna;176;-0,39;-0,05;-0,34;-0,32;90;  -0,37;84;-0,23;42;-0,40;48;0,11;47;-0,04;37;-0,41;84;
CASTELLS Marina - GUTIERREZ-HERRERO Myriam;192;-0,40;-0,36;-0,03;0,11;95;  -0,18;95;0,29;49;-0,08;46;-0,15;52;-0,18;43;-0,02;95;
VANUZZI Marilina - ROSETTA Annalisa;175;-0,53;-0,24;-0,29;-0,27;85;  -0,31;89;-0,57;37;-0,04;48;0,18;35;0,17;54;-0,48;89;
VEGH Mariann - BALABANOVA Kamelia;191;-0,60;-0,24;-0,37;-0,41;101;  -0,31;90;-0,63;57;-0,13;44;-0,03;48;-0,13;42;-0,24;90;
ZOLI  Silvia - BOSI Antonella;223;-0,82;-0,43;-0,38;-0,61;126;  -0,09;95;-0,57;65;-0,65;61;0,01;48;0,53;47;-0,36;95;
WAELTI Vreni - CHENG Erna;176;-0,86;-0,57;-0,29;-0,25;69;  -0,32;106;0,16;37;-0,72;32;-0,51;47;-0,17;59;0,00;106;
NIELSEN Anna Gudlaug - STURLAUGSDOTTIR Helga;176;-0,91;-0,29;-0,63;-0,69;91;  -0,57;83;-0,35;45;-1,03;46;0,04;44;-0,47;39;-0,37;83;
PECCI Antonia - RITIANI Maurizia;224;-0,95;-0,47;-0,48;-0,55;101;  -0,43;122;-0,16;49;-0,92;52;0,17;63;-0,03;59;-0,49;122;
HERNANDEZ Maria Eugenia - MARTORELL Almudena;192;-1,11;-0,27;-0,83;-0,93;93;  -0,75;98;-1,28;50;-0,52;43;-0,32;43;-0,36;55;-0,41;98;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
PUILLET Carole - TARTARIN Anne-Laure;96;1,15;0,61;0,54;1,08;45;  0,06;51;0,94;22;1,22;23;0,37;29;-0,11;22;-0,10;51;
JAROSZ Aleksandra - BANASZKIEWICZ Ewa;96;1,08;0,62;0,47;0,52;50;  0,42;45;1,01;29;-0,16;21;0,28;22;-0,06;23;0,32;45;
ROLLAND Sabine - TARTARIN Anne-Laure;16;1,01;0,70;0,31;0,71;10;  -0,42;5;0,62;5;0,80;5;-0,59;3;0,26;2;-0,16;5;
PETELKO Adel - ROITMAN Ziv;96;0,46;0,25;0,22;0,46;54;  -0,10;41;0,38;28;0,54;26;0,32;25;-0,13;16;-0,25;41;
ERENGIL Yasemin - NUHOGLU Sevil;48;-0,18;-0,12;-0,06;-0,40;28;  0,42;20;0,15;14;-0,94;14;0,22;7;0,03;13;0,32;20;
ZALAI Agnes - TICHY Eszter;48;-0,24;-0,24;0,00;0,05;26;  -0,06;22;0,01;17;0,15;9;0,34;9;-0,28;13;-0,03;22;
BRIGIDO Maria Joana - FONSECA Maria Isabel;64;-1,57;-0,37;-1,20;-1,18;31;  -1,23;33;-0,66;14;-1,61;17;-0,39;17;0,01;16;-1,03;33;

