Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
VIST Gunn Tove - HESKJE Torild;208;0,16;-0,01;0,17;0,23;99;  0,17;108;0,95;49;-0,48;50;0,08;53;0,15;55;0,06;108;
IHER Mirjam - ORAS Maarja;208;0,16;0,10;0,06;0,46;89;  -0,23;117;1,26;43;-0,29;46;0,08;54;0,43;63;-0,50;117;
GRUDE Liv Marit - OIGARDEN Bodil Nyheim;176;0,16;0,14;0,01;0,17;97;  -0,22;77;0,64;48;-0,29;49;-0,25;39;0,35;38;-0,27;77;
ZALAI Agnes - HEGEDUS Orsolya;128;0,15;-0,01;0,16;0,22;61;  0,14;66;0,86;33;-0,53;28;0,31;31;0,01;35;-0,01;66;
KUUSK Pihel - SEPP Tuul;192;0,14;0,02;0,12;0,49;102;  -0,25;90;-0,03;55;1,11;47;0,50;44;-0,08;46;-0,46;90;
O'KEEFFE-BROWN Rebecca - PENDER Gilda;160;0,12;0,18;-0,06;0,22;71;  -0,27;86;0,67;34;-0,19;37;-0,06;43;0,25;43;-0,37;86;
HEGEDUS Orsolya - TICHY Eszter;112;0,10;0,09;0,01;0,16;57;  -0,13;53;0,44;29;-0,13;28;0,41;25;0,45;28;-0,56;53;
GREENWOOD Diane - RIGNEY Teresa;176;0,09;0,24;-0,16;-0,02;81;  -0,26;95;0,04;38;-0,06;43;0,04;48;-0,14;47;-0,22;95;
WENNING Karin - GROMANN Ingrid;176;0,06;0,15;-0,09;0,47;79;  -0,57;97;0,61;40;0,33;39;-0,07;48;0,33;49;-0,70;97;
WIECZOREK Ewa - KATER Ewa;192;0,05;0,00;0,05;0,43;97;  -0,29;92;0,91;53;-0,15;44;-0,20;56;-0,07;36;-0,14;92;
BILDE Dorte Cilleborg - BUUS THOMSEN Anita;288;0,03;-0,23;0,26;0,50;141;  0,14;146;0,58;84;0,39;57;0,42;73;0,14;73;-0,14;146;
FITZGERALD Jeannie - KENNY Joan;208;0,01;-0,01;0,03;0,11;107;  -0,03;100;-0,03;55;0,26;52;0,09;44;0,06;56;-0,11;100;
YAVAS Dilek - KURANOGLU Serap;238;0,01;-0,08;0,09;0,01;123;  0,21;115;0,22;61;-0,19;62;-0,15;59;0,34;56;0,13;115;
AGHEMO Monica - BURATTI Monica;208;-0,01;0,06;-0,07;-0,01;107;  -0,10;101;0,70;53;-0,70;54;0,09;58;0,02;43;-0,16;101;
LAJOS Hanka - SZUCS Villo;287;-0,01;0,00;-0,02;0,30;151;  -0,35;134;0,61;73;0,02;78;-0,01;70;-0,05;64;-0,33;134;
PIIBELEHT Ines - TAUBE Aire;176;-0,03;-0,10;0,07;0,06;92;  0,07;84;0,18;38;-0,02;54;0,54;40;0,17;44;-0,27;84;
DE MAGALHAES PEREIRA Ana - OLIVEIRA Anabela;256;-0,09;0,02;-0,11;0,09;119;  -0,34;134;0,31;55;-0,11;64;-0,19;69;0,14;65;-0,31;134;
SCHOONEN Anne - VAN DEN HEUVEL Lennie;191;-0,10;-0,09;-0,02;-0,14;92;  0,13;99;0,22;46;-0,51;46;0,06;54;0,21;45;0,01;99;
ROSEN Anne - SENIOR Nevena;191;-0,12;-0,21;0,09;0,23;115;  -0,11;76;0,22;54;0,25;61;0,22;39;-0,16;37;-0,14;76;
LEITAO Mariana - RUSSO Rita;224;-0,13;-0,02;-0,11;0,11;103;  -0,33;119;0,21;47;0,02;56;0,23;63;-0,31;56;-0,30;119;
VISSER Esther - CHRISTENSEN Malene Holm;192;-0,15;-0,10;-0,05;0,28;103;  -0,41;88;0,21;47;0,33;56;-0,23;47;-0,30;41;-0,15;88;
PUILLET Carole - ROLLAND Sabine;112;-0,18;-0,24;0,06;0,07;57;  0,13;54;0,48;31;-0,41;26;0,60;28;0,83;26;-0,58;54;
DUC Laurence - MEYERSON Elianna;176;-0,21;0,08;-0,28;-0,16;90;  -0,46;84;0,22;42;-0,50;48;0,12;47;0,08;37;-0,57;84;
CASTELLS Angeles - CASTELLS Laura;192;-0,22;-0,15;-0,07;0,52;95;  -0,64;97;0,43;40;0,59;55;-0,07;46;-0,24;51;-0,48;97;
DRAPER Catherine - SEALE Catherine;192;-0,24;-0,24;0,00;0,53;80;  -0,39;112;0,49;40;0,56;40;-0,11;54;0,22;58;-0,45;112;
ROSSARD Martine - TARTARIN Anne-Laure;112;-0,24;-0,23;-0,01;-0,39;57;  0,31;54;-1,12;26;0,23;31;-0,01;28;0,40;26;0,12;54;
GIGLIOTTI Donatella - PAOLUZI Simonetta;192;-0,27;0,23;-0,50;-0,23;106;  -0,82;85;-0,33;52;-0,14;54;-0,04;42;-0,67;43;-0,46;85;
GUDNADOTTIR Alda - JONSDOTTIR Arngunnur;176;-0,28;0,03;-0,31;0,13;82;  -0,71;93;0,58;44;-0,39;38;-0,08;50;0,37;43;-0,84;93;
ARNOLDS Carla - KOLEN Sandra;192;-0,37;-0,31;-0,06;0,06;86;  -0,19;103;0,16;47;-0,06;39;0,18;55;0,12;48;-0,34;103;
CASTELLS Marina - GUTIERREZ-HERRERO Myriam;192;-0,43;-0,31;-0,12;0,05;95;  -0,32;95;0,55;49;-0,48;46;-0,06;52;-0,12;43;-0,22;95;
VEGH Mariann - BALABANOVA Kamelia;191;-0,45;-0,23;-0,22;-0,03;101;  -0,37;90;-0,25;57;0,26;44;0,03;48;-0,13;42;-0,33;90;
VANUZZI Marilina - ROSETTA Annalisa;175;-0,46;-0,24;-0,22;-0,14;85;  -0,30;89;-0,42;37;0,08;48;0,17;35;0,37;54;-0,59;89;
ZOLI  Silvia - BOSI Antonella;223;-0,55;-0,29;-0,26;-0,34;126;  -0,10;95;-0,02;65;-0,67;61;0,08;48;0,65;47;-0,46;95;
WAELTI Vreni - CHENG Erna;176;-0,61;-0,40;-0,21;0,05;69;  -0,47;106;0,36;37;-0,31;32;-0,40;47;-0,26;59;-0,15;106;
NIELSEN Anna Gudlaug - STURLAUGSDOTTIR Helga;176;-0,75;-0,28;-0,48;-0,25;91;  -0,74;83;0,06;45;-0,55;46;0,03;44;-0,58;39;-0,48;83;
PECCI Antonia - RITIANI Maurizia;224;-0,76;-0,49;-0,28;-0,09;101;  -0,44;122;0,22;49;-0,39;52;0,33;63;-0,00;59;-0,61;122;
HERNANDEZ Maria Eugenia - MARTORELL Almudena;192;-0,90;-0,20;-0,70;-0,60;93;  -0,86;98;-0,74;50;-0,43;43;-0,41;43;-0,32;55;-0,50;98;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
ROLLAND Sabine - TARTARIN Anne-Laure;16;1,00;0,69;0,30;0,99;10;  -0,69;5;1,24;5;0,74;5;-0,75;3;0,29;2;-0,35;5;
PUILLET Carole - TARTARIN Anne-Laure;96;0,87;0,48;0,38;0,93;45;  -0,05;51;0,95;22;0,91;23;0,44;29;-0,14;22;-0,24;51;
JAROSZ Aleksandra - BANASZKIEWICZ Ewa;96;0,72;0,53;0,19;0,28;50;  0,10;45;0,81;29;-0,44;21;0,27;22;-0,03;23;-0,02;45;
PETELKO Adel - ROITMAN Ziv;96;0,27;0,08;0,19;0,54;54;  -0,17;41;0,78;28;0,28;26;0,41;25;-0,15;16;-0,36;41;
ZALAI Agnes - TICHY Eszter;48;-0,47;-0,39;-0,08;0,06;26;  -0,25;22;0,02;17;0,15;9;0,25;9;-0,28;13;-0,18;22;
ERENGIL Yasemin - NUHOGLU Sevil;48;-0,55;-0,34;-0,20;-0,64;28;  0,28;20;-0,19;14;-1,08;14;0,41;7;0,12;13;0,06;20;
BRIGIDO Maria Joana - FONSECA Maria Isabel;64;-1,08;-0,23;-0,84;-0,47;31;  -1,20;33;0,07;14;-0,92;17;-0,26;17;0,19;16;-1,16;33;

