Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HOWARD Pat - JOSA Denise;240;-0,61;-0,43;-0,19;-0,08;140;  -0,34;99;0,02;83;-0,23;57;-0,17;49;-0,02;50;-0,24;99;
SINGAPURIN Yvette - KUNDER Prabha;224;-0,67;-0,18;-0,49;-0,49;119;  -0,50;104;-0,30;56;-0,66;63;0,13;49;-0,29;55;-0,41;104;
AYAD Saliva - BENCHEMSI Fatiha;288;-0,78;-0,45;-0,34;-0,52;145;  -0,15;140;-1,02;61;-0,16;84;0,12;66;-0,09;74;-0,15;140;
BETTINI Maria Grazia - ZULLIAN Teresa Loschi de;208;-0,79;-0,39;-0,40;-0,76;102;  -0,06;106;-1,11;51;-0,41;51;0,08;58;-0,08;48;-0,07;106;
KHALIL Lily - KHOURI Maud;256;-0,86;-0,58;-0,29;-0,15;134;  -0,45;121;0,36;61;-0,57;73;-0,26;65;-0,14;56;-0,24;121;
ORTEGA Luz Carolina - PACHECO Morella;240;-1,02;-0,61;-0,42;-0,31;133;  -0,54;107;-0,39;69;-0,24;64;-0,18;47;0,13;60;-0,54;107;
DE MEILLAC Lisa - FLETCHER Deborah;224;-1,10;-0,46;-0,64;-0,80;115;  -0,47;109;-0,84;50;-0,76;65;-0,07;56;-0,24;53;-0,32;109;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GUERRAOUI Farida - LAHLOU Fatim;48;-0,11;-0,41;0,30;0,18;25;  0,46;22;-0,42;12;0,72;13;-0,06;13;-0,14;9;0,56;22;
GUERRAOUI Farida - BENCHEMSI Fatiha;16;-0,30;1,92;-2,22;0,05;7;  -3,98;9;0,56;4;-0,64;3;-0,47;5;-1,22;4;-3,18;9;
SHIMAMURA Kyoko - YANAGISAWA Akiko;96;-0,56;-0,35;-0,21;0,17;48;  -0,58;48;0,33;20;0,05;28;-0,59;28;-0,65;20;0,03;48;
DAMAYANTI Fera - RIANTINI -;64;-0,87;0,14;-1,01;-0,83;28;  -1,14;36;-1,10;18;-0,35;10;-0,31;15;-0,32;21;-0,83;36;
HAMADEH AWWAD Maha - KHATTAK Yasmin;80;-1,02;-0,30;-0,72;-1,22;38;  -0,26;42;-1,65;21;-0,70;17;-0,08;17;-0,15;25;-0,14;42;
THOMPSON Jacqueline - FLETCHER Deborah;16;-1,26;-0,90;-0,36;0,20;8;  -0,91;8;0,89;6;-1,89;2;-0,08;3;-1,24;5;-0,10;8;
ABU JABER Aida - ZABANEH Hala;96;-1,48;-0,92;-0,56;-0,43;49;  -0,71;46;-0,75;24;-0,12;25;-0,19;20;-0,01;26;-0,62;46;
GUERRAOUI Farida - AYAD Saliva;32;-2,20;-1,35;-0,84;-0,71;19;  -1,04;13;-0,04;4;-0,89;15;0,21;4;-0,54;9;-0,73;13;
GUERRAOUI Farida - RAFFALI Cristina;16;-3,27;-2,05;-1,22;-1,84;7;  -0,83;8;-1,83;5;-1,85;2;0,09;4;-0,03;4;-0,86;8;

