Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
W Gaweł - R Jagniewski;240;0,06;-0,04;0,10;0,29;118;  -0,07;122;0,69;54;-0,05;64;-0,06;65;-0,19;57;0,05;122;
R Bryant - R Helle;180;0,04;0,16;-0,12;-0,21;98;  -0,01;82;0,06;52;-0,52;46;-0,36;37;0,02;45;0,14;82;
G Brewiak - J Ostrowski;204;0,02;0,11;-0,10;-0,11;100;  -0,09;104;0,09;52;-0,32;48;-0,13;60;0,06;44;-0,04;104;
G Superson - A Lućko;179;-0,07;0,03;-0,10;0,39;86;  -0,56;92;0,21;44;0,57;42;-0,11;52;-0,35;40;-0,34;92;
J Zaremba - P Żak;107;-0,08;0,06;-0,14;-0,29;52;  0,00;55;-0,41;29;-0,13;23;-0,22;29;-0,04;26;0,13;55;
K Pikus - M Cichocki;180;-0,10;-0,12;0,02;-0,07;91;  0,11;89;-0,28;48;0,16;43;-0,46;44;0,28;45;0,20;89;
P Nawrocki - P Wiankowski;264;-0,12;-0,19;0,07;0,11;130;  0,03;133;0,24;71;-0,05;59;-0,07;72;-0,12;61;0,12;133;
P Miechowicz - R Sakowicz;191;-0,13;-0,41;0,28;0,53;91;  0,05;100;0,66;44;0,40;47;0,07;50;-0,20;50;0,11;100;
T Włodarczak - J Sieracki;228;-0,13;-0,07;-0,06;-0,18;114;  0,06;114;-0,26;59;-0,10;55;0,02;56;-0,15;58;0,12;114;
B Pazur - T Pilch;216;-0,16;-0,24;0,08;-0,10;113;  0,26;103;0,14;64;-0,40;49;-0,12;49;0,07;54;0,28;103;
N Sakowska - P Butryn;120;-0,20;0,05;-0,25;-0,19;56;  -0,31;64;-0,07;34;-0,38;22;0,11;39;-0,22;25;-0,29;64;
W Burakowski - W Ilnicki;192;-0,23;-0,11;-0,12;-0,27;97;  0,04;95;-0,26;53;-0,29;44;0,10;45;-0,00;50;-0,01;95;
R Woliński - M Urbański;132;-0,23;0,15;-0,38;-0,06;66;  -0,71;65;-0,25;39;0,22;27;-0,21;32;-0,51;33;-0,35;65;
W Strzemecki - P Zawada;144;-0,25;-0,09;-0,16;-0,11;65;  -0,21;79;0,15;32;-0,36;33;0,41;40;-0,05;39;-0,39;79;
J Skwark - M Witek;132;-0,26;-0,22;-0,04;-0,18;76;  0,16;56;-0,04;27;-0,26;49;0,24;31;0,37;25;-0,14;56;
J Wojcieszek - P Tuszyński;240;-0,27;0,07;-0,34;-0,20;119;  -0,48;121;0,14;67;-0,64;52;-0,26;59;-0,03;62;-0,34;121;
S Kowalczyk - L Niemiec;108;-0,27;-0,26;-0,01;0,23;46;  -0,19;62;0,08;21;0,37;25;-0,24;28;0,26;34;-0,22;62;
D Filipowicz - K Martens;192;-0,28;-0,26;-0,02;-0,07;101;  0,04;91;-0,12;52;-0,01;49;-0,10;43;-0,03;48;0,11;91;
T Wiśniewski - I Kowalczyk;288;-0,29;0,01;-0,30;-0,32;151;  -0,28;137;-0,24;69;-0,40;82;0,05;76;-0,01;61;-0,30;137;
R Szczepański - P Ilczuk;108;-0,29;-0,20;-0,08;0,03;65;  -0,26;43;0,18;27;-0,07;38;-0,09;21;0,08;22;-0,26;43;
J Gackowski - M Arutiunianc;120;-0,29;-0,56;0,26;0,59;58;  -0,04;60;0,36;23;0,74;35;0,21;24;-0,38;36;0,11;60;
J Śmieszek - A Wujków;120;-0,32;-0,13;-0,19;-0,38;53;  -0,04;67;-0,65;35;0,14;18;0,44;28;0,10;39;-0,28;67;
L Ohrysko - M Jeleniewski;180;-0,36;-0,29;-0,07;-0,08;83;  -0,06;97;-0,48;43;0,35;40;0,05;39;-0,04;58;-0,06;97;
S Kowalczyk - J Sucharkiewicz;132;-0,40;-0,03;-0,37;-0,36;61;  -0,38;71;0,21;23;-0,70;38;-0,19;34;0,18;37;-0,38;71;
T Jochymski - M Kania;132;-0,42;-0,29;-0,12;0,25;63;  -0,48;67;0,94;29;-0,34;34;-0,25;35;0,01;32;-0,35;67;
C Krzemiński - M Barylewski;132;-0,42;-0,21;-0,21;-0,15;60;  -0,27;72;-0,41;28;0,08;32;-0,23;31;-0,34;41;0,03;72;
M Krupowicz - P Janiszewski;120;-0,67;-0,19;-0,48;-0,47;63;  -0,50;57;-0,06;23;-0,70;40;0,15;24;-0,42;33;-0,32;57;
T Kaczanowski - M Wójcicki;120;-0,68;-0,31;-0,37;-0,14;61;  -0,60;59;-0,22;24;-0,09;37;-0,24;16;-0,20;43;-0,38;59;
J Poletyło - K Nowak;204;-0,69;-0,40;-0,28;-0,21;102;  -0,35;102;-0,15;49;-0,27;53;-0,09;51;0,01;51;-0,31;102;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
C Balicki - M Klukowski;12;2,71;2,45;0,26;-0,04;9;  1,14;3;-;0;-0,04;9;0,00;1;0,00;2;1,14;3;
W Olański - M Barylewski;12;2,13;1,54;0,59;0,22;8;  1,34;4;0,28;3;0,18;5;0,00;1;0,20;3;1,19;4;
I Dzikowski - K Sikorski;36;1,68;0,90;0,78;0,46;18;  1,17;17;-1,08;6;1,23;12;0,46;10;0,41;7;0,73;17;
T Pilch - P Janiszewski;12;1,31;0,91;0,39;1,49;5;  -0,39;7;1,29;3;1,79;2;0,05;4;0,30;3;-0,55;7;
D Kowalski - M Puczyński;48;1,29;0,69;0,59;0,38;21;  0,76;27;1,06;11;-0,37;10;0,26;15;0,23;12;0,51;27;
M Blat - M Witek;24;1,04;0,99;0,05;-0,37;11;  0,44;12;-3,11;3;0,66;8;0,15;8;0,07;4;0,32;12;
W Strzemecki - P Janiszewski;71;0,96;1,00;-0,04;-0,00;32;  -0,08;39;-0,28;17;0,31;15;-0,20;22;0,32;17;-0,11;39;
W Wejknis - D Bogucki;72;0,85;0,70;0,14;0,89;33;  -0,49;39;0,45;17;1,36;16;0,04;18;0,06;21;-0,54;39;
J Stworzewicz - Ł Brede;60;0,66;0,51;0,15;-0,03;37;  0,44;23;-0,15;26;0,24;11;0,48;17;0,06;6;0,07;23;
K Nowak - M Wójcicki;60;0,61;0,63;-0,02;0,22;33;  -0,31;27;0,22;13;0,23;20;-0,05;11;-0,21;16;-0,17;27;
J Poletyło - M Wójcicki;36;0,60;0,59;0,02;-0,01;18;  0,04;18;-0,24;12;0,45;6;0,47;7;0,08;11;-0,19;18;
J Zadroga - P Walczak;12;0,59;0,54;0,06;-0,22;7;  0,45;5;0,00;2;-0,31;5;-0,21;4;0,00;1;0,62;5;
J Rymwid - J Sieracki;12;0,43;0,08;0,35;0,50;4;  0,28;8;0,56;3;0,30;1;0,87;5;-0,08;3;-0,24;8;
K Pikus - L Sztyrak;84;0,35;0,24;0,11;0,17;43;  0,05;41;0,22;23;0,12;20;0,13;26;0,02;15;-0,04;41;
S Gołębiowski - C Balicki;72;0,34;0,25;0,09;0,21;37;  -0,03;35;0,04;19;0,40;18;-0,02;16;-0,00;19;-0,02;35;
A Robak - M Miłaszewski;24;0,34;0,62;-0,28;0,69;12;  -1,26;12;2,18;3;0,20;9;-0,34;8;-0,21;4;-0,96;12;
D Bogucki - B Małysz;24;0,26;0,25;0,01;0,14;16;  -0,25;8;0,31;10;-0,15;6;-0,05;7;-0,17;1;-0,19;8;
J Zadroga - P Ilczuk;12;0,20;0,63;-0,43;0,11;3;  -0,61;9;0,61;1;-0,14;2;-0,11;4;-0,07;5;-0,52;9;
K Omernik - K Sikorski;12;0,18;1,08;-0,89;0,28;6;  -2,07;6;0,00;1;0,34;5;0,06;4;-5,60;2;-0,24;6;
L Sztyrak - M Cichocki;12;0,15;0,24;-0,09;0,16;5;  -0,27;7;0,77;2;-0,26;3;-0,04;7;-;0;-0,23;7;
A Kowalski - J Russyan;84;0,13;0,37;-0,24;0,37;46;  -0,97;38;0,71;19;0,13;27;-0,15;13;-0,32;25;-0,71;38;
W Jaworski - M Blat;48;0,13;-0,02;0,15;0,22;25;  0,07;23;0,23;15;0,22;10;-0,05;13;-0,37;10;0,26;23;
C Balicki - W Starkowski;12;0,09;-0,70;0,78;0,28;3;  0,95;9;0,00;1;0,43;2;0,67;3;0,67;6;0,28;9;
J Stworzewicz - M Blat;96;0,07;-0,21;0,27;0,07;45;  0,45;51;0,32;20;-0,13;25;0,13;23;0,67;28;0,02;51;
D Bogucki - I Dzikowski;48;0,06;-0,22;0,28;-0,05;25;  0,64;23;0,07;14;-0,20;11;-0,40;12;0,18;11;0,76;23;
R Szczepański - T Winciorek;60;0,05;0,01;0,04;0,23;29;  -0,13;31;0,17;13;0,27;16;0,05;17;0,24;14;-0,26;31;
M Krupowicz - P Zawada;96;0,04;0,29;-0,24;0,16;61;  -0,94;35;0,04;29;0,26;32;-0,09;18;-0,25;17;-0,77;35;
J Klukowski - J Russyan;72;-0,03;0,05;-0,08;-0,04;40;  -0,12;32;-0,37;23;0,40;17;-0,10;12;-0,14;20;0,00;32;
A Jaszczak - P Janiszewski;12;-0,24;-0,24;0,00;-0,63;6;  0,63;6;-2,41;3;1,16;3;-0,03;4;0,00;2;0,65;6;
W Wejknis - I Dzikowski;24;-0,33;-0,52;0,19;0,48;10;  -0,02;14;1,83;2;0,14;8;0,14;7;0,26;7;-0,22;14;
Z Halat - K Rogoziński;94;-0,40;-0,61;0,21;-0,17;48;  0,61;46;-0,16;25;-0,19;23;0,19;32;0,38;14;0,36;46;
J Skwark - A Robak;23;-0,48;-0,35;-0,13;-0,57;16;  0,88;7;-0,64;13;-0,24;3;-0,11;6;-2,32;1;1,30;7;
W Starkowski - A Żmudziński;48;-0,50;-0,31;-0,19;-0,32;26;  -0,04;22;-0,64;15;0,13;11;-0,12;12;-0,04;10;0,05;22;
W Sroczyński - P Tuszyński;60;-0,55;-0,82;0,27;0,04;32;  0,53;28;-0,23;15;0,28;17;0,08;16;0,10;12;0,44;28;
T Winciorek - P Ilczuk;36;-0,58;0,13;-0,70;-0,98;16;  -0,48;20;-2,19;6;-0,26;10;0,11;13;0,07;7;-0,58;20;
D Bogucki - K Sikorski;60;-0,60;-0,41;-0,19;-0,15;27;  -0,23;33;0,28;17;-0,88;10;-0,10;16;-0,01;17;-0,17;33;
Y Shpuntou - M Bojarski;96;-0,63;-0,52;-0,11;-0,13;45;  -0,08;51;-0,10;19;-0,16;26;-0,00;21;-0,18;30;0,02;51;
J Skwark - J Stworzewicz;48;-0,64;-0,21;-0,44;-0,05;28;  -0,98;20;-0,11;20;0,10;8;-0,27;8;-0,35;12;-0,66;20;
V Vainikonis - W Olański;72;-0,72;-0,56;-0,16;-0,81;50;  1,30;22;-1,25;32;-0,01;18;0,89;17;1,51;5;0,27;22;
W Gaweł - P Tuczyński;24;-0,73;-0,85;0,12;-0,16;11;  0,36;13;-0,30;4;-0,08;7;0,57;6;-0,73;7;0,49;13;
Y Shpuntou - M Superson;84;-0,74;-0,66;-0,08;-0,26;47;  0,15;37;-0,01;24;-0,51;23;-0,05;21;-0,00;16;0,19;37;
W Jaworski - Ł Brede;24;-0,76;0,29;-1,05;-1,12;14;  -0,95;10;-0,21;10;-3,38;4;0,02;6;1,67;4;-1,63;10;
J Skwark - M Blat;24;-0,80;0,49;-1,29;-0,68;9;  -1,65;15;-1,35;5;0,16;4;-0,28;13;-0,06;2;-1,40;15;
J Rymwid - M Wójcicki;60;-0,82;-0,62;-0,20;-0,14;30;  -0,25;30;0,11;21;-0,73;9;-0,34;19;1,09;11;-0,43;30;
W Jaworski - J Skwark;12;-0,86;0,69;-1,55;-1,03;6;  -2,07;6;-0,96;2;-1,07;4;-1,36;3;-0,22;3;-1,28;6;
Ł Brede - M Witek;24;-0,86;0,03;-0,89;-1,36;13;  -0,35;11;-2,92;6;-0,02;7;-0,07;3;-0,01;8;-0,32;11;
A Lućko - M Superson;48;-0,87;-0,97;0,10;0,23;18;  0,02;30;0,45;13;-0,34;5;0,71;17;0,20;13;-0,47;30;
Z Beling - J Olczyk;60;-0,88;-0,13;-0,75;-0,72;33;  -0,78;27;-1,46;19;0,28;14;0,20;16;-0,05;11;-0,88;27;
Z Rogowski - M Cichocki;12;-0,98;1,17;-2,15;-2,63;6;  -1,67;6;-3,56;4;-0,77;2;0,00;1;0,04;5;-1,70;6;
M Miłaszewski - M Witek;84;-1,06;-0,47;-0,59;-0,04;44;  -1,19;40;-0,69;29;1,21;15;0,07;13;-0,16;27;-1,10;40;
M Bojarski - M Chodacki;84;-1,08;-0,89;-0,19;0,18;41;  -0,55;43;0,60;25;-0,49;16;0,51;20;-0,37;23;-0,59;43;
Ł Brede - M Blat;12;-1,11;-0,71;-0,40;-0,69;4;  -0,25;8;-0,92;3;0,00;1;-0,28;5;-0,16;3;-0,01;8;
A Robak - M Witek;60;-1,18;-0,71;-0,47;-0,67;35;  -0,20;25;-0,30;11;-0,85;24;0,08;11;0,07;14;-0,27;25;
R Szczepański - J Zadroga;12;-1,18;-1,18;-0,00;-0,37;6;  0,37;6;-0,47;3;-0,27;3;-0,78;1;0,28;5;0,26;6;
S Henclik - K Omernik;12;-1,20;-1,41;0,22;-0,37;6;  0,80;6;-1,71;2;0,30;4;0,06;3;-0,24;3;0,89;6;
J Skwark - Ł Brede;23;-1,31;-1,72;0,40;0,50;15;  0,22;8;1,29;5;0,10;10;0,19;4;-0,14;4;0,20;8;
A Zaleski - B Małysz;60;-1,34;-0,94;-0,40;-0,15;32;  -0,69;28;-0,42;15;0,09;17;0,30;8;0,02;20;-0,79;28;
T Przybora - G Narkiewicz;60;-1,40;-1,37;-0,02;-0,21;37;  0,28;23;-0,40;14;-0,10;23;0,00;9;0,68;14;-0,13;23;
M Chodacki - M Superson;48;-1,93;-1,34;-0,60;-1,18;21;  -0,14;27;-1,66;8;-0,88;13;0,03;13;-0,24;14;-0,03;27;
A Jaszczak - W Strzemecki;35;-2,00;-1,18;-0,82;-0,84;14;  -0,80;21;-2,24;6;0,21;8;-0,01;11;-1,27;10;-0,19;21;
B Pazur - M Pieczka;12;-2,14;-0,94;-1,20;-1,44;9;  -0,47;3;-1,90;7;0,15;2;0,96;2;0,15;1;-1,16;3;
T Przybora - M Kwiecień;24;-1,74;-1,26;-0,48;-0,84;13;  -0,04;11;-0,77;10;-1,10;3;-0,28;7;-0,39;4;0,28;11;

