Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SVER Nikica - ZORIC Vedran;304;0,24;0,06;0,18;0,28;158;  0,08;145;0,19;77;0,37;81;0,02;74;-0,02;71;0,08;145;
BALINT Mihaela - MARINA Bogdan;224;0,23;0,09;0,14;0,51;101;  -0,17;121;0,60;41;0,45;60;-0,28;60;0,04;61;-0,05;121;
EGGELING Marie - GRUENKE Paul;272;0,21;0,10;0,11;0,43;106;  -0,09;164;0,56;54;0,30;52;0,09;78;-0,14;86;-0,06;164;
BERGDAHL Tommy - OVELIUS Emma;335;0,20;0,16;0,04;0,28;179;  -0,23;156;0,46;92;0,08;87;0,06;85;-0,24;71;-0,15;156;
BELL Sarah - BYRNE Michael;272;0,19;0,05;0,14;0,06;140;  0,23;132;-0,04;66;0,15;74;0,12;64;0,07;68;0,14;132;
DEHAYE Bernard - DEWASME Isabelle;240;0,16;0,36;-0,20;-0,10;116;  -0,29;124;-0,08;71;-0,12;45;-0,17;60;0,04;64;-0,23;124;
ACAR Asli - AYAZ Ilker;240;0,15;0,05;0,11;-0,05;126;  0,29;114;-0,31;61;0,19;65;0,22;58;0,23;56;0,06;114;
SAESSELI Irene - IGLA Bartlomiej;224;0,15;-0,19;0,33;0,27;121;  0,41;103;0,19;56;0,34;65;0,18;51;-0,22;52;0,43;103;
SAKOWSKA Natalia - BUTRYN Piotr;239;0,13;0,16;-0,02;-0,09;113;  0,04;125;0,05;62;-0,27;51;0,25;62;0,09;63;-0,13;125;
FRANCES Ana - FRANCES Antonio;223;0,09;0,09;-0,00;0,10;104;  -0,10;118;0,29;54;-0,09;50;0,16;58;0,04;60;-0,19;118;
SAADA Nathalie - BAREKET Ilan;240;0,08;-0,04;0,12;0,26;127;  -0,03;112;0,68;60;-0,12;67;0,19;53;0,06;59;-0,16;112;
HENNEBERG Jens Ove - HENNEBERG Marlene;208;0,06;0,24;-0,17;-0,23;98;  -0,12;110;-0,64;48;0,16;50;-0,05;52;-0,15;58;-0,01;110;
CRONIER Benedicte - CRONIER Philippe;224;0,03;-0,04;0,07;0,17;115;  -0,03;108;-0,10;57;0,44;58;0,27;47;-0,11;61;-0,09;108;
MESTRIC Mate - PILIPOVIC Marina;112;0,02;0,12;-0,10;0,11;55;  -0,30;57;0,72;29;-0,57;26;-0,26;25;0,30;32;-0,36;57;
SASSELLI Marco - VINCENT Christine;223;0,02;-0,15;0,17;0,10;105;  0,23;117;-0,05;50;0,24;55;0,23;58;0,24;59;-0,00;117;
FREIMANIS Gints - McGOWAN Elizabeth (Liz);224;0,01;0,05;-0,04;-0,15;119;  0,08;104;-0,17;68;-0,12;51;0,18;55;0,07;49;-0,04;104;
CIMA Leonardo - DESSI Barbara;208;-0,03;0,20;-0,23;-0,13;109;  -0,34;97;0,38;53;-0,62;56;-0,09;45;0,24;52;-0,42;97;
GRONKVIST Ida - GRONKVIST Mikael;320;-0,05;-0,19;0,15;0,09;166;  0,21;152;-0,32;81;0,47;85;-0,03;86;0,05;66;0,20;152;
NETTLETON Diana - PASKE Thomas;128;-0,05;0,00;-0,05;-0,02;66;  -0,08;62;0,08;27;-0,09;39;0,15;26;-0,18;36;-0,03;62;
LIRAN Inon - POPLILOV Matilda;224;-0,05;-0,09;0,03;0,08;104;  -0,00;119;0,22;58;-0,10;46;0,32;57;0,15;62;-0,24;119;
HINDEN Frances - OSBORNE Graham;240;-0,07;-0,21;0,13;-0,03;119;  0,30;120;-0,15;56;0,08;63;0,22;67;0,00;53;0,18;120;
DUFRAT Katarzyna - LUTOSTANSKI Piotr;224;-0,11;-0,16;0,05;0,21;109;  -0,10;113;0,26;57;0,15;52;0,08;64;0,18;49;-0,22;113;
HAMMELEV Johan - KREFELD Camilla Bo;224;-0,13;-0,03;-0,10;-0,27;110;  0,06;111;-0,62;60;0,14;50;0,05;58;-0,04;53;0,05;111;
ANDERSONE Ilze - LAVENDELIS Egons;336;-0,18;0,11;-0,29;-0,43;174;  -0,14;160;-0,82;91;-0,01;83;-0,09;81;0,10;79;-0,14;160;
EIDE Harald - HOLMOY Stine;224;-0,20;-0,11;-0,09;0,02;110;  -0,20;113;0,38;51;-0,28;59;-0,18;66;0,10;47;-0,14;113;
PETERKIN Stephen - PUNCH Sam;223;-0,24;-0,20;-0,04;0,32;107;  -0,38;116;-0,02;51;0,64;56;-0,01;57;-0,37;59;-0,18;116;
GLADIATOR Anne - GROMOELLER Michael;176;-0,24;0,01;-0,25;-0,53;87;  0,02;88;-0,40;34;-0,62;53;-0,32;46;0,18;42;0,11;88;
DOMBI Gergely - NYARADI Gabriella;224;-0,26;-0,26;0,00;0,13;107;  -0,12;114;0,68;53;-0,40;54;-0,10;51;-0,26;63;0,07;114;
ROZMAN Malgorzata - PLANT George;224;-0,26;-0,37;0,11;0,24;96;  0,01;127;0,16;41;0,30;55;0,33;67;-0,14;60;-0,10;127;
HONTI Laszlo - MEZEI Katalin;240;-0,27;-0,16;-0,11;0,01;119;  -0,23;121;0,24;64;-0,25;55;-0,12;59;0,04;62;-0,19;121;
D'OREY CAPUCHO Manuel - LARA Maria Joao;208;-0,28;-0,23;-0,04;0,05;112;  -0,15;96;0,14;57;-0,04;55;0,14;41;0,13;55;-0,29;96;
STOKKVIK Dag-Jorgen - BROGELAND Tonje Aasand;224;-0,29;-0,09;-0,20;-0,09;119;  -0,33;103;0,23;62;-0,43;57;-0,33;53;0,14;50;-0,23;103;
EKINCI Omer - KUTUK Basak;240;-0,29;-0,41;0,11;-0,01;126;  0,25;113;0,17;64;-0,20;62;-0,03;59;0,14;54;0,20;113;
BETHERS Uldis - BRIKMANE Liga;336;-0,29;-0,13;-0,16;-0,10;152;  -0,21;182;-0,07;88;-0,15;64;-0,09;100;-0,10;82;-0,12;182;
DAUWE Gunther - DOBBELS Tine;144;-0,32;-0,20;-0,12;0,16;67;  -0,36;77;0,41;32;-0,08;35;-0,03;45;-0,24;32;-0,24;77;
ROSADO Alexandra - GONCALVES PEREIRA Paulo;207;-0,33;-0,27;-0,06;0,17;101;  -0,29;105;0,06;46;0,26;55;0,06;52;-0,11;53;-0,26;105;
SIMIC Mihailo - KOSTIC Jelena;159;-0,34;0,18;-0,52;-0,41;89;  -0,66;70;-0,44;45;-0,38;44;0,07;41;-0,19;29;-0,62;70;
SAETERDAL Atle - ANJER Maja Rom;224;-0,35;-0,20;-0,15;-0,16;112;  -0,15;112;-0,39;56;0,07;56;-0,09;57;0,14;55;-0,17;112;
VAN CLEEFF Jan - WITVLIET Marina;176;-0,39;-0,36;-0,03;0,06;77;  -0,10;97;0,41;39;-0,29;38;0,22;46;0,02;51;-0,22;97;
VRIEND Bep - MAAS Anton;240;-0,39;-0,27;-0,12;0,07;122;  -0,33;115;-0,10;63;0,26;59;0,14;65;-0,15;50;-0,34;115;
HAIDORFER Andrea - NIKOLENKOV Dmitrij;224;-0,41;-0,28;-0,13;-0,34;106;  0,05;118;-0,32;46;-0,36;60;0,05;54;0,42;64;-0,20;118;
BERTRAN Javier - ALMIRALL Nuria;224;-0,51;-0,16;-0,36;-0,05;117;  -0,70;107;0,19;61;-0,31;56;-0,39;53;0,08;54;-0,55;107;
YILMAZ M,Gokhan - NAHMIYAS Rakel;192;-0,58;-0,30;-0,28;-0,21;90;  -0,35;101;0,53;41;-0,83;49;0,03;56;0,04;45;-0,39;101;
BRKLJACIC Tihana - MESTRIC Mate;144;-0,60;-0,60;0,01;0,12;77;  -0,13;66;-0,44;35;0,59;42;-0,04;35;0,03;31;-0,13;66;
MCAULIFFE Michael - NEWELL Sandra;224;-0,64;-0,37;-0,27;-0,16;113;  -0,38;110;-0,35;61;0,06;52;0,08;54;-0,43;56;-0,21;110;
WALSH David - MITCHELL Louise;224;-0,66;-0,05;-0,61;-0,74;99;  -0,50;123;-0,35;53;-1,19;46;0,02;55;-0,01;68;-0,51;123;
CUMMINS Carol-Ann - NOONAN John;224;-0,66;-0,46;-0,20;-0,07;106;  -0,32;117;0,09;52;-0,23;54;0,03;59;0,09;58;-0,38;117;
BODIS Gyula - NYARADI Ibolya;208;-0,67;-0,39;-0,29;-0,22;99;  -0,34;109;0,04;48;-0,47;51;0,04;50;0,03;59;-0,38;109;
BRAJOVIC Ana Zorana - KIKIC Stevica;207;-0,68;-0,23;-0,45;-0,59;102;  -0,32;103;-1,02;45;-0,25;57;0,16;55;0,05;48;-0,43;103;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HINDEN Frances - PASKE Thomas;32;0,51;0,42;0,09;-0,77;11;  0,57;20;0,17;8;-3,28;3;-0,17;7;0,26;13;0,46;20;
STIENEN Rene - WITVLIET Marina;80;-0,39;-0,35;-0,03;-0,64;40;  0,58;40;-0,76;18;-0,55;22;0,20;23;0,36;17;0,31;40;
EDLUND Linnea - GRONKVIST Mikael;16;-0,86;-1,15;0,29;0,01;8;  0,57;8;0,31;3;-0,17;5;-0,74;6;-0,59;2;1,27;8;

