Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SIMIC Olga - VUJCIC Veljko;304;0,26;0,11;0,15;0,17;151;  0,16;151;-0,06;74;0,39;77;0,07;70;0,34;81;-0,05;151;
BELL Sarah - BYRNE Michael;272;0,20;0,08;0,12;-0,01;140;  0,28;132;-0,17;66;0,13;74;0,26;64;0,08;68;0,11;132;
SVER Nikica - ZORIC Vedran;304;0,19;0,05;0,14;0,30;158;  -0,01;145;0,06;77;0,53;81;0,04;74;-0,04;71;-0,00;145;
BALINT Mihaela - MARINA Bogdan;224;0,18;0,07;0,11;0,51;101;  -0,23;121;0,81;41;0,31;60;-0,23;60;0,02;61;-0,13;121;
CRONIER Benedicte - CRONIER Philippe;224;0,16;0,02;0,14;0,26;115;  0,07;108;0,25;57;0,27;58;0,38;47;-0,04;61;-0,07;108;
FREIMANIS Gints - McGOWAN Elizabeth (Liz);224;0,14;0,15;-0,01;-0,07;119;  0,09;104;-0,02;68;-0,13;51;0,24;55;0,11;49;-0,09;104;
SAESSELI Irene - IGLA Bartlomiej;224;0,12;-0,12;0,25;0,17;121;  0,34;103;0,24;56;0,11;65;0,17;51;-0,20;52;0,36;103;
FRANCES Ana - FRANCES Antonio;223;0,12;0,11;0,01;0,21;104;  -0,17;118;0,24;54;0,19;50;0,22;58;0,04;60;-0,30;118;
DEHAYE Bernard - DEWASME Isabelle;240;0,11;0,26;-0,14;0,10;116;  -0,36;124;0,14;71;0,04;45;-0,21;60;0,04;64;-0,28;124;
SAADA Nathalie - BAREKET Ilan;240;0,09;-0,02;0,11;0,33;127;  -0,11;112;0,73;60;-0,02;67;0,31;53;-0,08;59;-0,21;112;
LIRAN Inon - POPLILOV Matilda;224;0,09;-0,06;0,14;0,18;104;  0,15;119;0,16;58;0,20;46;0,46;57;0,24;62;-0,20;119;
SCHIPPERS-BOSKLOPPER Elly - STIENEN Rene;176;0,08;-0,01;0,09;-0,15;86;  0,31;90;-0,20;41;-0,10;45;0,10;43;-0,01;47;0,27;90;
SAKOWSKA Natalia - BUTRYN Piotr;239;0,08;0,14;-0,06;-0,11;113;  -0,02;125;0,04;62;-0,29;51;0,27;62;0,20;63;-0,26;125;
BERGDAHL Tommy - OVELIUS Emma;335;0,08;0,07;0,01;0,34;179;  -0,34;156;0,49;92;0,17;87;0,10;85;-0,29;71;-0,26;156;
DUFRAT Katarzyna - LUTOSTANSKI Piotr;224;0,07;-0,02;0,09;0,35;109;  -0,12;113;0,29;57;0,43;52;0,16;64;0,19;49;-0,30;113;
HINDEN Frances - OSBORNE Graham;240;0,06;-0,09;0,15;0,13;119;  0,21;120;0,16;56;0,10;63;0,24;67;0,04;53;0,06;120;
ACAR Asli - AYAZ Ilker;240;0,05;-0,00;0,05;0,05;126;  0,08;114;-0,21;61;0,29;65;0,23;58;0,20;56;-0,14;114;
MESTRIC Mate - PILIPOVIC Marina;112;0,01;0,10;-0,09;0,17;55;  -0,34;57;0,98;29;-0,74;26;-0,19;25;0,37;32;-0,47;57;
GRONKVIST Ida - GRONKVIST Mikael;320;0,00;-0,15;0,15;0,13;166;  0,22;152;-0,12;81;0,37;85;0,04;86;0,13;66;0,14;152;
HENNEBERG Jens Ove - HENNEBERG Marlene;208;-0,00;0,19;-0,20;-0,13;98;  -0,28;110;-0,40;48;0,13;50;-0,10;52;-0,14;58;-0,16;110;
SASSELLI Marco - VINCENT Christine;223;-0,04;-0,17;0,13;0,09;105;  0,21;117;0,04;50;0,13;55;0,35;58;0,35;59;-0,14;117;
CIMA Leonardo - DESSI Barbara;208;-0,09;0,13;-0,21;0,02;109;  -0,47;97;0,50;53;-0,44;56;-0,06;45;0,23;52;-0,56;97;
DOMBI Gergely - NYARADI Gabriella;224;-0,09;-0,16;0,08;0,37;107;  -0,15;114;1,08;53;-0,33;54;-0,05;51;-0,26;63;0,02;114;
HAMMELEV Johan - KREFELD Camilla Bo;224;-0,11;-0,08;-0,04;-0,08;110;  0,03;111;-0,36;60;0,25;50;0,11;58;-0,07;53;0,00;111;
D'OREY CAPUCHO Manuel - LARA Maria Joao;208;-0,12;-0,13;0,01;0,26;112;  -0,22;96;0,32;57;0,20;55;0,17;41;0,13;55;-0,36;96;
ANDERSONE Ilze - LAVENDELIS Egons;336;-0,12;0,12;-0,24;-0,22;174;  -0,23;160;-0,52;91;0,11;83;-0,07;81;0,18;79;-0,29;160;
EIDE Harald - HOLMOY Stine;224;-0,13;-0,07;-0,06;0,12;110;  -0,23;113;0,38;51;-0,11;59;-0,17;66;0,09;47;-0,17;113;
VAN CLEEFF Jan - WITVLIET Marina;176;-0,13;-0,14;0,01;0,24;77;  -0,17;97;0,73;39;-0,27;38;0,25;46;0,16;51;-0,37;97;
NETTLETON Diana - PASKE Thomas;128;-0,17;-0,02;-0,15;-0,05;66;  -0,25;62;-0,10;27;-0,01;39;0,18;26;-0,21;36;-0,21;62;
HONTI Laszlo - MEZEI Katalin;240;-0,22;-0,10;-0,11;-0,06;119;  -0,20;121;0,07;64;-0,21;55;0,01;59;0,03;62;-0,22;121;
STOKKVIK Dag-Jorgen - BROGELAND Tonje Aasand;224;-0,23;-0,06;-0,16;0,07;119;  -0,41;103;0,38;62;-0,27;57;-0,31;53;0,20;50;-0,35;103;
BRKLJACIC Tihana - MESTRIC Mate;144;-0,23;-0,40;0,17;0,41;77;  -0,02;66;0,07;35;0,69;42;-0,01;35;0,14;31;-0,08;66;
BETHERS Uldis - BRIKMANE Liga;336;-0,24;-0,09;-0,15;0,00;152;  -0,30;182;0,05;88;-0,07;64;-0,08;100;-0,11;82;-0,20;182;
PETERKIN Stephen - PUNCH Sam;223;-0,25;-0,16;-0,09;0,37;107;  -0,54;116;0,04;51;0,67;56;0,00;57;-0,34;59;-0,37;116;
ROZMAN Malgorzata - PLANT George;224;-0,26;-0,37;0,11;0,28;96;  0,00;127;0,38;41;0,21;55;0,38;67;-0,07;60;-0,17;127;
EKINCI Omer - KUTUK Basak;240;-0,28;-0,35;0,07;-0,08;126;  0,25;113;0,08;64;-0,24;62;0,10;59;0,20;54;0,10;113;
HAIDORFER Andrea - NIKOLENKOV Dmitrij;224;-0,29;-0,20;-0,09;-0,22;106;  0,05;118;-0,38;46;-0,09;60;0,08;54;0,42;64;-0,22;118;
SIMIC Mihailo - KOSTIC Jelena;159;-0,30;0,18;-0,47;-0,18;89;  -0,80;70;0,03;45;-0,39;44;0,20;41;-0,12;29;-0,87;70;
SAETERDAL Atle - ANJER Maja Rom;224;-0,31;-0,11;-0,20;-0,14;112;  -0,28;112;-0,34;56;0,06;56;-0,00;57;0,22;55;-0,39;112;
GLADIATOR Anne - GROMOELLER Michael;176;-0,31;-0,07;-0,24;-0,33;87;  -0,12;88;-0,36;34;-0,32;53;-0,32;46;0,23;42;-0,06;88;
DAUWE Gunther - DOBBELS Tine;144;-0,33;-0,13;-0,21;-0,00;67;  -0,42;77;0,21;32;-0,20;35;0,07;45;-0,20;32;-0,38;77;
VRIEND Bep - MAAS Anton;240;-0,36;-0,24;-0,12;0,20;122;  -0,45;115;-0,12;63;0,54;59;0,22;65;-0,18;50;-0,49;115;
ROSADO Alexandra - GONCALVES PEREIRA Paulo;207;-0,39;-0,26;-0,13;0,18;101;  -0,45;105;0,15;46;0,20;55;0,18;52;-0,16;53;-0,46;105;
BERTRAN Javier - ALMIRALL Nuria;224;-0,40;-0,08;-0,32;0,07;117;  -0,77;107;0,17;61;-0,03;56;-0,39;53;0,13;54;-0,64;107;
YILMAZ M,Gokhan - NAHMIYAS Rakel;192;-0,40;-0,25;-0,15;0,07;90;  -0,35;101;0,90;41;-0,62;49;0,06;56;0,08;45;-0,42;101;
WALSH David - MITCHELL Louise;224;-0,42;0,04;-0,46;-0,38;99;  -0,59;123;0,12;53;-0,96;46;0,10;55;-0,04;68;-0,61;123;
MCAULIFFE Michael - NEWELL Sandra;224;-0,43;-0,25;-0,18;0,06;113;  -0,40;110;-0,10;61;0,25;52;0,16;54;-0,39;56;-0,28;110;
BRAJOVIC Ana Zorana - KIKIC Stevica;207;-0,62;-0,21;-0,41;-0,40;102;  -0,46;103;-0,68;45;-0,17;57;0,17;55;0,01;48;-0,56;103;
CUMMINS Carol-Ann - NOONAN John;224;-0,66;-0,46;-0,20;-0,07;106;  -0,34;117;-0,07;52;-0,08;54;0,06;59;0,16;58;-0,45;117;
BODIS Gyula - NYARADI Ibolya;208;-0,67;-0,38;-0,29;-0,12;99;  -0,49;109;0,13;48;-0,36;51;0,10;50;0,01;59;-0,54;109;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HINDEN Frances - PASKE Thomas;32;0,33;0,14;0,19;-0,65;11;  0,53;20;0,17;8;-2,86;3;0,05;7;0,08;13;0,47;20;
STIENEN Rene - WITVLIET Marina;80;-0,23;-0,24;0,01;-0,59;40;  0,61;40;-0,55;18;-0,62;22;0,21;23;0,29;17;0,36;40;
EDLUND Linnea - GRONKVIST Mikael;16;-0,38;-0,82;0,44;0,25;8;  0,65;8;0,25;3;0,25;5;-0,82;6;-0,18;2;1,31;8;

