DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1NT, E, D, 8           1    9.67   36.86   22.81
DECLARER, Board 10|4

Contract           Count Overall     Bid    Play
2H, W, S, 9            1   89.47   89.47   50.00
2NT, E, D, 8           1   84.36   81.21   53.15
2NT, E, S, 8           5   84.36   81.21   53.15
3D, E, D, 9            1   79.18   79.18   50.00
3NT, E, C, 10          1   99.24   45.84  103.40
3NT, E, C, 8           2   42.83   45.84   46.99
3NT, E, D, 8          17   42.83   45.84   46.99
3NT, E, D, 9           1   94.67   45.84   98.83
3NT, E, H, 8           1   42.83   45.84   46.99
3NT, E, S, 6           1    0.76   45.84    4.92
3NT, E, S, 7           3    4.78   45.84    8.94
3NT, E, S, 8          17   42.83   45.84   46.99
3NT, E, S, 9           4   94.67   45.84   98.83
3S, E, S, 7            1    3.99    3.99   50.00
4H, E, S, 9            2   42.80   42.80   50.00

DEFENDER, Board 10|4

Contract           Count Overall     Bid    Lead Restdef
2H, W, S, 9            1   10.53   10.53   50.00   50.00
2NT, E, D, 8           1   15.64   18.79   47.54   49.31
2NT, E, S, 8           5   15.64   18.79   53.79   43.06
3D, E, D, 9            1   20.82   20.82   51.99   48.01
3NT, E, C, 10          1    0.76   54.16   34.44   12.16
3NT, E, C, 8           2   57.17   54.16   34.44   68.57
3NT, E, D, 8          17   57.17   54.16   50.97   52.04
3NT, E, D, 9           1    5.33   54.16   50.97    0.20
3NT, E, H, 8           1   57.17   54.16   53.74   49.27
3NT, E, S, 6           1   99.24   54.16   51.89   93.19
3NT, E, S, 7           3   95.22   54.16   51.89   89.16
3NT, E, S, 8          17   57.17   54.16   51.89   51.11
3NT, E, S, 9           4    5.33   54.16   51.89   -0.72
3S, E, S, 7            1   96.01   96.01   49.60   50.40
4H, E, S, 9            2   57.20   57.20   50.70   49.30

DECLARER, Board 11|5

Contract           Count Overall     Bid    Play
1NT, E, C, 8           1   44.20   54.20   39.99
1NT, E, D, 9           4   62.55   54.20   58.34
1NT, W, C, 7           1   25.38   34.44   40.94
1NT, W, C, 8           4   43.42   34.44   58.98
1NT, W, H, 6           3   13.20   34.44   28.76
1NT, W, H, 7           4   25.38   34.44   40.94
1NT, W, H, 8           3   43.42   34.44   58.98
1NT, W, H, 9           1   62.04   34.44   77.60
1NTX, W, H, 7          1   74.43   67.26   57.18
1NTX, W, H, 9          1   86.05   67.26   68.79
2CX, N, H, 7           1   20.74   20.74   50.00
2D, S, S, 5            1   14.68   14.68   50.00
2H, N, D, 7            1   67.60   58.86   58.74
2H, N, H, 7            2   67.60   58.86   58.74
2H, N, H, 8            1   98.87   58.86   90.02
2HX, N, D, 6           1    2.26   26.68   25.58
2HX, N, H, 6           1    2.26   26.68   25.58
2HX, N, H, 7           1   20.62   26.68   43.94
2NT, E, C, 8           1   44.20   52.75   41.45
2NT, E, D, 10          1   73.33   52.75   70.58
2NT, E, D, 8           1   44.20   52.75   41.45
2NT, E, D, 9           6   62.55   52.75   59.80
2NT, E, H, 7           1   13.25   52.75   10.50
2NT, E, H, 8           2   44.20   52.75   41.45
2S, E, H, 7            1   12.47   12.47   50.00
2S, N, D, 5            1   14.24   11.48   52.76
2SX, N, S, 4           1    0.00    0.00   50.00
3D, E, H, 8            1   12.47   12.47   50.00
3DX, E, H, 8           1    2.96    2.96   50.00
3NT, E, D, 10          1   96.20   60.55   85.66
3NT, E, D, 8           2   12.91   60.55    2.36
3NT, E, D, 9           4   91.44   60.55   80.90
3NT, E, H, 7           2    3.73   60.55   -6.81

DEFENDER, Board 11|5

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 8           1   55.80   45.80   59.47   50.54
1NT, E, D, 9           4   37.45   45.80   41.28   50.38
1NT, W, C, 7           1   74.62   65.56   43.74   65.32
1NT, W, C, 8           4   56.58   65.56   43.74   47.29
1NT, W, H, 6           3   86.80   65.56   51.65   69.59
1NT, W, H, 7           4   74.62   65.56   51.65   57.41
1NT, W, H, 8           3   56.58   65.56   51.65   39.38
1NT, W, H, 9           1   37.96   65.56   51.65   20.75
1NTX, W, H, 7          1   25.57   32.74   55.17   37.65
1NTX, W, H, 9          1   13.95   32.74   55.17   26.04
2CX, N, H, 7           1   79.26   79.26   50.57   49.43
2D, S, S, 5            1   85.32   85.32   48.01   51.99
2H, N, D, 7            1   32.40   41.14   64.56   26.70
2H, N, H, 7            2   32.40   41.14   43.77   47.49
2H, N, H, 8            1    1.13   41.14   43.77   16.22
2HX, N, D, 6           1   97.74   73.32   65.27   59.15
2HX, N, H, 6           1   97.74   73.32   44.05   80.38
2HX, N, H, 7           1   79.38   73.32   44.05   62.01
2NT, E, C, 8           1   55.80   47.25   58.01   50.54
2NT, E, D, 10          1   26.67   47.25   39.82   39.60
2NT, E, D, 8           1   55.80   47.25   39.82   68.73
2NT, E, D, 9           6   37.45   47.25   39.82   50.38
2NT, E, H, 7           1   86.75   47.25   76.96   62.54
2NT, E, H, 8           2   55.80   47.25   76.96   31.59
2S, E, H, 7            1   87.53   87.53   49.31   50.69
2S, N, D, 5            1   85.76   88.52   44.82   52.42
2SX, N, S, 4           1  100.00  100.00   50.00   50.00
3D, E, H, 8            1   87.53   87.53   49.31   50.69
3DX, E, H, 8           1   97.04   97.04   49.45   50.55
3NT, E, D, 10          1    3.80   39.45   31.92   32.42
3NT, E, D, 8           2   87.09   39.45   31.92  115.71
3NT, E, D, 9           4    8.56   39.45   31.92   37.18
3NT, E, H, 7           2   96.27   39.45  103.18   53.63

DECLARER, Board 11|6

Contract           Count Overall     Bid    Play
4H, N, S, 10           1   55.04   55.04   50.00
4H, S, S, 10           1   55.37   55.98   49.40
4H, S, S, 11           1   59.28   55.98   53.30
4S, E, C, 9            2   69.98   67.99   51.99
4SX, E, C, 8           2   32.72   53.55   29.17
4SX, E, C, 9           7   58.18   53.55   54.63
4SX, E, D, 9           1   58.18   53.55   54.63
4SX, E, H, 8           1   32.72   53.55   29.17
4SX, E, H, 9           1   58.18   53.55   54.63
5C, S, S, 13           1   57.19   56.05   51.14
5CX, S, H, 12          1   81.17   83.67   47.49
5H, S, S, 10           2   26.05   39.67   36.38
5H, S, S, 11           1   59.28   39.67   69.61
5HX, S, H, 12          1   87.55   41.10   96.46
5HX, S, S, 10         10   12.58   41.10   21.49
5HX, S, S, 11          6   80.37   41.10   89.27
5HX, S, S, 9           1    1.11   41.10   10.02
5S, E, C, 9            1   58.18   56.40   51.78
5S, E, S, 9            1   58.18   56.40   51.78
5SX, E, C, 8           1   10.43   27.95   32.48
5SX, E, C, 9           4   31.84   27.95   53.89
5SX, E, H, 9           1   31.84   27.95   53.89
6C, S, H, 12           1   92.12   92.12   50.00
6CX, S, H, 12          3   95.66   96.64   49.01
6CX, S, S, 13          1   98.29   96.64   51.64
6H, N, S, 10           1   12.25   12.25   50.00
6H, S, S, 11           2   25.24   20.12   55.12
6HX, S, S, 10          1    0.61    8.68   41.93
7C, S, S, 13           1  100.00   53.78   96.22

DEFENDER, Board 11|6

Contract           Count Overall     Bid    Lead Restdef
4H, N, S, 10           1   44.96   44.96   51.53   48.47
4H, S, S, 10           1   44.63   44.02   51.48   49.12
4H, S, S, 11           1   40.72   44.02   51.48   45.21
4S, E, C, 9            2   30.02   32.01   50.71   47.31
4SX, E, C, 8           2   67.28   46.45   50.14   70.68
4SX, E, C, 9           7   41.82   46.45   50.14   45.23
4SX, E, D, 9           1   41.82   46.45   45.66   49.72
4SX, E, H, 8           1   67.28   46.45   54.13   66.69
4SX, E, H, 9           1   41.82   46.45   54.13   41.24
5C, S, S, 13           1   42.81   43.95   49.91   48.95
5CX, S, H, 12          1   18.83   16.33   52.97   49.54
5H, S, S, 10           2   73.95   60.33   51.42   62.19
5H, S, S, 11           1   40.72   60.33   51.42   28.97
5HX, S, H, 12          1   12.45   58.90    3.38   50.17
5HX, S, S, 10         10   87.42   58.90   51.90   76.61
5HX, S, S, 11          6   19.63   58.90   51.90    8.83
5HX, S, S, 9           1   98.89   58.90   51.90   88.08
5S, E, C, 9            1   41.82   43.60   50.20   48.02
5S, E, S, 9            1   41.82   43.60   48.50   49.72
5SX, E, C, 8           1   89.57   72.05   49.36   68.16
5SX, E, C, 9           4   68.16   72.05   49.36   46.74
5SX, E, H, 9           1   68.16   72.05   52.80   43.30
6C, S, H, 12           1    7.88    7.88   50.89   49.11
6CX, S, H, 12          3    4.34    3.36   51.91   49.08
6CX, S, S, 13          1    1.71    3.36   48.40   49.96
6H, N, S, 10           1   87.75   87.75   49.97   50.03
6H, S, S, 11           2   74.76   79.88   52.93   41.95
6HX, S, S, 10          1   99.39   91.32   53.27   54.80
7C, S, S, 13           1    0.00   46.22    3.78   50.00

DECLARER, Board 12|7

Contract           Count Overall     Bid    Play
2H, E, H, 11           1    0.00    0.00   50.00
3NT, E, C, 10          2   53.51   53.51   50.00
4H, E, C, 11           1   76.32   76.32   50.00
4H, W, C, 10           1   26.90   59.65   17.25
4H, W, C, 11           1   76.02   59.65   66.37
4H, W, D, 11           1   76.02   59.65   66.37
4S, E, C, 10           1   27.02   70.88    6.14
4S, E, C, 11           1   76.32   70.88   55.44
4S, E, D, 11           1   76.32   70.88   55.44
4S, E, D, 12           1   98.42   70.88   77.54
4S, E, H, 11           1   76.32   70.88   55.44
4S, W, C, 10          23   26.68   47.46   29.21
4S, W, C, 11          10   75.82   47.46   78.36
4S, W, D, 10           2   26.68   47.46   29.21
4S, W, D, 11           2   75.82   47.46   78.36
4S, W, D, 12           1   98.26   47.46  100.80
4S, W, H, 11           4   75.82   47.46   78.36
4S, W, S, 10           2   26.68   47.46   29.21
4S, W, S, 11           2   75.82   47.46   78.36

DEFENDER, Board 12|7

Contract           Count Overall     Bid    Lead Restdef
2H, E, H, 11           1  100.00  100.00   50.00   50.00
3NT, E, C, 10          2   46.49   46.49   50.00   50.00
4H, E, C, 11           1   23.68   23.68   50.00   50.00
4H, W, C, 10           1   73.10   40.35   58.33   74.42
4H, W, C, 11           1   23.98   40.35   58.33   25.29
4H, W, D, 11           1   23.98   40.35   33.33   50.29
4S, E, C, 10           1   72.98   29.12   69.56   74.30
4S, E, C, 11           1   23.68   29.12   69.56   25.00
4S, E, D, 11           1   23.68   29.12   33.16   61.40
4S, E, D, 12           1    1.58   29.12   33.16   39.30
4S, E, H, 11           1   23.68   29.12   44.56   50.00
4S, W, C, 10          23   73.32   52.54   56.00   64.79
4S, W, C, 11          10   24.18   52.54   56.00   15.65
4S, W, D, 10           2   73.32   52.54   36.59   84.20
4S, W, D, 11           2   24.18   52.54   36.59   35.06
4S, W, D, 12           1    1.74   52.54   36.59   12.61
4S, W, H, 11           4   24.18   52.54   21.15   50.50
4S, W, S, 10           2   73.32   52.54   46.15   74.64
4S, W, S, 11           2   24.18   52.54   46.15   25.50

DECLARER, Board 12|8

Contract           Count Overall     Bid    Play
2C, E, C, 8            1   25.51   24.68   50.83
2C, E, H, 7            1   12.41   24.68   37.73
2C, E, H, 8            1   25.51   24.68   50.83
2C, E, H, 9            1   34.48   24.68   59.80
2CX, E, H, 8           1   96.78   78.03   68.75
2D, E, H, 8            1   25.51   25.51   50.00
2H, N, C, 8            1   99.87   99.87   50.00
2NT, E, H, 7           2   11.70   11.70   50.00
2NT, W, H, 7           1   12.14   24.55   37.59
2S, E, C, 9            3   64.69   67.03   47.66
2S, E, D, 8            1   35.98   67.03   18.95
2S, E, H, 10           2   93.10   67.03   76.06
2S, E, H, 9            1   64.69   67.03   47.66
2S, W, C, 10           1   92.98   61.67   81.31
2S, W, C, 9            1   64.56   61.67   52.89
2S, W, D, 8            1   35.93   61.67   24.26
2S, W, D, 9            5   64.56   61.67   52.89
2S, W, H, 9            1   64.56   61.67   52.89
3D, E, H, 8            1   11.70   11.70   50.00
3H, N, C, 8            1   78.88   78.88   50.00
3H, S, S, 8            1   78.53   74.95   53.58
3HX, S, C, 7           1    1.47   41.81    9.66
3HX, S, C, 8           2   68.71   41.81   76.89
3HX, S, D, 7           1    1.47   41.81    9.66
3NT, W, H, 8           1   11.27    7.03   54.24
3S, E, D, 9            1   64.69   65.08   49.61
3S, E, H, 9            3   64.69   65.08   49.61
3S, W, D, 7            1    3.19   59.66   -6.46
3S, W, D, 9            8   64.56   59.66   54.90
3S, W, H, 8            1   12.46   59.66    2.80
3S, W, H, 9            7   64.56   59.66   54.90
4S, E, H, 9            1   11.78   25.75   36.03
4S, W, H, 9            2   11.64   13.77   47.88

DEFENDER, Board 12|8

Contract           Count Overall     Bid    Lead Restdef
2C, E, C, 8            1   74.49   75.32   48.36   50.81
2C, E, H, 7            1   87.59   75.32   49.90   62.37
2C, E, H, 8            1   74.49   75.32   49.90   49.28
2C, E, H, 9            1   65.52   75.32   49.90   40.30
2CX, E, H, 8           1    3.22   21.97   55.21   26.05
2D, E, H, 8            1   74.49   74.49   49.19   50.81
2H, N, C, 8            1    0.13    0.13   49.87   50.13
2NT, E, H, 7           2   88.30   88.30   50.30   49.70
2NT, W, H, 7           1   87.86   75.45   49.88   62.52
2S, E, C, 9            3   35.31   32.97   53.00   49.34
2S, E, D, 8            1   64.02   32.97   67.47   63.58
2S, E, H, 10           2    6.90   32.97   44.73   29.21
2S, E, H, 9            1   35.31   32.97   44.73   57.61
2S, W, C, 10           1    7.02   38.33   33.16   35.53
2S, W, C, 9            1   35.44   38.33   33.16   63.95
2S, W, D, 8            1   64.07   38.33   53.07   72.67
2S, W, D, 9            5   35.44   38.33   53.07   44.04
2S, W, H, 9            1   35.44   38.33   50.26   46.85
3D, E, H, 8            1   88.30   88.30   50.30   49.70
3H, N, C, 8            1   21.12   21.12   50.81   49.19
3H, S, S, 8            1   21.47   25.05   46.88   49.54
3HX, S, C, 7           1   98.53   58.19   45.32   95.02
3HX, S, C, 8           2   31.29   58.19   45.32   27.79
3HX, S, D, 7           1   98.53   58.19   90.93   49.41
3NT, W, H, 8           1   88.73   92.97   50.45   45.31
3S, E, D, 9            1   35.31   34.92   77.36   23.03
3S, E, H, 9            3   35.31   34.92   42.77   57.61
3S, W, D, 7            1   96.81   40.34   53.28  103.18
3S, W, D, 9            8   35.44   40.34   53.28   41.82
3S, W, H, 8            1   87.54   40.34   50.41   96.79
3S, W, H, 9            7   35.44   40.34   50.41   44.70
4S, E, H, 9            1   88.22   74.25   39.04   74.94
4S, W, H, 9            2   88.36   86.23   53.24   48.88

DECLARER, Board 13|10

Contract           Count Overall     Bid    Play
3NT, S, S, 8           2    3.50    5.32   48.18
3NT, S, S, 9           1    8.95    5.32   53.64
3SX, W, C, 7           1   92.66   92.88   49.78
4H, N, C, 12           3   80.34   60.10   70.24
4H, N, D, 12           1   80.34   60.10   70.24
4H, N, H, 12           1   80.34   60.10   70.24
4H, N, S, 11           5   39.86   60.10   29.76
4H, S, C, 12           3   80.22   52.23   77.99
4H, S, H, 11           1   39.66   52.23   37.44
4H, S, H, 12           5   80.22   52.23   77.99
4H, S, H, 13           3   94.83   52.23   92.60
4H, S, S, 11          23   39.66   52.23   37.44
4SX, W, S, 8           1   91.78   46.82   94.96
5H, N, C, 12           1   80.34   60.10   70.24
5H, N, D, 12           1   80.34   60.10   70.24
5H, N, S, 11           1   39.86   60.10   29.76
5H, S, S, 11           2   39.66   52.23   37.44
6H, N, S, 11           1    3.64   51.42    2.23
6H, S, S, 11           1    3.45   30.45   23.00
6HX, S, S, 11          1    0.00   28.21   21.79

DEFENDER, Board 13|10

Contract           Count Overall     Bid    Lead Restdef
3NT, S, S, 8           2   96.50   94.68   48.30   53.52
3NT, S, S, 9           1   91.05   94.68   48.30   48.07
3SX, W, C, 7           1    7.34    7.12   52.52   47.69
4H, N, C, 12           3   19.66   39.90   27.64   52.11
4H, N, D, 12           1   19.66   39.90   27.64   52.11
4H, N, H, 12           1   19.66   39.90   27.64   52.11
4H, N, S, 11           5   60.14   39.90   68.87   51.37
4H, S, C, 12           3   19.78   47.77   19.77   52.24
4H, S, H, 11           1   60.34   47.77   19.09   93.47
4H, S, H, 12           5   19.78   47.77   19.09   52.92
4H, S, H, 13           3    5.17   47.77   19.09   38.31
4H, S, S, 11          23   60.34   47.77   61.00   51.56
4SX, W, S, 8           1    8.22   53.18    6.47   48.57
5H, N, C, 12           1   19.66   39.90   27.64   52.11
5H, N, D, 12           1   19.66   39.90   27.64   52.11
5H, N, S, 11           1   60.14   39.90   68.87   51.37
5H, S, S, 11           2   60.34   47.77   61.00   51.56
6H, N, S, 11           1   96.36   48.58   97.03   50.74
6H, S, S, 11           1   96.55   69.55   76.07   50.93
6HX, S, S, 11          1  100.00   71.79   78.21   50.00

DECLARER, Board 13|9

Contract           Count Overall     Bid    Play
1NTX, E, C, 6          1   19.47   59.61    9.87
2C, N, H, 8            1   49.15   38.65   60.51
2C, N, S, 6            1   17.63   38.65   28.99
2C, S, H, 7            8   36.90   40.65   46.25
2C, S, H, 8            3   48.92   40.65   58.27
2CX, S, H, 6           1    2.24   37.39   14.85
2CX, S, H, 7           1   17.31   37.39   29.92
2D, E, S, 6            1   19.04   19.04   50.00
2H, N, S, 10           1   70.13   61.70   58.43
2H, N, S, 8            8   60.00   61.70   48.30
2H, S, H, 8            1   60.48   74.73   35.75
2H, S, S, 11           2   80.53   74.73   55.79
2HX, S, H, 11          1  100.00   99.92   50.08
2S, W, D, 6            1   19.04   19.04   50.00
3C, N, S, 8            1   36.35   26.31   60.04
3C, S, C, 9            1   58.86   24.49   84.37
3C, S, H, 7            2   17.31   24.49   42.82
3C, S, H, 8            2   36.11   24.49   61.63
3CX, S, H, 7           1    1.67   10.84   40.83
3CX, S, H, 8           1   16.52   10.84   55.68
3H, N, S, 9            1   65.22   48.45   66.77
3H, S, H, 11           1   80.53   72.43   58.10
3H, S, S, 11           1   80.53   72.43   58.10
3HX, N, S, 8           1   17.35   48.92   18.44
3NT, E, C, 8           1   45.61   30.04   65.57
3NT, S, S, 5           1    3.82    3.82   50.00
4H, N, C, 10           1   90.00   43.10   96.90
4H, N, H, 10           1   90.00   43.10   96.90
4H, N, S, 10           4   90.00   43.10   96.90
4H, N, S, 6            1    4.65   43.10   11.55
4H, N, S, 8            2   17.35   43.10   24.26
4H, S, H, 10           3   90.92   86.18   54.74
4H, S, S, 10           1   90.92   86.18   54.74

DEFENDER, Board 13|9

Contract           Count Overall     Bid    Lead Restdef
1NTX, E, C, 6          1   80.53   40.39   47.32   92.81
2C, N, H, 8            1   50.85   61.35   45.66   43.83
2C, N, S, 6            1   82.37   61.35   60.58   60.44
2C, S, H, 7            8   63.10   59.35   57.55   46.20
2C, S, H, 8            3   51.08   59.35   57.55   34.18
2CX, S, H, 6           1   97.76   62.61   57.25   77.90
2CX, S, H, 7           1   82.69   62.61   57.25   62.83
2D, E, S, 6            1   80.96   80.96   44.47   55.53
2H, N, S, 10           1   29.87   38.30   53.42   38.15
2H, N, S, 8            8   40.00   38.30   53.42   48.28
2H, S, H, 8            1   39.52   25.27   55.87   58.38
2H, S, S, 11           2   19.47   25.27   51.05   43.16
2HX, S, H, 11          1    0.00    0.08   51.07   48.85
2S, W, D, 6            1   80.96   80.96   44.47   55.53
3C, N, S, 8            1   63.65   73.69   57.95   32.02
3C, S, C, 9            1   41.14   75.51   17.47   48.16
3C, S, H, 7            2   82.69   75.51   56.39   50.78
3C, S, H, 8            2   63.89   75.51   56.39   31.98
3CX, S, H, 7           1   98.33   89.16   56.13   53.04
3CX, S, H, 8           1   83.48   89.16   56.13   38.19
3H, N, S, 9            1   34.78   51.55   57.13   26.10
3H, S, H, 11           1   19.47   27.57   58.10   33.80
3H, S, S, 11           1   19.47   27.57   48.74   43.16
3HX, N, S, 8           1   82.65   51.08   58.12   73.45
3NT, E, C, 8           1   54.39   69.96   44.25   40.18
3NT, S, S, 5           1   96.18   96.18   49.43   50.57
4H, N, C, 10           1   10.00   56.90    2.75   50.35
4H, N, H, 10           1   10.00   56.90    2.75   50.35
4H, N, S, 10           4   10.00   56.90   58.06   -4.96
4H, N, S, 6            1   95.35   56.90   58.06   80.39
4H, N, S, 8            2   82.65   56.90   58.06   67.69
4H, S, H, 10           3    9.08   13.82   56.05   39.21
4H, S, S, 10           1    9.08   13.82   39.88   55.37

DECLARER, Board 14|11

Contract           Count Overall     Bid    Play
3CX, N, C, 5           2    2.38   39.75   12.63
3CX, N, C, 6           3   26.37   39.75   36.62
3CX, N, C, 7           2   91.65   39.75  101.90
3CX, N, D, 6           3   26.37   39.75   36.62
3CX, N, H, 6          15   26.37   39.75   36.62
3CX, N, H, 7           3   91.65   39.75  101.90
3CX, N, H, 8           1   97.43   39.75  107.67
3CX, N, S, 6           1   26.37   39.75   36.62
3NT, E, C, 11          1   37.38   37.38   50.00
3NT, E, C, 12          1   52.58   37.38   65.20
3NT, E, D, 10          1   22.18   37.38   34.80
3NT, W, C, 10          2   21.92   30.47   41.45
3NT, W, C, 11          3   37.05   30.47   56.58
3NT, W, C, 12          1   52.40   30.47   71.93
3NT, W, C, 9           1   14.46   30.47   33.99
3NT, W, D, 10          1   21.92   30.47   41.45
4CX, N, H, 7           1   25.58    9.11   66.47
4S, E, C, 10           1   17.09   40.12   26.98
4S, E, C, 11           4   29.70   40.12   39.59
4S, E, C, 12           2   45.71   40.12   55.60
4S, E, H, 13           1   93.60   40.12  103.48
4S, W, C, 11           1   29.81   40.60   39.22
4S, W, C, 12           4   45.93   40.60   55.33
4S, W, C, 13           1   93.60   40.60  103.00
4S, W, D, 10           1   16.88   40.60   26.28
4S, W, D, 8            1    0.77   40.60   10.17

DEFENDER, Board 14|11

Contract           Count Overall     Bid    Lead Restdef
3CX, N, C, 5           2   97.62   60.25   51.66   85.72
3CX, N, C, 6           3   73.63   60.25   51.66   61.72
3CX, N, C, 7           2    8.35   60.25   51.66   -3.56
3CX, N, D, 6           3   73.63   60.25   63.44   49.94
3CX, N, H, 6          15   73.63   60.25   46.51   66.87
3CX, N, H, 7           3    8.35   60.25   46.51    1.59
3CX, N, H, 8           1    2.57   60.25   46.51   -4.18
3CX, N, S, 6           1   73.63   60.25   63.44   49.94
3NT, E, C, 11          1   62.62   62.62   43.52   56.48
3NT, E, C, 12          1   47.42   62.62   43.52   41.28
3NT, E, D, 10          1   77.82   62.62   67.20   48.00
3NT, W, C, 10          2   78.08   69.53   50.15   58.41
3NT, W, C, 11          3   62.95   69.53   50.15   43.28
3NT, W, C, 12          1   47.60   69.53   50.15   27.92
3NT, W, C, 9           1   85.54   69.53   50.15   65.86
3NT, W, D, 10          1   78.08   69.53   60.30   48.26
4CX, N, H, 7           1   74.42   90.89   48.54   34.99
4S, E, C, 10           1   82.91   59.88   59.17   63.86
4S, E, C, 11           4   70.30   59.88   59.17   51.25
4S, E, C, 12           2   54.29   59.88   59.17   35.24
4S, E, H, 13           1    6.40   59.88   -5.50   52.01
4S, W, C, 11           1   70.19   59.40   40.16   70.62
4S, W, C, 12           4   54.07   59.40   40.16   54.51
4S, W, C, 13           1    6.40   59.40   40.16    6.84
4S, W, D, 10           1   83.12   59.40   83.14   40.58
4S, W, D, 8            1   99.23   59.40   83.14   56.69

DECLARER, Board 14|12

Contract           Count Overall     Bid    Play
2NT, W, S, 11          1   56.72   37.63   69.10
2NT, W, S, 8           1   36.15   37.63   48.52
3H, E, H, 10           1   48.42   48.42   50.00
3H, W, D, 10          10   48.37   47.72   50.65
3NT, E, C, 8           1   17.19   30.66   36.53
3NT, E, D, 8           1   17.19   30.66   36.53
3NT, E, D, 9           1   71.08   30.66   90.42
3NT, E, S, 8           1   17.19   30.66   36.53
3NT, W, C, 9           1   71.31   44.38   76.93
3NT, W, D, 8          11   17.40   44.38   23.02
3NT, W, D, 9          12   71.31   44.38   76.93
3NT, W, H, 9           1   71.31   44.38   76.93
3NT, W, S, 8           6   17.40   44.38   23.02
3NT, W, S, 9           2   71.31   44.38   76.93
4H, E, C, 10           2   92.53   92.53   50.00
4H, W, D, 10           5   92.48   87.81   54.67
4H, W, D, 9            1   17.79   87.81  -20.02

DEFENDER, Board 14|12

Contract           Count Overall     Bid    Lead Restdef
