Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
BEKKOUCHE Nadia - BINDERKRANTZ Trine;359;0,35;0,17;0,18;0,21;177;  0,16;177;0,10;84;0,30;93;0,04;90;0,01;87;0,13;177;
BALDYSZ Cathy - KROGULSKA Jolanta;340;0,33;-0,01;0,34;0,50;159;  0,20;179;0,78;84;0,18;75;-0,13;83;-0,10;96;0,31;179;
VAN ZWOL Wietske - VERBEEK Martine;359;0,33;0,01;0,31;0,04;172;  0,57;187;-0,06;89;0,14;83;0,10;79;0,18;108;0,42;187;
DEGREVE Nicole - MARECHAL Nicole;360;0,32;0,35;-0,03;-0,01;173;  -0,04;186;-0,39;82;0,33;91;0,01;89;0,13;97;-0,11;186;
OLIVIERI Gabriella - ARRIGONI Gianna;339;0,32;0,03;0,29;-0,00;163;  0,57;173;0,58;71;-0,45;92;0,06;89;0,41;84;0,35;173;
VOROBEYCHIKOVA Olga - CHUBAROVA Svetlana;360;0,26;0,09;0,17;0,25;190;  0,08;166;0,41;100;0,07;90;-0,09;96;0,06;70;0,11;166;
ADAMSON Sheila - MARTIN Anne;360;0,25;0,04;0,21;0,03;176;  0,39;181;0,07;98;-0,03;78;0,09;89;0,27;92;0,20;181;
NEHMERT Pony Beate - GIAMPIETRO Cristina;260;0,23;0,32;-0,10;-0,07;112;  -0,12;144;-0,13;62;0,00;50;0,14;71;-0,08;73;-0,15;144;
ROSETTA Annalisa - VANUZZI Marilina;379;0,20;0,07;0,13;0,34;176;  -0,05;198;0,64;74;0,12;102;0,22;95;0,07;103;-0,19;198;
BRKLJACIC Tihana - MARTINOVIC Slavica;180;0,19;0,27;-0,08;-0,08;74;  -0,07;103;-0,01;41;-0,17;33;-0,13;56;-0,36;47;0,16;103;
SCHALTZ Dorthe - BILDE Dorte Cilleborg;379;0,18;0,23;-0,05;-0,15;200;  0,06;178;-0,39;88;0,05;112;-0,05;93;0,18;85;-0,00;178;
MIHOVA Elena - MITOVSKA Miriana;360;0,18;0,11;0,07;0,04;186;  0,10;174;0,01;99;0,06;87;-0,02;99;-0,01;75;0,12;174;
OLIVEIRA Anabella - ROSADO Alexandra;398;0,15;0,15;0,01;-0,13;191;  0,13;205;-0,32;101;0,09;90;-0,04;111;-0,13;94;0,21;205;
THORESEN Siv - HOMME Marianne;320;0,13;0,08;0,05;0,08;178;  0,01;140;-0,11;88;0,27;90;-0,03;62;-0,20;78;0,14;140;
SAWICKA Malgorzata - HARASIMOWICZ Ewa;340;0,10;0,08;0,02;-0,32;178;  0,39;160;-0,03;95;-0,64;83;0,03;70;0,21;90;0,26;160;
LEVI Hila - ASULIN Adi;160;0,08;-0,12;0,20;0,02;70;  0,35;89;-0,30;34;0,32;36;-0,06;50;-0,02;39;0,39;89;
COUTEAUX Antonella - ANGELINI Letizia;339;0,08;0,07;0,01;-0,16;159;  0,17;180;-0,02;71;-0,27;88;-0,06;102;0,01;78;0,20;180;
ATALAY Belis - ZAIM Mey;360;0,07;-0,05;0,12;0,45;190;  -0,25;170;0,53;105;0,34;85;-0,14;87;-0,22;83;-0,07;170;
GOGOMAN Adele - GRUMM Iris;539;0,07;-0,13;0,19;0,24;289;  0,13;248;0,25;142;0,23;147;-0,08;112;-0,09;136;0,22;248;
DELLA MONTA Annaig - HACKETT Barbara;300;0,05;-0,02;0,08;-0,01;141;  0,15;158;-0,06;70;0,04;71;0,15;73;-0,15;85;0,16;158;
KYRIAKIDOU Antonia (Nitsa) - LAMBRINOU Sophie;360;0,05;0,08;-0,03;-0,02;199;  -0,03;158;-0,05;104;0,00;95;-0,15;70;0,10;88;-0,02;158;
RASMUSSEN Helle - BILDE Lone;339;0,03;-0,11;0,14;0,04;187;  0,26;151;0,06;101;0,03;86;0,13;70;0,10;81;0,14;151;
MIRCHEVA Ralitsa Mihaylova - LEKOVA Anna;359;0,03;0,22;-0,19;-0,19;195;  -0,20;164;-0,20;88;-0,17;107;0,06;79;0,25;85;-0,36;164;
MITSI Georgia - VELAITOU Polina;360;0,03;0,07;-0,04;0,12;155;  -0,16;204;-0,24;73;0,43;82;-0,07;102;-0,06;102;-0,10;204;
HERNANDEZ Maria Eugenia - MESTRES Montserrat;340;0,02;0,03;-0,01;0,11;186;  -0,15;152;-0,00;96;0,22;90;0,19;77;-0,11;75;-0,20;152;
TAL Dana - TAL Noga;440;0,01;-0,01;0,02;0,17;196;  -0,10;242;-0,07;101;0,42;95;-0,08;129;-0,10;113;-0,01;242;
OZAN Eren - ALUF Tuna;379;-0,01;0,11;-0,12;-0,09;177;  -0,14;200;-0,40;99;0,30;78;-0,13;102;0,11;98;-0,13;200;
ERDOGAN Filiz Uygan - KIZIKLI Alev;340;-0,02;-0,18;0,16;-0,01;175;  0,34;164;-0,13;99;0,15;76;0,19;95;0,37;69;0,07;164;
CSIPKA Szilvia - MEZEI Katalin;340;-0,03;-0,09;0,06;0,09;159;  0,04;178;0,21;74;-0,02;85;0,09;83;0,02;95;-0,01;178;
ZALAI Agnes - HEGEDUS Orsolya;420;-0,05;0,00;-0,05;-0,08;210;  -0,02;207;0,09;111;-0,27;99;0,15;97;-0,07;110;-0,05;207;
SMEDEREVAC Jovanka - FISCHER Doris;239;-0,05;-0,04;-0,01;0,01;117;  -0,03;121;0,66;51;-0,50;66;0,10;54;-0,15;67;0,01;121;
TOPIOL Yael - DE GRAVE Greet;379;-0,06;0,10;-0,16;0,04;170;  -0,33;207;0,17;79;-0,06;91;-0,06;108;-0,02;99;-0,29;207;
RUSO Sandra - BRKLJACIC Tihana;120;-0,06;-0,08;0,02;0,18;60;  -0,15;59;0,87;26;-0,35;34;0,06;32;0,12;27;-0,24;59;
HADDAD Wafa - HANNA Adele;300;-0,09;-0,10;0,01;0,17;175;  -0,22;124;0,42;84;-0,06;91;0,04;61;-0,22;63;-0,13;124;
NIKITINA Alexandra - KHONICHEVA Elena;360;-0,14;0,01;-0,15;-0,10;188;  -0,21;171;0,12;87;-0,29;101;0,02;81;-0,08;90;-0,18;171;
PUNCH Sam - GUY Veronica;359;-0,14;0,03;-0,17;-0,15;181;  -0,18;176;-0,09;88;-0,21;93;-0,35;88;0,14;88;-0,08;176;
ECONOMOU Liana - KANELLOPOULOU Despina;360;-0,15;0,18;-0,32;-0,17;175;  -0,47;185;0,02;81;-0,32;94;-0,09;80;-0,23;105;-0,30;185;
ANTUNES Billie - MACHADO Maria Cristina;340;-0,15;-0,08;-0,07;-0,06;170;  -0,07;168;0,21;83;-0,32;87;-0,16;82;-0,13;86;0,07;168;
SAESSELI Irene - FIERZ Alicia;360;-0,18;0,00;-0,18;-0,36;170;  -0,02;188;-0,60;95;-0,06;75;0,14;91;0,01;97;-0,09;188;
CASTELLS Marina - CASTELLS-CONRADO Laura;360;-0,21;-0,03;-0,18;-0,25;167;  -0,12;191;-0,16;91;-0,35;76;-0,18;98;0,03;93;-0,04;191;
RETTEGHY Orsolya - HEGEDUS Orsolya;120;-0,25;-0,81;0,57;0,27;66;  0,95;53;0,21;33;0,33;33;0,07;23;1,00;30;0,35;53;
JOYCE Emer - KENNY Joan;360;-0,25;-0,10;-0,15;-0,04;187;  -0,27;171;-0,22;105;0,18;82;0,11;82;-0,23;89;-0,20;171;
SHEA Sheila Ann - WENNELL Elizabeth;400;-0,26;0,17;-0,43;-0,45;219;  -0,40;179;-0,58;142;-0,21;77;0,12;79;-0,29;100;-0,29;179;
BURNS Ciara - FINN Mary;380;-0,28;0,02;-0,30;-0,19;168;  -0,39;210;-0,40;83;0,01;85;-0,20;107;-0,14;103;-0,22;210;
SVENDSEN Tone Torkelsen - BROGELAND Tonje Aasand;300;-0,29;-0,27;-0,02;0,05;158;  -0,11;141;-0,03;73;0,13;85;-0,11;68;0,03;73;-0,07;141;
TUOMI Raija - AHONEN Hulda;500;-0,31;-0,23;-0,07;0,03;223;  -0,16;274;0,20;124;-0,18;99;-0,26;152;-0,00;122;-0,01;274;
BADRANKOVA Sviatlana - BELIANKINA Zoya;378;-0,31;-0,16;-0,15;-0,09;204;  -0,23;172;-0,29;106;0,13;98;0,19;74;-0,15;98;-0,23;172;
PANCHEVA Boriana - YANEVA Valya;360;-0,35;-0,48;0,13;0,19;168;  0,08;190;-0,38;80;0,70;88;-0,01;94;0,01;96;0,08;190;
RIGNEY Teresa - KULCHYCKY Jill;340;-0,35;-0,04;-0,31;-0,42;141;  -0,23;194;-0,29;70;-0,56;71;-0,18;94;-0,09;100;-0,09;194;
RUSO Lara - SVER Nikica;539;-0,35;-0,12;-0,23;-0,13;278;  -0,34;258;-0,35;149;0,12;129;-0,14;147;0,15;111;-0,33;258;
AL MOUAYAD Fayza - GHOSN Rita;198;-0,37;0,02;-0,39;-0,70;107;  -0,02;91;-0,41;46;-0,92;61;-0,19;53;-0,18;38;0,17;91;
MURUAGA Angeles - CRIADO DEL RAY Isabel;380;-0,42;-0,28;-0,14;-0,03;193;  -0,27;183;-0,03;100;-0,02;93;0,09;83;-0,01;100;-0,30;183;
SAVOLAINEN Pirkko - BARLUND Birgit;300;-0,47;-0,44;-0,03;0,00;155;  -0,06;144;-0,24;75;0,23;80;-0,13;87;-0,25;57;0,12;144;
GRANT Maida - McDONALD Sheila;360;-0,48;-0,30;-0,18;-0,04;178;  -0,33;179;-0,16;97;0,11;81;0,15;94;-0,02;85;-0,40;179;
TOMCIKOVA Zdena - ERDEOVA Jana;419;-0,49;-0,15;-0,33;-0,31;216;  -0,36;202;-0,54;109;-0,08;107;-0,17;102;0,00;100;-0,28;202;
SUPPULA Taru - ELSINEN Tiina;280;-0,50;-0,36;-0,14;-0,19;145;  -0,10;134;-0,03;75;-0,37;70;-0,23;77;0,06;57;0,01;134;
TICHA Magdalena - FORTOVA Eva;399;-0,53;-0,34;-0,19;-0,15;202;  -0,23;196;-0,13;106;-0,16;96;-0,01;108;0,17;88;-0,30;196;
MULLER Renata - RUSO Sandra;200;-0,54;-0,37;-0,17;-0,21;92;  -0,14;108;-0,21;52;-0,22;40;-0,04;55;0,19;53;-0,21;108;
SHOKHAN Elena - HAPONAVA Ulyana;360;-0,55;-0,16;-0,39;-0,50;163;  -0,30;193;-0,14;83;-0,88;80;-0,13;104;-0,28;89;-0,10;193;
TADEU Ana - LIMA Paula;338;-0,55;-0,25;-0,30;-0,33;168;  -0,28;170;-0,18;99;-0,54;69;-0,01;84;0,08;86;-0,31;170;
EWALD Jennifer Christina - KULL Miriam;340;-0,57;-0,38;-0,19;-0,46;178;  0,11;160;-0,76;95;-0,12;83;-0,07;75;0,18;85;0,04;160;
LEPESHKEVICH Natalia - MATVEJKO Valentina;338;-0,58;-0,21;-0,36;-0,30;162;  -0,44;172;-0,39;77;-0,21;85;0,07;95;-0,32;77;-0,33;172;
WOODRUFF Laura - CLENCH Gilly;380;-0,66;-0,37;-0,29;-0,16;221;  -0,47;158;-0,06;115;-0,27;106;0,36;78;-0,34;80;-0,48;158;
BAZ Corinne - HAMDAN Nahla;340;-0,68;-0,36;-0,33;-0,07;159;  -0,55;180;-0,31;66;0,10;93;-0,31;86;0,05;94;-0,43;180;
FETTES Gabi - HAIDORFER Andrea;360;-0,70;-0,30;-0,40;-0,48;170;  -0,34;188;-0,66;99;-0,22;71;-0,29;100;-0,05;88;-0,16;188;
SEVERSKA Marie - GROSMANOVA Tana;258;-0,95;-0,19;-0,75;-1,06;124;  -0,47;133;-1,10;58;-1,03;66;0,16;61;0,25;72;-0,68;133;
PATRICK Daphne - BELCHER Judith;300;-0,99;-0,49;-0,50;-0,65;144;  -0,38;153;-0,57;74;-0,73;70;-0,04;72;0,17;81;-0,45;153;
RETTEGHY Orsolya - CSIPKA Szilvia;140;-1,57;-0,68;-0,89;-0,91;71;  -0,91;66;-1,02;40;-0,77;31;-0,31;29;0,38;37;-0,99;66;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GHOSN Rita - HADDAD Wafa;20;0,53;0,17;0,37;1,53;6;  -0,13;14;2,07;3;1,00;3;0,06;7;-0,77;7;0,22;14;
RETTEGHY Orsolya - MEZEI Katalin;60;0,36;0,21;0,16;0,55;31;  -0,27;28;0,87;15;0,25;16;0,27;11;-0,09;17;-0,32;28;
MULLER Renata - BRKLJACIC Tihana;40;0,29;-0,27;0,56;1,02;24;  -0,13;16;1,26;14;0,68;10;-0,04;6;0,57;10;-0,47;16;
AL MOUAYAD Fayza - HAMDAN Nahla;60;0,17;-0,06;0,23;-0,05;32;  0,54;28;0,26;17;-0,41;15;0,70;16;0,18;12;0,06;28;
AL MOUAYAD Fayza - HADDAD Wafa;60;-0,01;-0,17;0,15;0,21;22;  0,13;37;0,19;12;0,23;10;0,06;21;0,47;16;-0,11;37;
SAESSELI Irene - KULL Miriam;20;-0,84;-0,47;-0,37;-0,92;12;  0,45;8;-1,56;8;0,37;4;0,00;5;-0,11;3;0,49;8;
GHOSN Rita - HANNA Adele;40;-1,37;-1,02;-0,36;-0,10;24;  -0,74;16;0,66;14;-1,16;10;0,32;6;-0,85;10;-0,33;16;
BAZ Corinne - GHOSN Rita;20;-2,58;-1,81;-0,76;-0,68;11;  -0,87;9;-0,09;8;-2,24;3;-0,77;4;-0,01;5;-0,52;9;

