DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
1NT, N, D, 6           5   -0.56   -0.56   -0.00
3C, E, C, 10           2   -1.10   -0.67   -0.21   -0.22
3C, E, C, 9            1   -0.44   -0.67   -0.21    0.44
3C, E, H, 11           1   -1.42   -0.67    0.04   -0.78
3C, E, H, 9            2   -0.44   -0.67    0.04    0.19
3H, N, S, 7            1    2.77    2.98   -0.43    0.22
3NT, E, D, 7           1    6.05   -2.44    0.52    7.98
3NT, E, D, 9           1   -9.91   -2.44    0.52   -7.98
3NT, N, H, 7           1    2.77    2.77    0.00    0.00
3NT, W, D, 6           1    7.92    2.60    0.07    5.25
3NT, W, D, 7           1    6.05    2.60    0.07    3.38
3NT, W, D, 8           5    3.99    2.60    0.07    1.32
3NT, W, D, 9           1   -9.91    2.60    0.07  -12.58
3NT, W, H, 6           1    7.92    2.60   -0.09    5.41
3NT, W, H, 7           3    6.05    2.60   -0.09    3.54
3NT, W, H, 8           4    3.99    2.60   -0.09    1.47
4C, E, D, 9            1    3.99    2.43    1.56    0.00
4C, E, H, 9            1    3.99    2.43    0.48    1.08
5C, W, D, 9            1    6.05    6.05    0.00    0.00
5CX, E, D, 9           1   10.56    7.45    3.11    0.00
5CX, E, H, 9           1   10.56    7.45   -1.31    4.41

DECLARER, Board 10|2

Contract           Count Overall     Bid    Play
1NT, E, C, 8           2    3.87    2.71    1.16
1NT, E, D, 8           1    3.87    2.71    1.16
1NT, E, H, 8           1    3.87    2.71    1.16
1NT, W, C, 5           1   -2.17    2.44   -4.61
1NT, W, C, 7          14    2.86    2.44    0.41
1NT, W, C, 8           3    3.87    2.44    1.43
1NT, W, C, 9           1    4.26    2.44    1.82
2D, E, C, 9            1    3.23    3.23   -0.00
2D, W, C, 10           1    3.96    3.42    0.55
2D, W, C, 9            1    3.23    3.42   -0.18
2D, W, H, 9            1    3.23    3.42   -0.18
2H, E, C, 8            2    3.23    1.94    1.30
2H, W, D, 8            1    3.23    3.23   -0.00
2NT, E, H, 6           1   -2.17    0.85   -3.02
2NT, E, S, 7           1   -0.66    0.85   -1.51
2NT, W, C, 6           1   -2.17    0.29   -2.46
2NT, W, C, 7           1   -0.66    0.29   -0.96
3D, W, C, 9            1    3.23    3.42   -0.18
3NT, E, C, 6           1   -3.58   -1.81   -1.78
3NT, E, D, 7           1   -2.17   -1.81   -0.36
3NT, E, H, 7           4   -2.17   -1.81   -0.36
3NT, E, H, 8           1   -0.66   -1.81    1.14
3NT, W, C, 5           2   -4.73   -1.87   -2.85
3NT, W, C, 6           6   -3.58   -1.87   -1.71
3NT, W, C, 7          12   -2.17   -1.87   -0.29
3NT, W, C, 8          11   -0.66   -1.87    1.21
3NT, W, D, 8           1   -0.66   -1.87    1.21
3NT, W, H, 7           3   -2.17   -1.87   -0.29
4H, E, C, 7            1   -3.58   -2.64   -0.94

DEFENDER, Board 10|2

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 8           2   -3.87   -2.71    0.35   -1.51
1NT, E, D, 8           1   -3.87   -2.71   -0.66   -0.51
1NT, E, H, 8           1   -3.87   -2.71    0.06   -1.23
1NT, W, C, 5           1    2.17   -2.44    0.05    4.56
1NT, W, C, 7          14   -2.86   -2.44    0.05   -0.46
1NT, W, C, 8           3   -3.87   -2.44    0.05   -1.48
1NT, W, C, 9           1   -4.26   -2.44    0.05   -1.87
2D, E, C, 9            1   -3.23   -3.23    0.00    0.00
2D, W, C, 10           1   -3.96   -3.42   -0.06   -0.48
2D, W, C, 9            1   -3.23   -3.42   -0.06    0.24
2D, W, H, 9            1   -3.23   -3.42    0.18    0.00
2H, E, C, 8            2   -3.23   -1.94    0.00   -1.30
2H, W, D, 8            1   -3.23   -3.23    0.00    0.00
2NT, E, H, 6           1    2.17   -0.85    0.43    2.59
2NT, E, S, 7           1    0.66   -0.85    1.51    0.00
2NT, W, C, 6           1    2.17   -0.29    0.01    2.45
2NT, W, C, 7           1    0.66   -0.29    0.01    0.94
3D, W, C, 9            1   -3.23   -3.42   -0.06    0.24
3NT, E, C, 6           1    3.58    1.81   -0.17    1.95
3NT, E, D, 7           1    2.17    1.81   -0.39    0.75
3NT, E, H, 7           4    2.17    1.81    0.13    0.23
3NT, E, H, 8           1    0.66    1.81    0.13   -1.28
3NT, W, C, 5           2    4.73    1.87    0.01    2.85
3NT, W, C, 6           6    3.58    1.87    0.01    1.70
3NT, W, C, 7          12    2.17    1.87    0.01    0.29
3NT, W, C, 8          11    0.66    1.87    0.01   -1.22
3NT, W, D, 8           1    0.66    1.87   -1.21    0.00
3NT, W, H, 7           3    2.17    1.87    0.29    0.00
4H, E, C, 7            1    3.58    2.64    0.00    0.94

DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
3C, N, H, 7            1   -9.05   -9.05   -0.00
3S, S, D, 9            1   -4.43   -3.64   -0.79
3S, S, S, 10           1   -3.47   -3.64    0.17
4S, N, D, 10           5    2.12    0.45    1.67
4S, N, D, 9            1   -7.88    0.45   -8.33
4S, S, C, 10           1    2.12    0.33    1.79
4S, S, D, 10          41    2.12    0.33    1.79
4S, S, D, 11           2    3.09    0.33    2.76
4S, S, D, 9            9   -7.88    0.33   -8.21
4S, S, H, 10           6    2.12    0.33    1.79
4S, S, H, 9            2   -7.88    0.33   -8.21
4S, S, S, 10           3    2.12    0.33    1.79
4SX, S, D, 10          1    6.45    3.69    2.77
4SX, S, D, 11          1    8.12    3.69    4.43
5S, S, H, 10           1   -7.88   -7.63   -0.25
5SX, S, H, 10          1   -9.05   -8.69   -0.36
5SX, S, H, 9           1  -10.82   -8.69   -2.13

DEFENDER, Board 10|3

Contract           Count Overall     Bid    Lead Restdef
3C, N, H, 7            1    9.05    9.05    0.00    0.00
3S, S, D, 9            1    4.43    3.64   -0.00    0.79
3S, S, S, 10           1    3.47    3.64   -0.17    0.00
4S, N, D, 10           5   -2.12   -0.45    0.00   -1.67
4S, N, D, 9            1    7.88   -0.45    0.00    8.33
4S, S, C, 10           1   -2.12   -0.33   -1.79    0.00
4S, S, D, 10          41   -2.12   -0.33   -0.02   -1.77
4S, S, D, 11           2   -3.09   -0.33   -0.02   -2.74
4S, S, D, 9            9    7.88   -0.33   -0.02    8.23
4S, S, H, 10           6   -2.12   -0.33    0.94   -2.73
4S, S, H, 9            2    7.88   -0.33    0.94    7.27
4S, S, S, 10           3   -2.12   -0.33   -1.79    0.00
4SX, S, D, 10          1   -6.45   -3.69   -0.04   -2.73
4SX, S, D, 11          1   -8.12   -3.69   -0.04   -4.39
5S, S, H, 10           1    7.88    7.63    0.57   -0.32
5SX, S, H, 10          1    9.05    8.69    0.85   -0.48
5SX, S, H, 9           1   10.82    8.69    0.85    1.28

DECLARER, Board 10|4

Contract           Count Overall     Bid    Play
1NT, E, C, 6           1   -0.65   -0.40   -0.25
1NT, E, C, 7           1    4.38   -0.40    4.77
1NT, E, D, 6           2   -0.65   -0.40   -0.25
1NT, E, H, 6          41   -0.65   -0.40   -0.25
1NT, E, H, 7           1    4.38   -0.40    4.77
1NT, E, S, 5           1   -3.55   -0.40   -3.15
1NT, E, S, 7           1    4.38   -0.40    4.77
1NT, W, C, 6          13   -0.65   -0.65    0.00
2C, N, D, 7            1   -4.40   -1.92   -2.49
2C, N, D, 8            1    0.57   -1.92    2.49
2D, E, D, 8            1    4.38    4.38   -0.00
2D, W, C, 8            2    4.38    4.42   -0.05
2D, W, D, 8            1    4.38    4.42   -0.05
2D, W, D, 9            1    4.55    4.42    0.12
2H, N, D, 8            2    0.69    1.28   -0.59
2H, N, D, 9            2    1.68    1.28    0.39
2H, S, S, 8            2    0.69    0.69   -0.00
3D, W, C, 8            1   -0.65    0.83   -1.48
3D, W, C, 9            1    4.55    0.83    3.71
3D, W, S, 8            1   -0.65    0.83   -1.48
4H, N, D, 9            1   -4.40   -5.24    0.83

DEFENDER, Board 10|4

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 6           1    0.65    0.40   -2.26    2.51
1NT, E, C, 7           1   -4.38    0.40   -2.26   -2.51
1NT, E, D, 6           2    0.65    0.40    0.25    0.00
1NT, E, H, 6          41    0.65    0.40    0.13    0.12
1NT, E, H, 7           1   -4.38    0.40    0.13   -4.91
1NT, E, S, 5           1    3.55    0.40   -0.81    3.96
1NT, E, S, 7           1   -4.38    0.40   -0.81   -3.96
1NT, W, C, 6          13    0.65    0.65    0.00   -0.00
2C, N, D, 7            1    4.40    1.92    0.00    2.49
2C, N, D, 8            1   -0.57    1.92    0.00   -2.49
2D, E, D, 8            1   -4.38   -4.38    0.00    0.00
2D, W, C, 8            2   -4.38   -4.42    0.01    0.04
2D, W, D, 8            1   -4.38   -4.42   -0.04    0.08
2D, W, D, 9            1   -4.55   -4.42   -0.04   -0.08
2H, N, D, 8            2   -0.69   -1.28    0.00    0.59
2H, N, D, 9            2   -1.68   -1.28    0.00   -0.39
2H, S, S, 8            2   -0.69   -0.69    0.00    0.00
3D, W, C, 8            1    0.65   -0.83    0.19    1.30
3D, W, C, 9            1   -4.55   -0.83    0.19   -3.90
3D, W, S, 8            1    0.65   -0.83    1.48    0.00
4H, N, D, 9            1    4.40    5.24    0.00   -0.83

DECLARER, Board 10|5

Contract           Count Overall     Bid    Play
2HX, W, S, 6           1    2.00    3.84   -1.84
2HX, W, S, 7           1    5.68    3.84    1.84
2S, N, H, 9            1   -4.73   -5.27    0.54
3H, S, D, 5            1  -11.21  -11.21   -0.00
3NT, N, C, 10          2    4.48    3.41    1.07
3NT, N, D, 10          2    4.48    3.41    1.07
3NT, N, D, 8           1   -7.71    3.41  -11.12
3NT, N, D, 9           4    3.77    3.41    0.36
3NT, N, H, 10          2    4.48    3.41    1.07
3NT, N, H, 9           8    3.77    3.41    0.36
3NT, N, S, 9           1    3.77    3.41    0.36
3NT, S, D, 10          5    4.48    1.90    2.58
3NT, S, D, 9          12    3.77    1.90    1.86
3NT, S, H, 11          1    5.30    1.90    3.40
3NT, S, H, 8           2   -7.71    1.90   -9.62
3NT, S, H, 9          10    3.77    1.90    1.86
3NT, S, S, 10          1    4.48    1.90    2.58
3NT, S, S, 8           5   -7.71    1.90   -9.62
3NT, S, S, 9           4    3.77    1.90    1.86
4CX, N, H, 9           1   -9.13  -10.74    1.61
4S, N, H, 10           2    4.48   -4.59    9.07
4S, N, H, 7            1  -10.53   -4.59   -5.94
4S, N, H, 8            2   -9.13   -4.59   -4.54
5C, N, D, 8            1  -10.53   -9.83   -0.70
5C, N, H, 9            1   -9.13   -9.83    0.70
5CX, N, H, 8           1  -14.60  -13.48   -1.12
5D, N, D, 8            1  -10.53  -10.53   -0.00
5D, S, H, 8            1  -10.53  -10.06   -0.47
5D, S, S, 8            1  -10.53  -10.06   -0.47
6D, N, H, 8            1  -11.21  -11.21   -0.00
6DX, S, H, 9           1  -14.60  -15.43    0.83

DEFENDER, Board 10|5

Contract           Count Overall     Bid    Lead Restdef
2HX, W, S, 6           1   -2.00   -3.84    0.00    1.84
2HX, W, S, 7           1   -5.68   -3.84    0.00   -1.84
2S, N, H, 9            1    4.73    5.27    0.00   -0.54
3H, S, D, 5            1   11.21   11.21    0.00    0.00
3NT, N, C, 10          2   -4.48   -3.41   -1.07    0.00
3NT, N, D, 10          2   -4.48   -3.41    1.08   -2.15
3NT, N, D, 8           1    7.71   -3.41    1.08   10.04
3NT, N, D, 9           4   -3.77   -3.41    1.08   -1.44
3NT, N, H, 10          2   -4.48   -3.41   -0.50   -0.57
3NT, N, H, 9           8   -3.77   -3.41   -0.50    0.14
3NT, N, S, 9           1   -3.77   -3.41   -0.36    0.00
3NT, S, D, 10          5   -4.48   -1.90   -2.07   -0.50
3NT, S, D, 9          12   -3.77   -1.90   -2.07    0.21
3NT, S, H, 11          1   -5.30   -1.90   -0.22   -3.18
3NT, S, H, 8           2    7.71   -1.90   -0.22    9.83
3NT, S, H, 9          10   -3.77   -1.90   -0.22   -1.65
3NT, S, S, 10          1   -4.48   -1.90    3.81   -6.38
3NT, S, S, 8           5    7.71   -1.90    3.81    5.81
3NT, S, S, 9           4   -3.77   -1.90    3.81   -5.67
4CX, N, H, 9           1    9.13   10.74   -0.54   -1.08
4S, N, H, 10           2   -4.48    4.59    0.00   -9.07
4S, N, H, 7            1   10.53    4.59    0.00    5.94
4S, N, H, 8            2    9.13    4.59    0.00    4.54
5C, N, D, 8            1   10.53    9.83    0.70    0.00
5C, N, H, 9            1    9.13    9.83   -0.23   -0.47
5CX, N, H, 8           1   14.60   13.48   -0.37    1.49
5D, N, D, 8            1   10.53   10.53    0.00    0.00
5D, S, H, 8            1   10.53   10.06   -0.23    0.70
5D, S, S, 8            1   10.53   10.06    0.47    0.00
6D, N, H, 8            1   11.21   11.21    0.00    0.00
6DX, S, H, 9           1   14.60   15.43   -0.21   -0.62

DECLARER, Board 10|6

Contract           Count Overall     Bid    Play
3NT, N, C, 10          1    0.14    0.00    0.14
3NT, N, D, 10          1    0.14    0.00    0.14
3NT, N, H, 10          2    0.14    0.00    0.14
3NT, N, H, 9           1   -0.84    0.00   -0.85
3NT, N, S, 10          2    0.14    0.00    0.14
3NT, S, C, 10          8    0.14    0.14    0.00
3NT, S, D, 10          1    0.14    0.14    0.00
3NT, S, D, 11          7    1.16    0.14    1.01
3NT, S, H, 10         34    0.14    0.14    0.00
3NT, S, H, 11          1    1.16    0.14    1.01
3NT, S, H, 8           1  -10.00    0.14  -10.14
3NT, S, S, 10         14    0.14    0.14    0.00
3NT, S, S, 11          2    1.16    0.14    1.01
4H, S, S, 9            1  -10.00  -10.00   -0.00
4NT, S, H, 10          2    0.14    0.13    0.01

DEFENDER, Board 10|6

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 10          1   -0.14   -0.00   -0.14    0.00
3NT, N, D, 10          1   -0.14   -0.00   -0.14    0.00
3NT, N, H, 10          2   -0.14   -0.00    0.19   -0.33
3NT, N, H, 9           1    0.84   -0.00    0.19    0.66
3NT, N, S, 10          2   -0.14   -0.00   -0.14    0.00
3NT, S, C, 10          8   -0.14   -0.14   -0.00    0.00
3NT, S, D, 10          1   -0.14   -0.14   -0.89    0.89
3NT, S, D, 11          7   -1.16   -0.14   -0.89   -0.13
3NT, S, H, 10         34   -0.14   -0.14    0.24   -0.24
3NT, S, H, 11          1   -1.16   -0.14    0.24   -1.25
3NT, S, H, 8           1   10.00   -0.14    0.24    9.90
3NT, S, S, 10         14   -0.14   -0.14   -0.13    0.13
3NT, S, S, 11          2   -1.16   -0.14   -0.13   -0.89
4H, S, S, 9            1   10.00   10.00    0.00    0.00
4NT, S, H, 10          2   -0.14   -0.13    0.25   -0.26

DECLARER, Board 10|7

Contract           Count Overall     Bid    Play
2SX, N, C, 6           1   -0.05   -0.05   -0.00
3NT, E, C, 11          1    4.12   -1.14    5.26
3NT, E, C, 7           1  -10.79   -1.14   -9.65
3NT, E, D, 11          1    4.12   -1.14    5.26
3NT, E, D, 8           1   -9.45   -1.14   -8.32
3NT, E, D, 9           1    2.36   -1.14    3.50
3NT, E, H, 9           1    2.36   -1.14    3.50
3NT, E, S, 8           4   -9.45   -1.14   -8.32
3NT, E, S, 9          12    2.36   -1.14    3.50
3NT, W, C, 10          1    3.16    0.70    2.46
3NT, W, C, 8           2   -9.45    0.70  -10.15
3NT, W, C, 9           3    2.36    0.70    1.66
3NT, W, D, 10          9    3.16    0.70    2.46
3NT, W, D, 11          5    4.12    0.70    3.42
3NT, W, D, 9           6    2.36    0.70    1.66
3NT, W, H, 10          2    3.16    0.70    2.46
3NT, W, S, 10          2    3.16    0.70    2.46
3NT, W, S, 8           7   -9.45    0.70  -10.15
3NT, W, S, 9          15    2.36    0.70    1.66
4H, E, S, 10           1    3.14    3.14   -0.00
4NT, E, S, 8           1  -10.79   -8.74   -2.06
6H, W, C, 9            1  -12.06  -12.06   -0.00

DEFENDER, Board 10|7

Contract           Count Overall     Bid    Lead Restdef
2SX, N, C, 6           1    0.05    0.05    0.00    0.00
3NT, E, C, 11          1   -4.12    1.14    2.20   -7.45
3NT, E, C, 7           1   10.79    1.14    2.20    7.45
3NT, E, D, 11          1   -4.12    1.14   -0.15   -5.11
3NT, E, D, 8           1    9.45    1.14   -0.15    8.46
3NT, E, D, 9           1   -2.36    1.14   -0.15   -3.35
3NT, E, H, 9           1   -2.36    1.14   -3.50    0.00
3NT, E, S, 8           4    9.45    1.14   -0.03    8.34
3NT, E, S, 9          12   -2.36    1.14   -0.03   -3.48
3NT, W, C, 10          1   -3.16   -0.70    2.14   -4.60
3NT, W, C, 8           2    9.45   -0.70    2.14    8.01
3NT, W, C, 9           3   -2.36   -0.70    2.14   -3.81
3NT, W, D, 10          9   -3.16   -0.70   -2.46    0.00
3NT, W, D, 11          5   -4.12   -0.70   -2.46   -0.96
3NT, W, D, 9           6   -2.36   -0.70   -2.46    0.79
3NT, W, H, 10          2   -3.16   -0.70   -2.46    0.00
3NT, W, S, 10          2   -3.16   -0.70    1.72   -4.17
3NT, W, S, 8           7    9.45   -0.70    1.72    8.44
3NT, W, S, 9          15   -2.36   -0.70    1.72   -3.38
4H, E, S, 10           1   -3.14   -3.14    0.00    0.00
4NT, E, S, 8           1   10.79    8.74    1.11    0.94
6H, W, C, 9            1   12.06   12.06    0.00    0.00

DECLARER, Board 10|8

Contract           Count Overall     Bid    Play
1NT, W, H, 7           1   -4.79   -3.10   -1.69
1NT, W, S, 10          1   -2.62   -3.10    0.48
1NT, W, S, 8           1   -3.97   -3.10   -0.87
2D, E, S, 10           1   -3.90   -4.05    0.15
2D, W, D, 10           1   -3.90   -4.16    0.26
2NT, E, S, 11          1   -2.10   -2.74    0.63
2NT, W, H, 10          2   -2.62   -3.25    0.63
2NT, W, H, 9           2   -3.30   -3.25   -0.05
2NT, W, S, 9           1   -3.30   -3.25   -0.05
2S, W, D, 6            1   -8.52   -6.47   -2.05
2S, W, D, 8            1   -4.42   -6.47    2.05
3D, E, H, 10           6   -3.90   -4.28    0.39
3D, E, H, 9            2   -4.42   -4.28   -0.13
3D, E, S, 8            1   -7.60   -4.28   -3.31
3D, E, S, 9            1   -4.42   -4.28   -0.13
3H, N, D, 8            1    5.66    5.66   -0.00
3H, S, H, 8            1    5.66    5.66   -0.00
3H, S, S, 8            1    5.66    5.66   -0.00
3NT, E, C, 10          2    3.27    2.77    0.50
3NT, E, D, 9           1    2.51    2.77   -0.26
3NT, E, H, 10          3    3.27    2.77    0.50
3NT, E, H, 11          2    4.04    2.77    1.27
3NT, E, H, 7           1   -8.52    2.77  -11.29
3NT, E, H, 8           1   -7.60    2.77  -10.37
3NT, E, H, 9           2    2.51    2.77   -0.26
3NT, E, S, 10         11    3.27    2.77    0.50
3NT, E, S, 11          9    4.04    2.77    1.27
3NT, E, S, 9           2    2.51    2.77   -0.26
3NT, W, C, 9           1    2.51    1.76    0.75
3NT, W, H, 10          2    3.27    1.76    1.52
3NT, W, H, 9           3    2.51    1.76    0.75
3NT, W, S, 10          1    3.27    1.76    1.52
3NT, W, S, 11          1    4.04    1.76    2.28
3NT, W, S, 9           2    2.51    1.76    0.75
3NTX, E, H, 9          1    6.04    7.21   -1.17
3NTX, W, S, 10         1    8.06    5.31    2.75
4DX, W, S, 9           1   -8.52   -1.70   -6.82
4H, S, C, 8            1    4.51    4.51   -0.00
4SX, E, H, 9           1   -8.52   -8.52   -0.00
5D, E, C, 11           1    2.51   -7.11    9.61
5H, S, D, 8            1    3.30    3.30   -0.00
5H, S, H, 8            1    3.30    3.30   -0.00

DEFENDER, Board 10|8

Contract           Count Overall     Bid    Lead Restdef
1NT, W, H, 7           1    4.79    3.10    0.08    1.61
1NT, W, S, 10          1    2.62    3.10   -0.12   -0.36
1NT, W, S, 8           1    3.97    3.10   -0.12    0.99
2D, E, S, 10           1    3.90    4.05    0.32   -0.47
2D, W, D, 10           1    3.90    4.16   -0.26    0.00
2NT, E, S, 11          1    2.10    2.74   -0.28   -0.35
2NT, W, H, 10          2    2.62    3.25    0.21   -0.84
2NT, W, H, 9           2    3.30    3.25    0.21   -0.16
2NT, W, S, 9           1    3.30    3.25   -0.27    0.32
2S, W, D, 6            1    8.52    6.47    0.00    2.05
2S, W, D, 8            1    4.42    6.47    0.00   -2.05
3D, E, H, 10           6    3.90    4.28   -0.26   -0.13
3D, E, H, 9            2    4.42    4.28   -0.26    0.39
3D, E, S, 8            1    7.60    4.28    1.02    2.29
3D, E, S, 9            1    4.42    4.28    1.02   -0.89
3H, N, D, 8            1   -5.66   -5.66    0.00    0.00
3H, S, H, 8            1   -5.66   -5.66    0.00    0.00
3H, S, S, 8            1   -5.66   -5.66    0.00    0.00
3NT, E, C, 10          2   -3.27   -2.77   -0.50    0.00
3NT, E, D, 9           1   -2.51   -2.77    0.26    0.00
3NT, E, H, 10          3   -3.27   -2.77    1.84   -2.34
3NT, E, H, 11          2   -4.04   -2.77    1.84   -3.11
3NT, E, H, 7           1    8.52   -2.77    1.84    9.45
3NT, E, H, 8           1    7.60   -2.77    1.84    8.53
3NT, E, H, 9           2   -2.51   -2.77    1.84   -1.58
3NT, E, S, 10         11   -3.27   -2.77   -0.77    0.27
3NT, E, S, 11          9   -4.04   -2.77   -0.77   -0.50
3NT, E, S, 9           2   -2.51   -2.77   -0.77    1.03
3NT, W, C, 9           1   -2.51   -1.76   -0.75    0.00
3NT, W, H, 10          2   -3.27   -1.76    0.05   -1.56
3NT, W, H, 9           3   -2.51   -1.76    0.05   -0.80
3NT, W, S, 10          1   -3.27   -1.76    0.03   -1.55
3NT, W, S, 11          1   -4.04   -1.76    0.03   -2.32
3NT, W, S, 9           2   -2.51   -1.76    0.03   -0.78
3NTX, E, H, 9          1   -6.04   -7.21    3.02   -1.85
3NTX, W, S, 10         1   -8.06   -5.31   -0.10   -2.66
4DX, W, S, 9           1    8.52    1.70    6.82    0.00
4H, S, C, 8            1   -4.51   -4.51    0.00    0.00
