Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
FARHAT Faten - KREIDIEH Hana;144;-0,10;-0,23;0,12;0,38;73;  -0,14;69;0,54;35;0,23;38;0,71;21;0,32;48;-0,58;69;
OZBAY Irem - ATES Ebru;192;-0,11;0,20;-0,31;-0,55;99;  -0,05;93;-0,20;54;-0,96;45;0,01;49;0,28;44;-0,18;93;
GRAIZER Nurit - MORAN OHAYON Orit;208;-0,11;-0,19;0,08;0,05;82;  0,11;125;-0,20;34;0,23;48;0,17;64;-0,11;61;0,07;125;
LEKOVA-KOVACHEVA Anna - MIRCHEVA Ralitsa Mihaylova;256;-0,13;-0,05;-0,08;0,10;155;  -0,35;101;0,12;76;0,07;79;0,05;55;-0,28;46;-0,25;101;
BABOT Mari Carmen - PANADERO Maria;239;-0,13;-0,16;0,04;-0,11;118;  0,19;120;0,27;52;-0,42;66;0,14;58;0,04;62;0,10;120;
BILDE Lone - RASMUSSEN Helle;349;-0,15;-0,19;0,04;0,10;194;  -0,04;155;0,14;106;0,06;88;0,03;81;-0,37;74;0,13;155;
CAMPAGNANO Debora - HUGON Elisabeth;128;-0,16;-0,49;0,33;-0,26;66;  0,96;62;-0,02;32;-0,48;34;0,66;35;0,38;27;0,43;62;
VECHIATTO Claudia - EGGELING Marie;240;-0,16;0,10;-0,26;-0,07;120;  -0,46;118;0,30;57;-0,41;63;-0,16;62;-0,28;56;-0,25;118;
WENNEVOLD Ida - HELNESS Gunn;240;-0,17;0,10;-0,27;-0,25;136;  -0,30;104;-0,00;70;-0,51;66;-0,30;66;-0,12;38;-0,07;104;
STEGAROIU Marina - PAVEL Jacqueline;350;-0,19;-0,13;-0,06;-0,34;161;  0,17;189;-0,32;73;-0,35;88;-0,04;119;0,20;70;0,12;189;
DJORDJEVIC Aleksandra - MANDZO Gordana;256;-0,20;-0,36;0,17;0,62;127;  -0,29;127;0,47;60;0,75;67;-0,12;46;-0,27;81;-0,07;127;
MIHOVA Elena - NIKOLOVA MARTA;240;-0,22;-0,07;-0,15;-0,44;117;  0,13;123;0,51;64;-1,60;53;-0,07;68;-0,09;55;0,21;123;
ZMUDA Justyna - DUFRAT Katarzyna;208;-0,23;0,00;-0,23;0,06;99;  -0,49;109;-0,04;51;0,16;48;0,40;71;-0,44;38;-0,59;109;
ECONOMOU Liana - MAMIDAKI Lina;256;-0,23;-0,19;-0,05;-0,03;126;  -0,06;129;-0,45;72;0,54;54;0,17;66;-0,34;63;0,02;129;
ZAIM Mey - ATALAY Belis;208;-0,25;-0,06;-0,19;0,14;108;  -0,55;100;-0,34;69;0,99;39;-0,01;47;0,05;53;-0,57;100;
THORESEN Siv - REMEN Solvi;192;-0,26;-0,65;0,39;0,07;94;  0,69;98;0,36;54;-0,32;40;0,40;36;-0,17;62;0,65;98;
KAZMUCHA Danuta - MISZEWSKA Ewa;192;-0,30;-0,29;-0,01;-0,26;85;  0,19;107;0,03;55;-0,80;30;-0,19;62;0,34;45;0,15;107;
AHLESVED Catharina - GRONKVIST Maria;176;-0,34;-0,14;-0,19;0,01;72;  -0,34;102;-0,14;32;0,13;40;-0,00;49;-0,09;53;-0,30;102;
McGOWAN Elizabeth (Liz) - PUNCH Sam;256;-0,34;0,03;-0,37;-0,26;140;  -0,51;115;0,12;77;-0,72;63;-0,19;52;-0,41;63;-0,19;115;
SIMIC Olga - DANILOVIC Vesna;272;-0,35;-0,07;-0,28;-0,23;146;  -0,33;126;-0,06;84;-0,46;62;-0,08;65;0,14;61;-0,36;126;
TOMLJANOVIC Sandra - MULLER Renata;223;-0,36;-0,17;-0,19;-0,03;108;  -0,34;115;-0,05;61;-0,00;47;-0,06;58;-0,04;57;-0,29;115;
MALAKOVA Desislava - MITEVA Marieta;208;-0,38;-0,20;-0,18;-0,10;85;  -0,24;121;-0,61;44;0,45;41;0,12;58;-0,07;63;-0,25;121;
SARV Pihel - VIILUP Triinu;304;-0,38;-0,30;-0,09;0,01;154;  -0,18;150;-0,16;95;0,28;59;-0,24;84;0,23;66;-0,15;150;
WISEMAN Yvonne - McQUAKER Fiona;224;-0,39;-0,20;-0,20;-0,10;116;  -0,30;108;-0,03;69;-0,20;47;-0,16;60;0,07;48;-0,24;108;
KYRIAKIDOU Antonia (Nitsa) - LAMBRINOU Sophie;224;-0,42;-0,01;-0,41;-0,46;121;  -0,35;103;-0,39;15;-0,47;106;-0,29;91;1,25;12;-0,24;103;
ANGEBRANDT Dietlind - PICHLER Eva;352;-0,46;-0,19;-0,27;-0,04;169;  -0,48;182;0,23;84;-0,30;85;-0,19;89;0,13;93;-0,45;182;
DOWLING-LONG Hilary - PENDER Gilda;224;-0,52;-0,43;-0,08;-0,41;112;  0,25;110;-0,11;51;-0,67;61;0,16;65;-0,14;45;0,21;110;
SEPP Tuul - TEINEMAA Irene;112;-0,62;-0,23;-0,38;-0,04;42;  -0,59;70;-0,39;20;0,27;22;-0,37;35;-0,38;35;-0,21;70;
CAFRANGA-MARTORELL Carmen - FRANCES Ana;207;-0,63;-0,34;-0,29;0,30;107;  -0,91;100;0,14;49;0,43;58;-0,03;56;-0,16;44;-0,82;100;
VOROBEYCHIKOVA Olga - CHUBAROVA Svetlana;192;-0,69;-0,54;-0,15;0,14;100;  -0,47;92;0,07;54;0,23;46;-0,22;48;-0,33;44;-0,20;92;
BRKLJACIC Tihana - KULOVIC-PROBST Sandra;176;-0,79;-0,05;-0,74;-0,86;87;  -0,63;88;-0,89;40;-0,83;47;-0,58;43;0,07;45;-0,38;88;
MITSI Georgia - PANAGAKI Maria;224;-0,82;-0,11;-0,71;-0,75;103;  -0,68;120;-0,88;61;-0,57;42;-0,39;54;-0,09;66;-0,46;120;
TALIJAN Biljana - BANJAC Bojana;176;-0,85;-0,36;-0,49;-0,81;83;  -0,21;92;-0,62;47;-1,05;36;0,18;48;-0,21;44;-0,20;92;
CHAMMAA Iman - HAMDAN Nahla;112;-2,42;-1,22;-1,20;-1,18;37;  -1,21;75;-1,58;18;-0,80;19;-0,71;32;-0,30;43;-0,74;75;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HAMDAN Nahla - KREIDIEH Hana;16;1,56;0,67;0,90;0,60;7;  1,12;9;0,48;3;0,69;4;2,51;3;0,06;6;0,25;9;
ANAWATI Claude - KREIDIEH Hana;96;0,02;-0,05;0,07;0,82;50;  -0,75;46;1,08;28;0,50;22;-1,60;13;0,07;33;-0,35;46;
FARHAT Faten - RAMADAN Youmna;32;-0,19;0,19;-0,38;-0,67;20;  0,10;12;-0,32;5;-0,78;15;-0,30;3;-0,16;9;0,29;12;
HAMDAN Nahla - ANAWATI Claude;96;-0,23;-0,19;-0,04;0,12;52;  -0,22;44;-0,21;27;0,48;25;0,29;18;0,07;26;-0,38;44;
KREIDIEH Hana - RAMADAN Youmna;16;-1,31;-0,44;-0,87;0,14;7;  -1,65;9;0,88;3;-0,42;4;-;0;-0,42;9;-1,23;9;
ANAWATI Claude - RAMADAN Youmna;47;-1,34;-1,09;-0,25;-0,16;29;  -0,39;18;0,57;9;-0,49;20;0,46;6;-0,12;12;-0,46;18;
CHAMMAA Iman - FARHAT Faten;80;-1,75;-1,16;-0,59;-0,71;39;  -0,48;41;-3,19;8;-0,06;31;-0,57;17;-0,17;24;-0,15;41;
FARHAT Faten - HAMDAN Nahla;32;-1,81;-1,24;-0,57;-1,54;22;  1,56;10;-1,19;11;-1,89;11;-0,44;1;0,56;9;1,09;10;

