DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2CX, W, C, 3           1  -12.00  -12.00    0.00
3NT, S, D, 12         27    0.36    0.68   -0.01   -0.32
3NT, S, D, 13          1   -0.64    0.68   -0.01   -1.31
3NT, S, S, 11          1    1.25    0.68    0.59   -0.02
5C, N, D, 12           3    2.26    2.26    0.01   -0.01
5C, N, H, 12           1    2.26    2.26    0.01   -0.01
5C, N, S, 12           1    2.26    2.26    0.01   -0.01
5C, S, D, 12           3    2.26    2.26    0.01   -0.01
6C, N, H, 12           1   -9.22   -9.22    0.00   -0.00
6C, N, S, 12           1   -9.22   -9.22    0.00   -0.00
6C, S, D, 12           3   -9.22   -9.22    0.00   -0.00

DECLARER, Board 10|4

Contract           Count Overall     Bid    Play
3NT, N, C, 10         10    0.60    0.45    0.15
3NT, N, C, 11          1    1.58    0.45    1.13
3NT, N, C, 9           3   -0.37    0.45   -0.82
3NT, N, D, 10          4    0.60    0.45    0.15
3NT, N, D, 11          1    1.58    0.45    1.13
3NT, N, D, 9           2   -0.37    0.45   -0.82
3NT, N, H, 10          2    0.60    0.45    0.15
3NT, N, H, 11          1    1.58    0.45    1.13
3NT, N, H, 9           2   -0.37    0.45   -0.82
3NT, N, S, 10         18    0.60    0.45    0.15
3NT, N, S, 11          2    1.58    0.45    1.13
3NT, N, S, 9           6   -0.37    0.45   -0.82
3NT, S, D, 10          1    0.58   -1.07    1.64
3NT, S, D, 9           2   -0.39   -1.07    0.67
3NT, S, H, 10          3    0.58   -1.07    1.64
3NT, S, H, 7           1  -12.65   -1.07  -11.59
3NT, S, H, 9           3   -0.39   -1.07    0.67
3NT, S, S, 10          1    0.58   -1.07    1.64
4H, S, S, 9            1  -11.84  -11.84    0.00

DEFENDER, Board 10|4

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 10         10   -0.60   -0.45   -0.01   -0.14
3NT, N, C, 11          1   -1.58   -0.45   -0.01   -1.12
3NT, N, C, 9           3    0.37   -0.45   -0.01    0.83
3NT, N, D, 10          4   -0.60   -0.45   -0.01   -0.14
3NT, N, D, 11          1   -1.58   -0.45   -0.01   -1.12
3NT, N, D, 9           2    0.37   -0.45   -0.01    0.83
3NT, N, H, 10          2   -0.60   -0.45    0.04   -0.19
3NT, N, H, 11          1   -1.58   -0.45    0.04   -1.18
3NT, N, H, 9           2    0.37   -0.45    0.04    0.78
3NT, N, S, 10         18   -0.60   -0.45    0.00   -0.15
3NT, N, S, 11          2   -1.58   -0.45    0.00   -1.13
3NT, N, S, 9           6    0.37   -0.45    0.00    0.82
3NT, S, D, 10          1   -0.58    1.07   -1.01   -0.63
3NT, S, D, 9           2    0.39    1.07   -1.01    0.34
3NT, S, H, 10          3   -0.58    1.07    0.67   -2.32
3NT, S, H, 7           1   12.65    1.07    0.67   10.91
3NT, S, H, 9           3    0.39    1.07    0.67   -1.35
3NT, S, S, 10          1   -0.58    1.07   -1.67    0.03
4H, S, S, 9            1   11.84   11.84    0.00   -0.00

DECLARER, Board 10|5

Contract           Count Overall     Bid    Play
1H, E, D, 9            2    0.69    0.81   -0.12
1NT, E, D, 7           1   -0.84   -0.18   -0.66
1NT, E, S, 10          1    1.65   -0.18    1.83
1NT, E, S, 7           2   -0.84   -0.18   -0.66
1NT, E, S, 8           4   -0.15   -0.18    0.04
1NT, W, D, 7           1   -0.85   -0.85    0.00
2D, N, S, 6            1   -2.33    2.57   -4.90
2D, N, S, 7            5    0.49    2.57   -2.07
2D, N, S, 8            3    5.12    2.57    2.55
2DX, N, D, 8           2    7.22    1.92    5.30
2H, E, D, 10           2    1.53    0.81    0.73
2H, E, D, 8            1   -0.29    0.81   -1.10
2H, E, D, 9            1    0.69    0.81   -0.12
2S, E, D, 10           1    1.54    1.07    0.47
2S, E, D, 9            1    0.69    1.07   -0.38
2S, W, C, 10           1    1.53    0.89    0.64
2S, W, D, 9            1    0.69    0.89   -0.20
2S, W, S, 10           2    1.53    0.89    0.64
3D, N, S, 8            1    0.43   -1.17    1.60
3S, E, C, 10           2    1.54    1.07    0.47
3S, E, C, 9            1    0.69    1.07   -0.38
3S, E, D, 10           1    1.54    1.07    0.47
3S, E, D, 9            2    0.69    1.07   -0.38
3S, W, C, 10           5    1.53    0.60    0.93
3S, W, C, 8            1   -4.34    0.60   -4.94
3S, W, C, 9            2    0.68    0.60    0.09
3S, W, D, 8            1   -4.34    0.60   -4.94
3S, W, D, 9           10    0.68    0.60    0.09
3S, W, H, 10           1    1.53    0.60    0.93
3S, W, S, 9            1    0.68    0.60    0.09
4S, E, D, 9            1   -4.35    0.81   -5.16
4S, W, D, 9            3   -4.37   -0.71   -3.66

DEFENDER, Board 10|5

Contract           Count Overall     Bid    Lead Restdef
1H, E, D, 9            2   -0.69   -0.81   -0.35    0.47
1NT, E, D, 7           1    0.84    0.18    0.29    0.36
1NT, E, S, 10          1   -1.65    0.18   -0.46   -1.37
1NT, E, S, 7           2    0.84    0.18   -0.46    1.12
1NT, E, S, 8           4    0.15    0.18   -0.46    0.43
1NT, W, D, 7           1    0.85    0.85   -0.38    0.38
2D, N, S, 6            1    2.33   -2.57    0.85    4.05
2D, N, S, 7            5   -0.49   -2.57    0.85    1.22
2D, N, S, 8            3   -5.12   -2.57    0.85   -3.40
2DX, N, D, 8           2   -7.22   -1.92   -5.11   -0.19
2H, E, D, 10           2   -1.53   -0.81   -0.35   -0.38
2H, E, D, 8            1    0.29   -0.81   -0.35    1.44
2H, E, D, 9            1   -0.69   -0.81   -0.35    0.47
2S, E, D, 10           1   -1.54   -1.07   -0.26   -0.21
2S, E, D, 9            1   -0.69   -1.07   -0.26    0.63
2S, W, C, 10           1   -1.53   -0.89   -0.61   -0.03
2S, W, D, 9            1   -0.69   -0.89   -0.07    0.28
2S, W, S, 10           2   -1.53   -0.89   -0.72    0.08
3D, N, S, 8            1   -0.43    1.17    0.67   -2.27
3S, E, C, 10           2   -1.54   -1.07   -0.55    0.08
3S, E, C, 9            1   -0.69   -1.07   -0.55    0.92
3S, E, D, 10           1   -1.54   -1.07   -0.26   -0.21
3S, E, D, 9            2   -0.69   -1.07   -0.26    0.63
3S, W, C, 10           5   -1.53   -0.60   -0.44   -0.49
3S, W, C, 8            1    4.34   -0.60   -0.44    5.38
3S, W, C, 9            2   -0.68   -0.60   -0.44    0.36
3S, W, D, 8            1    4.34   -0.60   -0.09    5.03
3S, W, D, 9           10   -0.68   -0.60   -0.09    0.00
3S, W, H, 10           1   -1.53   -0.60   -1.31    0.38
3S, W, S, 9            1   -0.68   -0.60   -1.02    0.93
4S, E, D, 9            1    4.35   -0.81    1.06    4.10
4S, W, D, 9            3    4.37    0.71    3.48    0.17

DECLARER, Board 10|6

Contract           Count Overall     Bid    Play
1NT, E, H, 2           1   -2.75    0.34   -3.09
1NT, E, H, 3           8    0.71    0.34    0.37
1NT, E, H, 4           1    2.81    0.34    2.47
1NT, E, S, 2           1   -2.75    0.34   -3.09
1NT, E, S, 3           2    0.71    0.34    0.37
2CX, E, S, 8           1   11.14   11.14    0.00
2DX, W, C, 8           2   11.14   11.14    0.00
2DX, W, H, 8           1   11.14   11.14    0.00
2H, S, D, 11           1   -4.86   -4.86    0.00
2NT, S, D, 8           1   -6.86   -6.86    0.00
2S, E, C, 4            1    0.71    0.71    0.00
4H, N, C, 11           9    1.14    1.14    0.00
4H, N, D, 11           7    1.14    1.14    0.00
4H, N, H, 11           2    1.14    1.14    0.00
4H, S, C, 11          12    1.14    1.14    0.00
4H, S, D, 11           7    1.14    1.14    0.00
4H, S, S, 11           5    1.14    1.14    0.00
5DX, E, S, 7           1  -12.27  -12.27    0.00
5H, N, D, 11           1    1.14    1.14    0.00

DEFENDER, Board 10|6

Contract           Count Overall     Bid    Lead Restdef
1NT, E, H, 2           1    2.75   -0.34   -0.24    3.33
1NT, E, H, 3           8   -0.71   -0.34   -0.24   -0.13
1NT, E, H, 4           1   -2.81   -0.34   -0.24   -2.23
1NT, E, S, 2           1    2.75   -0.34    0.79    2.30
1NT, E, S, 3           2   -0.71   -0.34    0.79   -1.17
2CX, E, S, 8           1  -11.14  -11.14    0.00    0.00
2DX, W, C, 8           2  -11.14  -11.14    0.00    0.00
2DX, W, H, 8           1  -11.14  -11.14    0.00    0.00
2H, S, D, 11           1    4.86    4.86    0.00    0.00
2NT, S, D, 8           1    6.86    6.86    0.00    0.00
2S, E, C, 4            1   -0.71   -0.71    0.00    0.00
4H, N, C, 11           9   -1.14   -1.14    0.00    0.00
4H, N, D, 11           7   -1.14   -1.14    0.00    0.00
4H, N, H, 11           2   -1.14   -1.14    0.00    0.00
4H, S, C, 11          12   -1.14   -1.14    0.00    0.00
4H, S, D, 11           7   -1.14   -1.14    0.00    0.00
4H, S, S, 11           5   -1.14   -1.14    0.00    0.00
5DX, E, S, 7           1   12.27   12.27    0.00    0.00
5H, N, D, 11           1   -1.14   -1.14    0.00    0.00

DECLARER, Board 10|7

Contract           Count Overall     Bid    Play
1NT, E, H, 5           1   -5.12   -5.12    0.00
2H, N, C, 8            2    2.57    2.63   -0.06
2H, N, C, 9            1    3.54    2.63    0.91
2H, N, D, 8            2    2.57    2.63   -0.06
2H, N, S, 8            2    2.57    2.63   -0.06
2H, S, S, 8           25    2.57    2.64   -0.06
2H, S, S, 9            1    3.54    2.64    0.90
2S, W, S, 8            1    2.83    2.83    0.00
3H, N, D, 8            6   -2.34   -1.99   -0.34
3H, N, S, 8            1   -2.34   -1.99   -0.34
3H, S, H, 8            1   -2.34   -1.95   -0.39
3H, S, H, 9            1    3.47   -1.95    5.42
3H, S, S, 8           10   -2.34   -1.95   -0.39
4H, N, D, 8            3   -4.81   -4.67   -0.14
4H, S, S, 8            5   -4.81   -4.65   -0.16
4H, S, S, 9            1   -2.39   -4.65    2.26
4HX, S, H, 8           1  -10.41  -10.04   -0.37

DEFENDER, Board 10|7

Contract           Count Overall     Bid    Lead Restdef
1NT, E, H, 5           1    5.12    5.12    0.01   -0.01
2H, N, C, 8            2   -2.57   -2.63   -0.28    0.34
2H, N, C, 9            1   -3.54   -2.63   -0.28   -0.63
2H, N, D, 8            2   -2.57   -2.63    0.04    0.01
2H, N, S, 8            2   -2.57   -2.63    0.04    0.01
2H, S, S, 8           25   -2.57   -2.64    0.00    0.06
2H, S, S, 9            1   -3.54   -2.64    0.00   -0.91
2S, W, S, 8            1   -2.83   -2.83    0.01   -0.01
3H, N, D, 8            6    2.34    1.99    0.34    0.00
3H, N, S, 8            1    2.34    1.99    0.34    0.00
3H, S, H, 8            1    2.34    1.95   -1.58    1.97
3H, S, H, 9            1   -3.47    1.95   -1.58   -3.83
3H, S, S, 8           10    2.34    1.95    0.10    0.28
4H, N, D, 8            3    4.81    4.67    0.14    0.00
4H, S, S, 8            5    4.81    4.65    0.04    0.12
4H, S, S, 9            1    2.39    4.65    0.04   -2.31
4HX, S, H, 8           1   10.41   10.04   -1.50    1.86

DECLARER, Board 10|8

Contract           Count Overall     Bid    Play
1NT, E, C, 7           1    2.00    2.00    0.00
1NT, W, H, 7           1    2.02    2.81   -0.79
1NT, W, S, 8           3    2.81    2.81    0.00
1NT, W, S, 9           1    3.60    2.81    0.79
2C, S, H, 6            1   -2.23   -1.18   -1.06
2CX, S, H, 7           1   -2.28   -3.40    1.12
2D, E, S, 9            1    2.43    2.43    0.00
2H, N, H, 7            1   -0.76    2.88   -3.64
2H, S, C, 9            1    3.97    3.15    0.82
2H, S, S, 8            2    3.06    3.15   -0.09
2NT, W, D, 8           1    2.80    2.20    0.60
2S, E, D, 7            2   -1.64   -2.09    0.45
2S, E, H, 6            1   -3.00   -2.09   -0.91
2S, E, S, 6            1   -3.00   -2.09   -0.91
2S, E, S, 7            5   -1.64   -2.09    0.45
2S, N, C, 5            1   -3.59   -2.71   -0.88
2S, N, H, 5            1   -3.59   -2.71   -0.88
2S, N, S, 6            3   -2.27   -2.71    0.44
2SX, N, S, 6           1   -6.83   -7.96    1.13
3C, S, H, 7            1   -2.27   -2.60    0.33
3C, S, S, 7            1   -2.27   -2.60    0.33
3H, N, H, 7            1   -2.20    1.02   -3.23
3H, N, H, 8            2   -0.79    1.02   -1.81
3H, N, S, 10           1    4.78    1.02    3.76
3H, N, S, 7            2   -2.20    1.02   -3.23
3H, N, S, 8            8   -0.79    1.02   -1.81
3H, N, S, 9            8    3.93    1.02    2.91
3H, S, S, 9            1    3.95    2.00    1.95
3S, E, H, 7            1   -3.03   -3.39    0.36
3S, E, S, 6            2   -4.10   -3.39   -0.71
4H, N, S, 8            1   -2.24   -1.46   -0.79
4H, N, S, 9            1   -0.83   -1.46    0.62
4H, S, C, 9            1   -0.83   -1.53    0.69
4H, S, S, 7            1   -3.57   -1.53   -2.05
4H, S, S, 9            2   -0.83   -1.53    0.69
4HX, N, S, 9           1   -2.31   -4.89    2.58

DEFENDER, Board 10|8

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 7           1   -2.00   -2.00   -0.03    0.03
1NT, W, H, 7           1   -2.02   -2.81    0.78    0.01
1NT, W, S, 8           3   -2.81   -2.81   -0.26    0.26
1NT, W, S, 9           1   -3.60   -2.81   -0.26   -0.52
2C, S, H, 6            1    2.23    1.18    0.15    0.91
2CX, S, H, 7           1    2.28    3.40    0.42   -1.54
2D, E, S, 9            1   -2.43   -2.43   -0.06    0.06
2H, N, H, 7            1    0.76   -2.88    1.77    1.87
2H, S, C, 9            1   -3.97   -3.15   -0.85    0.03
2H, S, S, 8            2   -3.06   -3.15    0.27   -0.18
2NT, W, D, 8           1   -2.80   -2.20   -0.67    0.07
2S, E, D, 7            2    1.64    2.09   -0.44   -0.01
2S, E, H, 6            1    3.00    2.09    0.24    0.67
2S, E, S, 6            1    3.00    2.09    0.07    0.84
2S, E, S, 7            5    1.64    2.09    0.07   -0.52
2S, N, C, 5            1    3.59    2.71    0.96   -0.08
2S, N, H, 5            1    3.59    2.71    0.96   -0.08
2S, N, S, 6            3    2.27    2.71   -0.41   -0.03
2SX, N, S, 6           1    6.83    7.96   -1.11   -0.03
3C, S, H, 7            1    2.27    2.60    0.16   -0.49
3C, S, S, 7            1    2.27    2.60   -0.30   -0.04
3H, N, H, 7            1    2.20   -1.02    2.60    0.63
3H, N, H, 8            2    0.79   -1.02    2.60   -0.78
3H, N, S, 10           1   -4.78   -1.02   -0.46   -3.29
3H, N, S, 7            2    2.20   -1.02   -0.46    3.69
3H, N, S, 8            8    0.79   -1.02   -0.46    2.28
3H, N, S, 9            8   -3.93   -1.02   -0.46   -2.45
3H, S, S, 9            1   -3.95   -2.00    0.67   -2.61
3S, E, H, 7            1    3.03    3.39    0.17   -0.53
3S, E, S, 6            2    4.10    3.39    0.04    0.68
4H, N, S, 8            1    2.24    1.46   -0.23    1.02
4H, N, S, 9            1    0.83    1.46   -0.23   -0.39
4H, S, C, 9            1    0.83    1.53   -0.69   -0.01
4H, S, S, 7            1    3.57    1.53    0.27    1.78
4H, S, S, 9            2    0.83    1.53    0.27   -0.97
4HX, N, S, 9           1    2.31    4.89   -0.63   -1.95

DECLARER, Board 10|9

Contract           Count Overall     Bid    Play
1D, S, H, 9            1    1.36    1.20    0.16
1NT, E, S, 5           2   -3.92   -3.92    0.00
1NT, N, C, 5           2   -3.86   -3.63   -0.24
1NT, S, D, 8           1    1.81    0.27    1.54
1NT, S, H, 5           1   -3.80    0.27   -4.08
1NT, S, H, 7           2    0.90    0.27    0.63
1NT, S, H, 9           1    2.54    0.27    2.26
1NT, S, S, 5           1   -3.80    0.27   -4.08
1NT, S, S, 8           2    1.81    0.27    1.54
1NTX, N, C, 5          1   -8.09   -7.26   -0.83
2C, E, S, 8            3    3.69    3.69    0.00
2C, W, H, 9            1    4.20    3.87    0.34
2D, N, C, 9            2    1.36    1.27    0.09
2D, N, H, 9            2    1.36    1.27    0.09
2D, N, S, 8            1    0.93    1.27   -0.35
2D, S, C, 9            1    1.36    1.20    0.16
2D, S, H, 8            4    0.92    1.20   -0.27
2D, S, H, 9            1    1.36    1.20    0.16
2H, E, S, 6            1   -3.92   -3.92    0.00
2NT, N, C, 5           1   -5.03   -4.81   -0.23
2NT, N, H, 6           1   -3.90   -4.81    0.91
2NT, S, H, 6           1   -3.82   -1.02   -2.80
2NT, S, H, 9           1    2.52   -1.02    3.54
3C, E, C, 8            4   -1.17   -1.17    0.00
3C, E, D, 8            1   -1.17   -1.17    0.00
3C, E, S, 8            6   -1.17   -1.17    0.00
3C, W, D, 8            2   -1.14    0.63   -1.77
3C, W, D, 9            1    4.16    0.63    3.53
3C, W, H, 8            1   -1.14    0.63   -1.77
3C, W, S, 8            1   -1.14    0.63   -1.77
3D, S, H, 8            3   -2.62   -0.12   -2.50
3D, S, H, 9            9    1.34   -0.12    1.46
3H, W, C, 6            1   -6.05   -6.05    0.00
3NT, S, H, 7           1   -3.84   -1.90   -1.94

DEFENDER, Board 10|9

Contract           Count Overall     Bid    Lead Restdef
1D, S, H, 9            1   -1.36   -1.20    0.11   -0.27
1NT, E, S, 5           2    3.92    3.92   -0.08    0.08
1NT, N, C, 5           2    3.86    3.63    0.32   -0.09
1NT, S, D, 8           1   -1.81   -0.27   -1.46   -0.08
1NT, S, H, 5           1    3.80   -0.27    0.18    3.90
1NT, S, H, 7           2   -0.90   -0.27    0.18   -0.81
1NT, S, H, 9           1   -2.54   -0.27    0.18   -2.44
1NT, S, S, 5           1    3.80   -0.27    0.44    3.64
1NT, S, S, 8           2   -1.81   -0.27    0.44   -1.98
1NTX, N, C, 5          1    8.09    7.26    0.93   -0.10
2C, E, S, 8            3   -3.69   -3.69   -0.13    0.13
2C, W, H, 9            1   -4.20   -3.87   -0.18   -0.16
2D, N, C, 9            2   -1.36   -1.27    0.00   -0.09
2D, N, H, 9            2   -1.36   -1.27    0.00   -0.09
2D, N, S, 8            1   -0.93   -1.27    0.48   -0.13
2D, S, C, 9            1   -1.36   -1.20   -0.07   -0.09
2D, S, H, 8            4   -0.92   -1.20    0.11    0.16
2D, S, H, 9            1   -1.36   -1.20    0.11   -0.27
2H, E, S, 6            1    3.92    3.92   -0.08    0.08
2NT, N, C, 5           1    5.03    4.81    0.34   -0.11
2NT, N, H, 6           1    3.90    4.81   -0.85   -0.06
2NT, S, H, 6           1    3.82    1.02    0.74    2.06
2NT, S, H, 9           1   -2.52    1.02    0.74   -4.28
3C, E, C, 8            4    1.17    1.17   -0.12    0.12
3C, E, D, 8            1    1.17    1.17   -0.12    0.12
3C, E, S, 8            6    1.17    1.17   -0.12    0.12
3C, W, D, 8            2    1.14   -0.63   -0.10    1.87
3C, W, D, 9            1   -4.16   -0.63   -0.10   -3.44
3C, W, H, 8            1    1.14   -0.63   -0.98    2.75
3C, W, S, 8            1    1.14   -0.63    1.67    0.09
3D, S, H, 8            3    2.62    0.12    0.17    2.32
3D, S, H, 9            9   -1.34    0.12    0.17   -1.63
3H, W, C, 6            1    6.05    6.05   -0.08    0.08
3NT, S, H, 7           1    3.84    1.90   -0.83    2.77

DECLARER, Board 11|11

Contract           Count Overall     Bid    Play
3NT, E, H, 12          1   -1.34   -1.34    0.00
3NT, W, D, 10          1   -3.11   -3.11    0.00
4S, E, D, 12           4   -1.55   -1.55    0.00
4S, E, H, 12          21   -1.55   -1.55    0.00
4S, E, S, 12           3   -1.55   -1.55    0.00
4S, S, C, 10           1   14.03   14.04   -0.01
4S, S, C, 11           1   14.05   14.04    0.01
4S, W, D, 12          12   -1.56   -1.92    0.36
4S, W, H, 10           1   -3.08   -1.92   -1.17
4S, W, H, 12           2   -1.56   -1.92    0.36
4S, W, H, 9            1  -10.69   -1.92   -8.78
