Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
STANICIC Ognjen - ZORIC Vedran;60;1,15;1,10;0,05;0,24;33;  -0,18;27;-0,26;24;1,57;24;-0,18;17;-0,05;10;-0,05;27;
LUKKE YURY - ZUBAN Vitaly;90;1,14;0,40;0,75;0,45;53;  1,18;37;0,01;27;0,90;27;-0,02;17;0,60;20;0,87;37;
DINKIN Sam - SHUSTER Michael;90;1,12;0,76;0,36;0,77;41;  0,02;49;0,06;19;1,39;19;0,22;29;0,41;20;-0,28;49;
NYSTROM Fredrik - UPMARK Johan;80;1,11;0,57;0,54;1,46;39;  -0,33;41;1,60;25;1,22;25;-0,26;17;0,18;24;-0,33;41;
DRIJVER Bob - NAB Bart;90;1,11;0,84;0,27;-0,13;49;  0,76;41;-0,00;27;-0,29;27;0,50;27;0,33;14;0,32;41;
DUBOIN Giorgio - BILDE Dennis;60;1,07;0,92;0,15;1,04;29;  -0,69;31;1,36;17;0,60;17;-0,63;16;0,74;15;-0,73;31;
HOFTANISKA Thor Erik - CHARLSEN Thomas;70;1,06;0,38;0,68;0,67;38;  0,72;31;0,07;16;1,11;16;-0,15;14;0,42;17;0,55;31;
AUBONNET Brigitte - JOLIGEON Francois;20;1,05;0,93;0,12;0,20;9;  0,06;11;3,64;3;-1,51;3;-0,09;4;-0,42;7;0,36;11;
HOYLAND Sam Inge - HOYLAND Sven Olai;90;1,03;0,74;0,30;0,45;45;  0,15;45;0,86;24;-0,03;24;0,24;28;-0,17;17;0,06;45;
REESS Vanessa - ZOCHOWSKA Joanna;70;1,03;0,91;0,12;-0,02;32;  0,24;37;0,97;13;-0,70;13;-0,05;14;0,13;23;0,18;37;
DECHELETTE Nicholas - IONTZEFF Georges;90;1,02;0,46;0,56;0,35;44;  0,76;46;0,49;19;0,26;19;0,04;27;0,25;19;0,63;46;
HELGEMO Geir - HELNESS Tor;90;0,98;0,45;0,53;0,96;43;  0,14;47;0,40;25;1,74;25;-0,08;20;0,49;27;-0,11;47;
MARILL Philippe - CRONIER Philippe;89;0,98;0,31;0,67;1,18;47;  0,10;41;0,67;14;1,39;14;0,52;22;0,11;19;-0,23;41;
KANDEMIR Ismail - KOLATA Suleyman;70;0,97;0,97;0,00;-0,21;38;  0,25;32;0,08;23;-0,65;23;0,19;15;-0,05;17;0,18;32;
SEMENTA Antonio - BOCCHI Norberto;60;0,93;0,48;0,45;0,00;26;  0,79;34;-1,16;13;1,16;13;0,02;15;-0,58;19;1,11;34;
KONTOMITROS Konstantinos - KOUKOUSELIS Tassos;60;0,92;0,96;-0,04;0,14;30;  -0,21;30;0,29;14;0,01;14;0,62;13;0,26;17;-0,63;30;
DAI Jianming - YANG Lixin;60;0,90;0,74;0,16;0,45;26;  -0,05;34;0,42;13;0,47;13;-0,32;19;-0,88;15;0,51;34;
DABROWSKI Maciej - PAWLAK Andrzej;60;0,90;0,47;0,43;1,18;32;  -0,41;28;0,94;19;1,52;19;-0,47;15;0,21;13;-0,26;28;
DE WIJS Simon - MULLER Bauke;70;0,89;-0,01;0,90;1,38;36;  0,39;34;1,56;15;1,25;15;-0,15;19;-0,29;15;0,60;34;
MORAN Mark - BOLAND Rory;40;0,88;1,23;-0,35;-0,82;15;  -0,07;25;-1,84;7;0,07;7;-0,08;14;-0,01;11;-0,02;25;
GINOSSAR Eldad - WILLENKEN Chris;70;0,86;0,40;0,46;0,62;37;  0,29;33;1,24;14;0,24;14;0,01;11;0,27;22;0,10;33;
PROKHOROV Dmitri - VOROBEI Pavel;60;0,85;0,65;0,20;-0,22;31;  0,68;28;-0,64;18;0,36;18;0,47;12;0,30;16;0,30;28;
ZHAO Jie - CHEN Yunlong;40;0,85;0,54;0,31;0,43;26;  0,08;14;0,63;8;0,34;8;-0,95;8;0,30;6;0,49;14;
PEREIRA Paulo Goncalves - TIMOTEO Reinaldo;20;0,85;0,76;0,09;-0,08;10;  0,26;10;-0,11;4;-0,06;4;0,03;6;0,79;4;-0,07;10;
DONEV Grozio - DRAGANOV Zhivko;90;0,84;0,62;0,22;0,93;47;  -0,56;43;1,39;30;0,12;30;-0,09;20;-0,96;23;0,00;43;
GROETHEIM Glenn - TONDEL Petter;90;0,82;0,02;0,80;0,84;39;  0,77;51;0,20;21;1,57;21;-0,09;27;0,16;24;0,74;51;
LANZAROTTI Massimo - CASTELLANI Enrico;50;0,82;0,07;0,75;0,23;27;  1,36;23;0,85;13;-0,34;13;0,10;3;0,49;20;0,93;23;
CURLIN Igor - ZHMAK Maksim;70;0,81;0,40;0,41;0,73;40;  -0,02;30;1,58;19;-0,04;19;0,16;11;0,10;19;-0,13;30;
FILIPOWICZ Dominik - MARTENS Krzysztof;20;0,80;0,58;0,22;-0,07;9;  0,45;11;0,02;6;-0,27;6;0,17;3;0,50;8;0,04;11;
MORAWSKI Dariusz - SALONEN Irmeli;10;0,80;-0,07;0,87;0,14;4;  1,35;6;0,14;4;0,00;4;0,80;4;-0,01;2;0,82;6;
NANEV Ivan - STEFANOV Julian;90;0,79;0,56;0,22;0,65;43;  -0,16;47;1,30;25;-0,26;25;0,35;19;-0,19;28;-0,19;47;
MICHELINI Mauri - PAPINI Luciano;70;0,77;0,57;0,20;-0,12;34;  0,50;36;-0,03;21;-0,27;21;0,23;22;0,02;14;0,35;36;
HACKETT Jason - HACKETT Justin;70;0,74;0,67;0,08;-0,13;33;  0,27;37;-0,58;16;0,29;16;-0,28;15;-0,09;22;0,44;37;
GARVEY Tommy - CARROLL John;70;0,71;0,14;0,57;0,14;35;  1,00;35;-0,70;13;0,64;13;-0,01;16;0,26;19;0,86;35;
KALITA Jacek - NOWOSADZKI Michal;70;0,70;0,43;0,27;0,66;39;  -0,23;31;0,67;27;0,64;27;0,40;13;-0,25;18;-0,25;31;
PADON Dror - TOWNSEND Tom;50;0,70;0,45;0,25;0,02;22;  0,44;28;0,26;8;-0,12;8;0,17;16;-0,60;12;0,60;28;
DELLE CAVE Giuseppe - MONTANARI Matteo;80;0,69;0,47;0,21;0,26;41;  0,16;39;0,67;30;-0,85;30;0,54;23;0,26;16;-0,26;39;
LIE Terje - MYRVOLD Ole Marius;90;0,68;0,66;0,02;0,09;51;  -0,07;39;0,07;28;0,11;28;0,17;11;0,00;28;-0,12;39;
KVANGRAVEN Nils Kare - TUNDAL Ulf Haakon;90;0,66;0,16;0,49;0,94;38;  0,17;52;0,29;17;1,47;17;0,04;30;-0,25;22;0,25;52;
AASENG Lasse - SVENDSEN Jan Petter;40;0,65;0,87;-0,22;0,00;21;  -0,47;19;-0,15;11;0,18;11;0,17;12;-0,06;7;-0,55;19;
BAHBOUT Sam - VANDERVORST Mike;90;0,64;0,40;0,24;0,32;40;  0,17;50;0,21;20;0,44;20;0,81;22;-0,72;28;0,22;50;
LINDQVIST Espen - BROGELAND Boye;70;0,63;0,19;0,44;0,16;34;  0,70;36;0,08;15;0,22;15;-0,32;18;0,03;18;0,85;36;
EGGELING Marie - ELLERBECK Max;89;0,62;0,40;0,22;0,25;37;  0,20;52;0,97;16;-0,29;16;-0,16;29;-0,21;23;0,38;52;
GRUDE Tor Eivind - JOHANSEN Lars Arthur;90;0,57;0,04;0,53;-0,06;38;  0,96;52;-0,40;22;0,40;22;0,04;31;0,83;21;0,60;52;
IVANOV Antoni - IVANOV Ivan;90;0,57;0,74;-0,17;0,13;44;  -0,45;46;0,21;23;0,04;23;-0,05;25;-0,16;21;-0,35;46;
GAO Fei - WU Shaohong;60;0,57;0,06;0,51;0,47;28;  0,55;32;-0,41;13;1,22;13;0,03;16;-0,11;16;0,59;32;
SRIDHARAN Padmanabhan - SRINIVASAN Sundarram;50;0,56;0,31;0,25;0,42;24;  0,09;26;0,28;6;0,47;6;0,10;14;0,51;12;-0,20;26;
ROMBAUT Jerome - COMBESCURE Francois;90;0,56;0,04;0,51;0,11;43;  0,88;47;0,82;19;-0,45;19;0,14;27;0,88;20;0,42;47;
GRIGORIU Mihai - PIROI Andrei;90;0,53;0,09;0,44;1,14;51;  -0,47;39;1,13;25;1,15;25;0,36;25;-0,30;14;-0,59;39;
GAWRYS Piotr - KLUKOWSKI Michal;80;0,52;-0,10;0,62;0,92;41;  0,31;39;1,29;20;0,56;20;0,27;10;-0,03;29;0,27;39;
JANSMA Jan - BERKOWITZ David;70;0,51;-0,15;0,66;1,10;35;  0,22;35;2,52;19;-0,59;19;0,47;13;0,00;22;0,05;35;
NOWAK Kamil - TUSZYNSKI Piotr;70;0,51;0,28;0,24;-0,00;32;  0,44;38;-0,50;15;0,44;15;0,28;24;0,46;14;0,09;38;
PILON Dominique - TOFFIER Philippe;90;0,51;0,03;0,48;0,54;50;  0,40;40;-0,20;17;0,93;17;-0,06;12;0,07;28;0,37;40;
MARINA Bogdan - COLDEA Ionut;90;0,50;0,00;0,50;0,41;38;  0,56;52;0,97;17;-0,05;17;0,15;32;-0,04;20;0,48;52;
HOMONNAY Geza - WINKLER Gabor;90;0,49;0,11;0,38;0,81;38;  0,07;52;1,10;21;0,46;21;0,27;26;0,19;26;-0,16;52;
EZION Amir - ZAMIR Ami;90;0,49;0,16;0,33;0,44;49;  0,19;41;0,18;35;1,10;35;0,19;27;0,12;14;0,03;41;
LI Jianwei - ZHANG Bangxiang;80;0,49;0,30;0,18;0,81;42;  -0,52;38;1,68;22;-0,14;22;-0,47;27;-0,67;11;0,01;38;
HETZ Nathan - LEVINGER Asa;89;0,48;0,16;0,32;0,18;50;  0,50;39;0,54;29;-0,31;29;-0,01;21;-0,49;18;0,74;39;
SUZER Ugurcan - USLUPEHLIVAN Sarper;60;0,47;0,52;-0,05;0,13;34;  -0,29;26;-0,65;17;0,90;17;-0,37;13;-0,26;13;0,02;26;
JASSEM Krzysztof - MAZURKIEWICZ Marcin;90;0,47;-0,07;0,54;0,55;48;  0,53;42;0,67;17;0,49;17;-0,04;21;0,20;21;0,45;42;
LI Xiaoyi - WANG Yanhong;70;0,46;0,35;0,10;0,55;34;  -0,32;36;1,36;23;-1,13;23;0,37;16;-0,80;20;-0,05;36;
ORLOWSKI Adrian - PORRO Laura Cecilia;90;0,44;0,44;0,01;0,12;47;  -0,12;43;0,90;23;-0,62;23;-0,72;20;0,33;23;0,04;43;
RON Jacob - TISLEVOLL Geir-Olav;90;0,44;0,55;-0,11;-0,32;45;  0,10;45;0,57;20;-1,03;20;-0,25;23;0,13;22;0,16;45;
GOLEBIOWSKI Stanislaw - STARKOWSKI Wlodzimierz;89;0,43;0,44;-0,01;-0,28;41;  0,22;48;-0,43;23;-0,09;23;-0,89;24;-0,33;24;0,83;48;
GILLIS Simon - SAELENSMINDE Erik;90;0,41;0,24;0,17;-0,27;43;  0,57;47;-0,92;20;0,30;20;0,23;21;0,35;26;0,27;47;
IONITA Marius - STEGAROIU Marina;89;0,40;0,55;-0,14;-0,28;51;  0,04;38;-0,21;31;-0,37;31;-0,49;12;-0,11;26;0,27;38;
LEANDERSSON Per - CARLSSON Peter;90;0,40;0,86;-0,46;-0,72;41;  -0,23;49;-1,41;18;-0,18;18;0,06;23;-0,05;26;-0,24;49;
SIELICKI Tomasz - TUCZYNSKI Piotr;90;0,40;0,09;0,31;0,14;41;  0,46;49;-0,08;18;0,32;18;-0,20;23;0,91;26;0,07;49;
DANAILOV Diyan - STAMATOV Jerry;80;0,39;0,24;0,15;0,58;48;  -0,50;32;0,27;23;0,86;23;-1,03;16;0,19;16;-0,08;32;
GULYAS Daniel - KOTANYI Balazs;89;0,38;0,31;0,07;0,05;47;  0,10;42;0,29;19;-0,11;19;0,12;25;0,32;17;-0,10;42;
BABSCH Andreas - LINDERMANN Arno;90;0,37;0,24;0,12;0,23;49;  -0,01;41;0,04;24;0,42;24;-0,11;23;0,11;18;0,00;41;
AUBONNET Brigitte - CARDE Christophe;50;0,36;0,74;-0,38;0,05;20;  -0,68;29;0,06;12;0,03;12;0,16;14;0,49;15;-1,01;29;
ARLOVICH Andrei - VAINIKONIS Erikas;50;0,36;0,15;0,21;-0,36;26;  0,83;24;-0,69;16;0,17;16;0,46;12;0,32;12;0,44;24;
LAKATOS Peter - BIRMAN Alon;90;0,36;0,26;0,09;-0,16;49;  0,39;41;0,33;28;-0,82;28;0,35;26;0,03;15;0,16;41;
ATES Ebru - KURANOGLU Serap;20;0,35;0,01;0,34;0,57;11;  0,06;9;0,53;6;0,62;6;-0,95;3;0,20;6;0,24;9;
ARGELAZI Eliran - GREEN Marcia;20;0,35;-0,55;0,90;-0,14;8;  1,60;12;0,09;4;-0,37;4;-0,14;7;-0,27;5;1,79;12;
ERICHSEN Espen - LIGGINS Glyn;90;0,34;-0,09;0,43;1,01;48;  -0,23;42;2,14;24;-0,13;24;-1,00;18;-0,01;24;0,21;42;
HYDES Alexander - MOSSOP David;59;0,34;0,04;0,30;0,21;34;  0,42;25;-0,04;17;0,46;17;0,29;7;0,34;18;0,10;25;
DESMOULINS Jean Pierre - COUNIL Jean-Louis;90;0,33;-0,01;0,35;0,11;45;  0,58;45;0,48;20;-0,19;20;0,39;25;-0,11;20;0,42;45;
NORGAARD Tom - PEDERSEN Jan;90;0,30;0,28;0,02;0,44;41;  -0,33;49;0,09;21;0,82;21;-0,03;19;0,12;30;-0,38;49;
KUSTAROV Sergei - CRUSIZIO Maximo;10;0,30;-0,90;1,20;-1,27;4;  2,84;6;-2,64;2;0,10;2;1,83;4;0,22;2;1,55;6;
PALMA Antonio - CULLIN Per-Ola;90;0,29;0,02;0,26;0,49;41;  0,07;49;1,23;27;-0,92;27;-0,14;27;0,37;22;-0,02;49;
BACH Ashley - CORNELL Michael;90;0,29;-0,02;0,31;0,34;43;  0,28;47;0,21;24;0,51;24;0,42;28;-0,70;19;0,31;47;
DOXIADIS Konstantinos - ROUSSOS Petros;70;0,29;0,06;0,23;0,37;36;  0,08;34;-0,10;16;0,74;16;0,24;12;-0,08;22;0,05;34;
KONIG Siegfried - MILL Justin;90;0,28;-0,08;0,36;0,12;42;  0,57;48;-0,93;20;1,07;20;-0,13;23;0,49;25;0,37;48;
DRIJVER Bas - BRINK Sjoert;80;0,28;-0,10;0,38;0,62;42;  0,12;38;1,07;22;0,12;22;0,01;24;-0,12;14;0,15;38;
PULGA Ruggero - RINALDI Gianpaolo;40;0,28;0,50;-0,23;0,43;17;  -0,72;23;0,40;9;0,46;9;-0,31;14;0,30;9;-0,65;23;
NYMOEN Arnstein - PALAGI Marcello;90;0,27;0,34;-0,08;0,25;43;  -0,37;47;0,08;26;0,51;26;0,11;31;-0,44;16;-0,30;47;
MADALA Agustin - BIANCHEDI Alejandro;60;0,27;0,27;0,00;1,05;32;  -1,20;28;-0,85;6;1,49;6;-0,41;23;-1,27;5;-0,63;28;
SCHOLLAARDT Maarten - VAN OVERBEEKE Tom;90;0,26;0,24;0,01;0,54;47;  -0,57;43;0,75;20;0,39;20;-0,17;17;-0,18;26;-0,40;43;
STRZEMECKI Wojciech - ZAWADA Przemyslaw;40;0,25;0,76;-0,51;-0,25;23;  -0,87;17;-0,40;10;-0,14;10;-0,95;10;0,20;7;-0,39;17;
DI FRANCO Massimiliano - MANNO Andrea;90;0,24;0,09;0,15;0,19;43;  0,12;47;-0,33;21;0,68;21;-0,06;21;-0,10;26;0,20;47;
KARAKOLEV Georgi - MIHOV Vladimir;90;0,24;-0,01;0,25;0,18;45;  0,33;45;0,77;24;-0,50;24;0,01;16;0,11;29;0,25;45;
GOLD David - CASTNER Kevin;90;0,24;-0,36;0,60;0,57;46;  0,64;44;0,44;24;0,72;24;-0,03;20;0,26;24;0,51;44;
LUESSMANN Ingo - SCHNEIDER Michael;90;0,23;-0,27;0,50;1,10;43;  -0,05;46;1,64;27;0,19;27;-0,10;27;0,11;19;-0,03;46;
ADAD Pierre - MATEOS-RUIZ Franck;90;0,23;-0,02;0,25;-0,04;45;  0,54;45;-0,66;23;0,61;23;-0,28;27;0,05;18;0,69;45;
McALLISTER John Grayson - ZUR-CAMPANILE Migry;90;0,23;-0,13;0,36;0,71;35;  0,14;55;-0,41;15;1,56;15;0,11;31;0,09;24;0,04;55;
LO PRESTI Fabio - MAZZADI Francesco;60;0,23;0,75;-0,52;-0,15;29;  -0,86;31;0,04;13;-0,31;13;0,15;17;-0,83;14;-0,57;31;
HWANG Ingu - KIM Hye Young;40;0,22;0,52;-0,30;-0,09;21;  -0,52;19;0,14;7;-0,21;7;-0,68;9;0,47;10;-0,45;19;
MAGNUSSON Stephan - NIKOLENKOV Dmitrij;90;0,21;-0,01;0,22;0,70;34;  -0,08;56;0,63;18;0,78;18;0,27;25;-0,26;31;-0,06;56;
VANCHEV Angel - ZAHARIEV Zahari;90;0,21;0,21;0,00;-0,05;44;  0,06;46;-0,43;17;0,19;17;-0,03;19;0,20;27;-0,04;46;
AA Terje - LIVGARD Allan;89;0,20;-0,02;0,22;0,52;46;  -0,09;43;0,09;21;0,88;21;0,13;26;0,27;17;-0,28;43;
JAGGER Chris - ALLERTON Jeffrey;90;0,20;0,18;0,02;-0,02;44;  0,06;46;0,75;20;-0,67;20;0,04;27;-0,19;19;0,11;46;
DUBININ Alexander - GROMOV Andrey;60;0,20;0,30;-0,10;0,06;29;  -0,26;31;0,63;13;-0,40;13;0,20;12;-0,06;19;-0,30;31;
MOLENAAR Danny - VERBEEK Tim;90;0,20;0,22;-0,02;-0,77;44;  0,69;46;-0,73;28;-0,86;28;0,10;21;0,03;25;0,63;46;
GAGLIARDI Virgilio - GUERMANI Paolo;70;0,20;0,05;0,15;0,04;35;  0,26;35;1,65;20;-2,11;20;-0,02;20;0,17;15;0,20;35;
NIKOLCHEV Klimentin - SIMEONOV Krasimir;90;0,19;0,21;-0,02;0,36;49;  -0,48;41;-0,00;23;0,68;23;-0,39;22;-0,10;19;-0,23;41;
RYNNING Erik - BRANDSNES Finn;90;0,19;-0,19;0,38;0,48;33;  0,32;57;1,29;15;-0,18;15;0,09;28;-0,02;29;0,29;57;
CHIPAIL Gheorghe - CONSTANTINESCU Razvan;90;0,19;-0,00;0,19;-0,65;44;  0,99;46;0,08;26;-1,70;26;0,53;22;0,22;24;0,62;46;
MARINOVSKI Kiril - BOREVKOVIC Goran;50;0,18;0,29;-0,11;-0,44;25;  0,22;25;0,66;13;-1,64;13;-0,11;11;0,27;14;0,12;25;
VAN DEN BOS Berend - VAN LANKVELD Joris;90;0,18;-0,37;0,54;0,08;44;  0,99;46;0,26;25;-0,15;25;0,34;19;0,06;27;0,81;46;
KONOW Kasper - BRONDUM Freddi;89;0,17;0,10;0,07;0,33;46;  -0,21;43;-0,47;20;0,95;20;-0,25;16;-0,29;27;0,07;43;
EIDE Harald - EIDE Lars;90;0,17;-0,26;0,43;0,41;52;  0,46;38;-0,12;30;1,13;30;0,03;15;-0,07;23;0,49;38;
TOMMASINI Stefano - CRUSIZIO Maximo;19;0,16;0,59;-0,43;-0,90;6;  -0,22;13;-0,04;3;-1,77;3;-0,26;1;-0,40;12;0,17;13;
KANG Seongseok - KIM Daehong;90;0,16;0,13;0,02;0,30;40;  -0,20;50;0,45;27;-0,02;27;0,06;23;-0,63;27;0,11;50;
FREDIN Peter - BERTHEAU Peter;60;0,15;-0,12;0,27;0,38;30;  0,15;30;0,20;9;0,46;9;-0,03;22;0,28;8;0,10;30;
DYKE Kieran - ROBERTSON Marion;20;0,15;0,31;-0,16;-0,57;10;  0,26;10;0,29;3;-0,95;3;-0,17;6;0,06;4;0,34;10;
PAZ Nuno - PESSOA Sofia;90;0,14;0,07;0,08;0,59;50;  -0,56;40;0,11;27;1,15;27;-0,37;21;-0,15;19;-0,30;40;
SIMON Josef - TERRANEO Christian;90;0,14;0,37;-0,22;0,11;45;  -0,56;45;0,78;22;-0,52;22;-0,08;23;0,10;22;-0,57;45;
KNOB Markus - WANHA Clemens;90;0,13;0,46;-0,33;-0,34;49;  -0,32;40;-0,37;27;-0,30;27;-0,38;21;-0,08;19;-0,08;40;
BOSCARDIN Ugo - CLAIR Paolo;60;0,13;0,11;0,02;-0,17;30;  0,21;30;-1,10;19;1,45;19;-0,19;17;0,19;13;0,23;30;
MARKS Rafal - SZYMASZCZYK Pawel;70;0,13;0,25;-0,12;-0,62;39;  0,52;31;-1,05;16;-0,33;16;0,33;14;-0,29;17;0,53;31;
GREEN Stephen - BRYANT Roger;90;0,12;-0,41;0,53;0,12;41;  0,88;49;0,82;20;-0,54;20;0,40;32;-0,39;17;0,75;49;
LEVIN Amir - ROLL Yossi;59;0,12;0,26;-0,15;0,24;33;  -0,64;26;0,80;21;-0,73;21;-0,42;10;-0,35;16;-0,26;26;
BLACK Andrew - WHITTAKER Willie;70;0,11;1,09;-0,98;-0,05;36;  -1,96;34;-0,09;20;0,00;20;-2,07;21;-0,31;13;-0,57;34;
INGIELEWICZ Zdzislaw - NARKIEWICZ Grzegorz;89;0,10;0,10;-0,00;0,44;48;  -0,52;41;-0,19;21;0,93;21;-0,45;23;0,81;18;-0,62;41;
ARGELAZI Eliran - GERSTNER Gal;60;0,10;-0,21;0,31;0,19;33;  0,45;27;0,27;17;0,10;17;-0,82;9;-0,03;18;0,75;27;
BILDE Soren Cilleborg - VAN ENGELEN Bas;90;0,09;-0,67;0,76;1,46;44;  0,08;46;2,19;25;0,50;25;-0,40;28;-0,34;18;0,46;46;
KVARAN Bjorn - KVARAN Rune;90;0,08;-0,03;0,11;0,22;43;  0,01;47;-0,14;22;0,59;22;0,13;20;0,27;27;-0,20;47;
DOBRIN Florin - BACALU Iancu;90;0,07;0,29;-0,22;-0,53;46;  0,11;44;-0,08;23;-0,98;23;0,17;21;-0,11;23;0,08;44;
NORRIS John - COHEN Allan;90;0,07;-0,14;0,20;0,01;48;  0,42;42;-0,11;25;0,15;25;0,40;20;0,07;22;0,19;42;
KHAZANOV Igor - LEBEDEVA Maria;50;0,06;0,02;0,04;-0,41;27;  0,57;23;0,24;15;-1,22;15;-0,45;9;0,30;14;0,56;23;
MENDES DE LEON Guy - SPRINKHUIZEN Thibo;90;0,04;-0,02;0,06;0,27;44;  -0,14;46;0,83;22;-0,29;22;0,01;22;0,13;24;-0,21;46;
VENTIN CAMPRUBI Juan Carlos - WRANG Frederic;90;0,04;0,26;-0,22;0,00;42;  -0,41;48;-0,30;24;0,41;24;0,00;22;-0,13;26;-0,34;48;
POLLAK Gerhard - PROPST Stefan;89;0,03;0,20;-0,17;-0,67;37;  0,19;52;-0,90;16;-0,49;16;-0,13;33;0,01;19;0,27;52;
HENNEBERG Jens Ove - HENNEBERG Marlene;90;0,03;0,23;-0,19;-0,42;51;  0,10;39;-0,60;32;-0,13;32;0,37;24;0,16;15;-0,19;39;
RIMSTEDT Mikael - RIMSTEDT Ola;90;0,03;0,20;-0,17;0,60;43;  -0,87;47;0,36;25;0,93;25;-0,64;25;-0,88;22;-0,12;47;
ROBSON Andrew - ALLFREY Alexander;90;0,02;-0,43;0,45;0,67;48;  0,20;42;1,05;23;0,32;23;0,98;22;0,34;20;-0,47;42;
JONES Edward - PASKE Thomas;90;0,02;-0,38;0,40;0,87;44;  -0,05;46;0,23;20;1,40;20;0,41;23;-0,00;23;-0,25;46;
KINDSBEKKEN Asbjorn - VOLL Roar;90;0,02;-0,14;0,17;0,61;37;  -0,15;53;-0,03;17;1,16;17;-0,17;26;0,24;27;-0,19;53;
EKREN Bjorn Olav - BERSET Ole;90;0,01;0,18;-0,17;-0,29;48;  -0,03;42;-0,28;27;-0,31;27;0,32;23;1,04;19;-0,68;42;
ROVYSHYN Oleg - CHUMAK Yuliy;80;0,00;-0,05;0,05;-0,04;45;  0,17;35;0,06;22;-0,13;22;-0,48;14;-0,24;21;0,50;35;
CARIC Jurica - CLAIR Paolo;30;0,00;0,57;-0,57;-0,27;18;  -1,01;12;-0,13;8;-0,38;8;0,21;5;-0,87;7;-0,58;12;
GRUENKE Paul - ROHOWSKY Roland;90;0,00;-0,16;0,16;-0,22;43;  0,50;47;0,13;15;-0,41;15;0,28;24;-0,07;23;0,39;47;
FLORIN Filip - NEGOESCU Anton;90;0,00;-0,40;0,40;0,28;43;  0,51;47;-0,31;25;1,10;25;0,41;22;0,03;25;0,30;47;
HU Junjie - WANG Jian;60;0,00;0,25;-0,25;-0,35;28;  -0,16;32;-0,50;17;-0,10;17;-0,04;11;-0,55;21;0,21;32;
SEREK Cezary - WOZNIAK Marcin;30;0,00;0,09;-0,09;-0,65;18;  0,76;12;-0,68;10;-0,62;10;0,15;4;-0,48;8;1,03;12;
DE MICHELIS Luca - FAILLA Giuseppe;90;-0,01;-0,35;0,34;0,45;42;  0,24;48;0,70;22;0,18;22;0,12;23;-0,25;25;0,31;48;
VAN PROOIJEN Ricco - VERHEES Jr Louk;90;-0,01;-0,08;0,07;-0,14;41;  0,24;49;-0,96;16;0,38;16;0,49;25;-0,18;24;0,08;49;
DANIC Jean-Yves - COLOMBARO Anne-Marie;89;-0,01;-0,02;0,01;0,05;44;  -0,03;45;-0,28;26;0,52;26;-0,54;17;0,31;28;-0,02;45;
GUSEV Viacheslav - NIKITINA Alexandra;80;-0,01;0,40;-0,41;-0,89;43;  0,16;37;0,68;19;-2,14;19;0,09;13;0,32;24;-0,08;37;
DE DONDER Steven - DE ROOS Steve;90;-0,02;0,36;-0,38;-0,85;46;  0,12;44;-0,24;23;-1,47;23;0,20;20;0,40;24;-0,20;44;
LAUGE PEDERSEN Sigurd - WERDELIN Stig;90;-0,02;0,07;-0,09;-0,03;47;  -0,16;43;-0,56;22;0,44;22;0,10;22;-0,33;21;-0,05;43;
STROMBERG Helena - BYLUND Dan;90;-0,04;-0,16;0,12;0,06;37;  0,16;53;-0,75;19;0,92;19;0,19;27;0,10;26;0,02;53;
ANDERSEN Michael Krogh - BILDE Morten;40;-0,05;-0,53;0,48;0,21;22;  0,80;18;0,55;11;-0,12;11;1,16;9;0,23;9;0,11;18;
