DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2D, N, S, 7            1   35.92   35.92   50.00
6NT, S, S, 13         11   78.87   67.03   61.85
7C, N, D, 12           4    4.93   21.70   33.23
7C, S, S, 13           1   97.18   87.96   59.23
7CX, N, D, 12          1    0.70   18.63   32.07
7CX, S, S, 13          2   99.30   89.44   59.86
7NTX, N, D, 12         1    0.70   30.49   20.21
pass                   4   10.56   10.56   50.00

DEFENDER, Board 10|2

Contract           Count Overall     Bid    Lead Restdef
2CX, E, C, 1           1   95.77   95.77   50.00   50.00
2DX, W, C, 6           1   14.08   14.08   50.00   50.00
3NT, N, D, 13          1   83.10   84.24   50.26   48.61
4NT, S, H, 13          1   83.10   83.76   49.33   50.00
5NT, S, S, 13          1   83.10   83.76   49.66   49.68
6C, N, C, 13           1   68.31   75.80   42.51   50.00
6C, N, D, 12           4   77.46   75.80   50.75   50.92
6C, N, D, 13           1   68.31   75.80   50.75   41.76
6C, S, D, 12           1   77.46   69.23   58.24   50.00
6C, S, H, 13           3   68.31   69.23   49.08   50.00
6C, S, S, 13           3   68.31   69.23   49.08   50.00
6NT, N, D, 12          1   50.00   41.34   54.54   54.12
6NT, N, H, 12          1   50.00   41.34   58.66   50.00
6NT, N, S, 13          2   21.13   41.34   29.79   50.00
6NT, S, C, 13          1   21.13   32.97   38.15   50.00
6NT, S, D, 12         13   50.00   32.97   67.03   50.00
6NT, S, H, 13          9   21.13   32.97   38.15   50.00
6NT, S, S, 12          3   50.00   32.97   43.93   73.10
6NT, S, S, 13         11   21.13   32.97   43.93   44.23
7C, N, D, 12           4   95.07   78.30   57.55   59.23
7C, S, S, 13           1    2.82   12.04   40.77   50.00
7CX, N, D, 12          1   99.30   81.37   58.07   59.86
7CX, S, S, 13          2    0.70   10.56   40.14   50.00
7NTX, N, D, 12         1   99.30   69.51   65.60   64.19
pass                   4   89.44   89.44   50.00   50.00

DECLARER, Board 11|3

Contract           Count Overall     Bid    Play
1S, N, C, 5            2   32.39   43.32   39.08
1S, N, C, 6            2   47.18   43.32   53.87
1S, N, H, 8            1   64.79   43.32   71.47
2H, E, C, 6            1   23.24   28.41   44.83
2H, E, S, 5            1   13.38   28.41   34.97
2H, E, S, 6            6   23.24   28.41   44.83
2H, E, S, 7            3   39.44   28.41   61.02
2H, E, S, 8            1   77.46   28.41   99.05
2HX, E, S, 5           4    2.11   15.30   36.81
2HX, E, S, 6           5    8.45   15.30   43.15
2HX, E, S, 7           5   23.24   15.30   57.94
2NT, N, C, 7           1   47.18   52.29   44.89
2NT, N, D, 8           1   67.61   52.29   65.32
2NT, N, H, 7           2   47.18   52.29   44.89
2NT, S, D, 5           1   11.97   11.97   50.00
2S, N, C, 5           12   11.97   27.66   34.31
2S, N, C, 6            8   32.39   27.66   54.73
2S, N, C, 7            2   47.18   27.66   69.52
2S, N, D, 5            1   11.97   27.66   34.31
2S, N, D, 8            1   64.79   27.66   87.13
2S, N, H, 6            1   32.39   27.66   54.73
2S, N, S, 6            1   32.39   27.66   54.73
2S, N, S, 7            1   47.18   27.66   69.52
2S, N, S, 8            1   64.79   27.66   87.13
2SX, N, D, 6           1    1.41   11.40   40.01
2SX, N, H, 5           1    0.00   11.40   38.60
2SX, N, S, 7           1   32.39   11.40   70.99
3D, W, H, 6            1   13.38   13.38   50.00
pass                   4   55.63   55.63   50.00

DEFENDER, Board 11|3

Contract           Count Overall     Bid    Lead Restdef
1S, N, C, 5            2   67.61   56.68   53.24   57.68
1S, N, C, 6            2   52.82   56.68   53.24   42.89
1S, N, H, 8            1   35.21   56.68   45.19   33.33
2H, E, C, 6            1   76.76   71.59   55.17   50.00
2H, E, S, 5            1   86.62   71.59   49.79   65.24
2H, E, S, 6            6   76.76   71.59   49.79   55.38
2H, E, S, 7            3   60.56   71.59   49.79   39.18
2H, E, S, 8            1   22.54   71.59   49.79    1.15
2HX, E, S, 5           4   97.89   84.70   49.73   63.46
2HX, E, S, 6           5   91.55   84.70   49.73   57.13
2HX, E, S, 7           5   76.76   84.70   49.73   42.34
2NT, N, C, 7           1   52.82   47.71   55.11   50.00
2NT, N, D, 8           1   32.39   47.71   34.68   50.00
2NT, N, H, 7           2   52.82   47.71   55.11   50.00
2NT, S, D, 5           1   88.03   88.03   50.00   50.00
2S, N, C, 5           12   88.03   72.34   55.13   60.56
2S, N, C, 6            8   67.61   72.34   55.13   40.14
2S, N, C, 7            2   52.82   72.34   55.13   25.35
2S, N, D, 5            1   88.03   72.34   41.28   74.41
2S, N, D, 8            1   35.21   72.34   41.28   21.60
2S, N, H, 6            1   67.61   72.34   41.28   53.99
2S, N, S, 6            1   67.61   72.34   29.77   65.49
2S, N, S, 7            1   52.82   72.34   29.77   50.70
2S, N, S, 8            1   35.21   72.34   29.77   33.10
2SX, N, D, 6           1   98.59   88.60   31.76   78.23
2SX, N, H, 5           1  100.00   88.60   31.76   79.64
2SX, N, S, 7           1   67.61   88.60   22.98   56.03
3D, W, H, 6            1   86.62   86.62   50.00   50.00
pass                   4   44.37   44.37   50.00   50.00

DECLARER, Board 11|4

Contract           Count Overall     Bid    Play
3NT, E, C, 10          7   53.52   47.02   56.50
3NT, E, C, 11          2   85.92   47.02   88.89
3NT, E, C, 9           6   20.42   47.02   23.40
3NT, E, H, 10          5   53.52   47.02   56.50
3NT, E, H, 11          1   85.92   47.02   88.89
3NT, E, S, 10          3   53.52   47.02   56.50
3NT, E, S, 9           3   20.42   47.02   23.40
3NT, S, C, 9           1  100.00  100.00   50.00
3NT, W, D, 11          2   85.92   55.88   80.04
3NT, W, D, 12          1   97.89   55.88   92.01
3NT, W, D, 9           1   20.42   55.88   14.54
3NT, W, H, 10          1   53.52   55.88   47.64
3NT, W, H, 11          2   85.92   55.88   80.04
3NT, W, H, 9           1   20.42   55.88   14.54
3NT, W, S, 10         11   53.52   55.88   47.64
3NT, W, S, 11          6   85.92   55.88   80.04
3NT, W, S, 9           5   20.42   55.88   14.54
4NT, E, C, 11          1   85.92   41.57   94.34
4NT, E, C, 9           1    3.52   41.57   11.95
4NT, E, H, 10          1   53.52   41.57   61.95
4NT, E, S, 10          1   53.52   41.57   61.95
4NT, W, D, 13          1  100.00   50.81   99.19
4NT, W, H, 10          1   53.52   50.81   52.71
4NT, W, S, 10          1   53.52   50.81   52.71
4NT, W, S, 11          1   85.92   50.81   85.11
4NT, W, S, 12          1   97.89   50.81   97.08
4NT, W, S, 9           3    3.52   50.81    2.71
pass                   2   92.25   92.25   50.00

DEFENDER, Board 11|4

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 10          7   46.48   52.98   51.42   42.09
3NT, E, C, 11          2   14.08   52.98   51.42    9.69
3NT, E, C, 9           6   79.58   52.98   51.42   75.19
3NT, E, H, 10          5   46.48   52.98   38.88   54.63
3NT, E, H, 11          1   14.08   52.98   38.88   22.23
3NT, E, S, 10          3   46.48   52.98   57.69   35.81
3NT, E, S, 9           3   79.58   52.98   57.69   68.91
3NT, S, C, 9           1    0.00    0.00   50.00   50.00
3NT, W, D, 11          2   14.08   44.12   27.85   42.11
3NT, W, D, 12          1    2.11   44.12   27.85   30.14
3NT, W, D, 9           1   79.58   44.12   27.85  107.61
3NT, W, H, 10          1   46.48   44.12   46.02   56.34
3NT, W, H, 11          2   14.08   44.12   46.02   23.94
3NT, W, H, 9           1   79.58   44.12   46.02   89.44
3NT, W, S, 10         11   46.48   44.12   54.35   48.00
3NT, W, S, 11          6   14.08   44.12   54.35   15.61
3NT, W, S, 9           5   79.58   44.12   54.35   81.10
4NT, E, C, 11          1   14.08   58.43   52.92    2.73
4NT, E, C, 9           1   96.48   58.43   52.92   85.13
4NT, E, H, 10          1   46.48   58.43   33.42   54.63
4NT, E, S, 10          1   46.48   58.43   59.48   28.57
4NT, W, D, 13          1    0.00   49.19   26.16   24.65
4NT, W, H, 10          1   46.48   49.19   44.33   52.96
4NT, W, S, 10          1   46.48   49.19   54.92   42.37
4NT, W, S, 11          1   14.08   49.19   54.92    9.98
4NT, W, S, 12          1    2.11   49.19   54.92   -2.00
4NT, W, S, 9           3   96.48   49.19   54.92   92.37
pass                   2    7.75    7.75   50.00   50.00

DECLARER, Board 12|5

Contract           Count Overall     Bid    Play
3CX, W, D, 6           1   11.27   19.57   41.69
3CX, W, D, 7           1   17.61   19.57   48.03
3D, N, C, 10           2   69.72   68.11   51.61
3D, N, D, 10           1   69.72   68.11   51.61
3D, N, D, 9            1   59.15   68.11   41.05
3NT, N, C, 8           2   45.77   58.10   37.68
3NT, N, H, 10          1   95.77   58.10   87.68
3NT, N, H, 8           2   45.77   58.10   37.68
3NT, N, H, 9           1   94.37   58.10   86.27
3NT, N, S, 8           1   45.77   58.10   37.68
3NTX, N, C, 8          1   23.24   41.91   31.33
4CX, E, D, 7           1   11.27   11.27   50.00
4CX, E, S, 7           1   11.27   11.27   50.00
4CX, W, D, 7           3   11.27   10.88   50.39
4CX, W, S, 7           1   11.27   10.88   50.39
4CX, W, S, 8           1   17.61   10.88   56.73
4D, N, C, 10           9   69.72   65.87   53.85
4D, N, C, 11           1   80.28   65.87   64.41
4D, N, C, 9            1   45.77   65.87   29.90
4D, N, D, 10           1   69.72   65.87   53.85
4D, N, S, 10           1   69.72   65.87   53.85
4H, N, C, 7            2    8.45   26.55   31.90
4H, N, C, 8           11   23.24   26.55   46.69
4H, N, C, 9            4   45.77   26.55   69.23
4HX, N, C, 7           1    1.41    8.70   42.71
4HX, N, C, 8           1    4.23    8.70   45.53
4HX, N, C, 9           2   23.24    8.70   64.54
4HX, N, S, 8           1    4.23    8.70   45.53
4SX, S, C, 8           1    4.23    4.23   50.00
5CX, E, S, 7           1    1.41    1.41   50.00
5CX, W, D, 7           1    1.41    2.35   49.06
5CX, W, S, 7           1    1.41    2.35   49.06
5D, N, C, 10           4   45.77   43.76   52.01
5D, N, C, 8            1    8.45   43.76   14.69
5D, N, C, 9            1   23.24   43.76   29.48
5DX, N, C, 10          1   23.24   23.02   50.22
5DX, N, S, 10          1   23.24   23.02   50.22
5HX, N, C, 7           1    0.00    1.90   48.10
6D, N, C, 10           1   23.24   21.88   51.36
pass                   2   57.04   57.04   50.00

DEFENDER, Board 12|5

Contract           Count Overall     Bid    Lead Restdef
3CX, W, D, 6           1   88.73   80.43   53.03   55.28
3CX, W, D, 7           1   82.39   80.43   53.03   48.94
3D, N, C, 10           2   30.28   31.89   49.89   48.50
3D, N, D, 10           1   30.28   31.89   51.91   46.48
3D, N, D, 9            1   40.85   31.89   51.91   57.04
3NT, N, C, 8           2   54.23   41.90   62.32   50.00
3NT, N, H, 10          1    4.23   41.90   37.68   24.65
3NT, N, H, 8           2   54.23   41.90   37.68   74.65
3NT, N, H, 9           1    5.63   41.90   37.68   26.06
3NT, N, S, 8           1   54.23   41.90   62.32   50.00
3NTX, N, C, 8          1   76.76   58.09   68.67   50.00
4CX, E, D, 7           1   88.73   88.73   50.00   50.00
4CX, E, S, 7           1   88.73   88.73   50.00   50.00
4CX, W, D, 7           3   88.73   89.12   51.25   48.36
4CX, W, S, 7           1   88.73   89.12   47.50   52.11
4CX, W, S, 8           1   82.39   89.12   47.50   45.77
4D, N, C, 10           9   30.28   34.13   49.80   46.36
4D, N, C, 11           1   19.72   34.13   49.80   35.79
4D, N, C, 9            1   54.23   34.13   49.80   70.30
4D, N, D, 10           1   30.28   34.13   54.13   42.02
4D, N, S, 10           1   30.28   34.13   46.15   50.00
4H, N, C, 7            2   91.55   73.45   49.85   68.25
4H, N, C, 8           11   76.76   73.45   49.85   53.46
4H, N, C, 9            4   54.23   73.45   49.85   30.92
4HX, N, C, 7           1   98.59   91.30   49.80   57.49
4HX, N, C, 8           1   95.77   91.30   49.80   54.67
4HX, N, C, 9           2   76.76   91.30   49.80   35.66
4HX, N, S, 8           1   95.77   91.30   54.47   50.00
4SX, S, C, 8           1   95.77   95.77   50.00   50.00
5CX, E, S, 7           1   98.59   98.59   50.00   50.00
5CX, W, D, 7           1   98.59   97.65   51.17   49.77
5CX, W, S, 7           1   98.59   97.65   47.65   53.29
5D, N, C, 10           4   54.23   56.24   49.46   48.53
5D, N, C, 8            1   91.55   56.24   49.46   85.85
5D, N, C, 9            1   76.76   56.24   49.46   71.07
5DX, N, C, 10          1   76.76   76.98   49.22   50.55
5DX, N, S, 10          1   76.76   76.98   49.78   50.00
5HX, N, C, 7           1  100.00   98.10   49.98   51.92
6D, N, C, 10           1   76.76   78.12   49.65   48.99
pass                   2   42.96   42.96   50.00   50.00

DECLARER, Board 12|6

Contract           Count Overall     Bid    Play
2H, S, C, 9            2   88.73   88.70   50.03
3H, N, C, 9            2   88.73   88.73   50.00
3H, S, C, 9            8   88.73   87.48   51.25
3H, S, D, 9            1   88.73   87.48   51.25
3NT, N, D, 7           1    1.41    1.41   50.00
4H, N, C, 9            3   40.14   40.14   50.00
4H, N, D, 9            1   40.14   40.14   50.00
4H, N, H, 9            1   40.14   40.14   50.00
4H, S, C, 11           1  100.00   40.78  109.22
4H, S, C, 9           42   40.14   40.78   49.36
4H, S, D, 10           1   98.59   40.78  107.81
4H, S, D, 8            1    1.41   40.78   10.63
4H, S, D, 9            2   40.14   40.78   49.36
4H, S, H, 9            1   40.14   40.78   49.36
4H, S, S, 8            1    1.41   40.78   10.63
4H, S, S, 9            2   40.14   40.78   49.36
pass                   2   78.17   78.17   50.00

DEFENDER, Board 12|6

Contract           Count Overall     Bid    Lead Restdef
2H, S, C, 9            2   11.27   11.30   49.81   50.16
3H, N, C, 9            2   11.27   11.27   50.00   50.00
3H, S, C, 9            8   11.27   12.52   48.59   50.16
3H, S, D, 9            1   11.27   12.52   56.77   41.98
3NT, N, D, 7           1   98.59   98.59   50.00   50.00
4H, N, C, 9            3   59.86   59.86   50.00   50.00
4H, N, D, 9            1   59.86   59.86   50.00   50.00
4H, N, H, 9            1   59.86   59.86   50.00   50.00
4H, S, C, 11           1    0.00   59.22   49.51   -8.73
4H, S, C, 9           42   59.86   59.22   49.51   51.13
4H, S, D, 10           1    1.41   59.22   46.69   -4.51
4H, S, D, 8            1   98.59   59.22   46.69   92.68
4H, S, D, 9            2   59.86   59.22   46.69   53.94
4H, S, H, 9            1   59.86   59.22   50.64   50.00
4H, S, S, 8            1   98.59   59.22   58.38   80.99
4H, S, S, 9            2   59.86   59.22   58.38   42.25
pass                   2   21.83   21.83   50.00   50.00

DECLARER, Board 13|7

Contract           Count Overall     Bid    Play
2CX, E, C, 5           1    4.93    4.93   50.00
2SX, E, C, 6           1   92.96   48.94   94.01
2SX, E, S, 5           1    4.93   48.94    5.99
3D, N, H, 12           1    5.63    5.63   50.00
3NT, E, H, 11          1  100.00  100.00   50.00
3NT, N, H, 10          1   14.79   47.36   17.43
3NT, N, H, 11          2   45.77   47.36   48.42
3NT, N, S, 12          1   83.10   47.36   85.74
3NT, S, C, 11          2   45.77   52.46   43.32
3NT, S, D, 11          5   45.77   52.46   43.32
3NT, S, H, 10          5   14.79   52.46   12.33
3NT, S, H, 11         26   45.77   52.46   43.32
3NT, S, H, 12          9   83.10   52.46   80.64
3NT, S, S, 11          3   45.77   52.46   43.32
3NT, S, S, 12          5   83.10   52.46   80.64
5C, N, C, 8            1    1.41    1.41   50.00
5D, N, D, 12           1    9.15    9.15   50.00
5D, S, C, 12           1    9.15    9.15   50.00
6D, S, C, 12           2   98.59   98.59   50.00
6D, S, D, 12           1   98.59   98.59   50.00
pass                   2    3.52    3.52   50.00

DEFENDER, Board 13|7

Contract           Count Overall     Bid    Lead Restdef
2CX, E, C, 5           1   95.07   95.07   50.00   50.00
2SX, E, C, 6           1    7.04   51.06    5.99   50.00
2SX, E, S, 5           1   95.07   51.06   94.01   50.00
3D, N, H, 12           1   94.37   94.37   50.00   50.00
3NT, E, H, 11          1    0.00    0.00   50.00   50.00
3NT, N, H, 10          1   85.21   52.64   61.91   70.66
3NT, N, H, 11          2   54.23   52.64   61.91   39.67
3NT, N, S, 12          1   16.90   52.64   14.26   50.00
3NT, S, C, 11          2   54.23   47.54   56.68   50.00
3NT, S, D, 11          5   54.23   47.54   56.68   50.00
3NT, S, H, 10          5   85.21   47.54   52.16   85.51
3NT, S, H, 11         26   54.23   47.54   52.16   54.52
3NT, S, H, 12          9   16.90   47.54   52.16   17.20
3NT, S, S, 11          3   54.23   47.54   33.36   73.33
3NT, S, S, 12          5   16.90   47.54   33.36   36.00
5C, N, C, 8            1   98.59   98.59   50.00   50.00
5D, N, D, 12           1   90.85   90.85   50.00   50.00
5D, S, C, 12           1   90.85   90.85   50.00   50.00
6D, S, C, 12           2    1.41    1.41   50.00   50.00
6D, S, D, 12           1    1.41    1.41   50.00   50.00
pass                   2   96.48   96.48   50.00   50.00

DECLARER, Board 13|8

Contract           Count Overall     Bid    Play
1NT, E, S, 7           1   49.30   49.30   50.00
1NT, W, S, 7           2   49.30   60.36   38.93
2H, E, C, 10           1   91.55   86.81   54.74
2H, E, C, 9            1   82.39   86.81   45.58
2H, E, S, 9            1   82.39   86.81   45.58
2NT, E, S, 7           1   15.49   15.49   50.00
2NT, W, D, 9           2   88.03   36.22  101.81
2NT, W, S, 7           1   15.49   36.22   29.28
2S, N, C, 8            1   92.25   91.96   50.29
2S, N, H, 8            1   92.25   91.96   50.29
2S, N, S, 8            2   92.25   91.96   50.29
3H, E, C, 11           1   94.37   86.81   57.55
3H, E, D, 9            1   82.39   86.81   45.58
3H, E, H, 10           1   91.55   86.81   54.74
3H, E, H, 9            2   82.39   86.81   45.58
3H, E, S, 10           1   91.55   86.81   54.74
3H, W, D, 9            1   82.39   82.39   50.00
3NT, W, S, 7           2   11.97   36.73   25.25
3S, N, D, 8            2   66.20   67.79   48.41
3S, N, D, 9            1   97.18   67.79   79.40
3S, N, H, 7            1   35.21   67.79   17.43
3S, N, H, 8            8   66.20   67.79   48.41
3S, N, H, 9            2   97.18   67.79   79.40
3S, N, S, 8            6   66.20   67.79   48.41
3S, S, C, 8            1   66.20   66.20   50.00
3S, S, D, 8            1   66.20   66.20   50.00
3S, S, H, 8            1   66.20   66.20   50.00
3SX, N, D, 8           4   35.21   39.36   45.85
3SX, N, H, 8           2   35.21   39.36   45.85
3SX, N, S, 8           5   35.21   39.36   45.85
3SX, S, C, 8           1   35.21   35.21   50.00
4DX, E, C, 8           1    0.00    0.00   50.00
4H, E, C, 10           1  100.00   53.91   96.09
4H, E, S, 9            1   15.49   53.91   11.59
4S, N, S, 8            2   35.21   37.00   48.21
4S, S, C, 8            2   35.21   35.21   50.00
4S, S, H, 8            1   35.21   35.21   50.00
4S, S, S, 8            1   35.21   35.21   50.00
4SX, N, C, 8           1    2.82    5.24   47.58
4SX, N, D, 8           1    2.82    5.24   47.58
4SX, S, S, 8           1    2.82    2.82   50.00
pass                   2   80.99   80.99   50.00

DEFENDER, Board 13|8

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 7           1   50.70   50.70   50.00   50.00
1NT, W, S, 7           2   50.70   39.64   61.07   50.00
2H, E, C, 10           1    8.45   13.19   46.85   48.42
2H, E, C, 9            1   17.61   13.19   46.85   57.57
2H, E, S, 9            1   17.61   13.19   51.37   53.05
2NT, E, S, 7           1   84.51   84.51   50.00   50.00
2NT, W, D, 9           2   11.97   63.78   -1.81   50.00
2NT, W, S, 7           1   84.51   63.78   70.72   50.00
2S, N, C, 8            1    7.75    8.04   49.71   50.00
2S, N, H, 8            1    7.75    8.04   50.87   48.84
2S, N, S, 8            2    7.75    8.04   49.71   50.00
3H, E, C, 11           1    5.63   13.19   46.85   45.60
3H, E, D, 9            1   17.61   13.19   54.42   50.00
3H, E, H, 10           1    8.45   13.19   51.37   43.90
3H, E, H, 9            2   17.61   13.19   51.37   53.05
3H, E, S, 10           1    8.45   13.19   51.37   43.90
3H, W, D, 9            1   17.61   17.61   50.00   50.00
3NT, W, S, 7           2   88.03   63.27   74.75   50.00
3S, N, D, 8            2   33.80   32.21   47.72   53.87
3S, N, D, 9            1    2.82   32.21   47.72   22.89
3S, N, H, 7            1   64.79   32.21   49.38   83.20
3S, N, H, 8            8   33.80   32.21   49.38   52.21
3S, N, H, 9            2    2.82   32.21   49.38   21.23
3S, N, S, 8            6   33.80   32.21   51.59   50.00
3S, S, C, 8            1   33.80   33.80   50.00   50.00
3S, S, D, 8            1   33.80   33.80   50.00   50.00
3S, S, H, 8            1   33.80   33.80   50.00   50.00
3SX, N, D, 8           4   64.79   60.64   46.05   58.10
3SX, N, H, 8           2   64.79   60.64   47.21   56.94
3SX, N, S, 8           5   64.79   60.64   54.15   50.00
3SX, S, C, 8           1   64.79   64.79   50.00   50.00
4DX, E, C, 8           1  100.00  100.00   50.00   50.00
4H, E, C, 10           1    0.00   46.09   25.03   28.87
4H, E, S, 9            1   84.51   46.09   60.24   78.17
4S, N, S, 8            2   64.79   63.00   51.79   50.00
4S, S, C, 8            2   64.79   64.79   50.00   50.00
4S, S, H, 8            1   64.79   64.79   50.00   50.00
4S, S, S, 8            1   64.79   64.79   50.00   50.00
4SX, N, C, 8           1   97.18   94.76   52.42   50.00
4SX, N, D, 8           1   97.18   94.76   48.37   54.05
4SX, S, S, 8           1   97.18   97.18   50.00   50.00
pass                   2   19.01   19.01   50.00   50.00

DECLARER, Board 14|10

Contract           Count Overall     Bid    Play
1S, E, C, 5            2   86.62   87.61   49.01
1S, E, C, 6            1   90.85   87.61   53.24
1S, E, D, 4            1   83.10   87.61   45.49
1SX, E, D, 6           1   86.62   67.43   69.19
2H, E, D, 6            1   86.62   88.73   47.89
2H, E, H, 7            1   90.85   88.73   52.11
3NT, N, D, 10          1   73.24   41.46   81.78
3NT, N, H, 8           1    2.11   41.46   10.65
3NT, N, S, 10          1   73.24   41.46   81.78
3NT, N, S, 9           5   36.62   41.46   45.16
3NT, S, D, 10          5   73.24   57.43   65.81
3NT, S, S, 10         18   73.24   57.43   65.81
3NT, S, S, 11          6   95.07   57.43   87.64
3NT, S, S, 8           2    2.11   57.43   -5.32
3NT, S, S, 9          22   36.62   57.43   29.19
3NTX, S, D, 9          1  100.00   96.30   53.70
5C, N, S, 10           1    2.11    2.11   50.00
pass                   2    6.34    6.34   50.00

DEFENDER, Board 14|10

Contract           Count Overall     Bid    Lead Restdef
1S, E, C, 5            2   13.38   12.39   49.58   51.41
1S, E, C, 6            1    9.15   12.39   49.58   47.18
1S, E, D, 4            1   16.90   12.39   50.63   53.87
1SX, E, D, 6           1   13.38   32.57   74.12    6.69
2H, E, D, 6            1   13.38   11.27   52.11   50.00
2H, E, H, 7            1    9.15   11.27   47.89   50.00
3NT, N, D, 10          1   26.76   58.54   18.22   50.00
3NT, N, H, 8           1   97.89   58.54   89.35   50.00
3NT, N, S, 10          1   26.76   58.54   48.74   19.48
3NT, N, S, 9           5   63.38   58.54   48.74   56.10
3NT, S, D, 10          5   26.76   42.57   40.30   43.90
3NT, S, S, 10         18   26.76   42.57   51.21   32.98
3NT, S, S, 11          6    4.93   42.57   51.21   11.15
3NT, S, S, 8           2   97.89   42.57   51.21  104.11
3NT, S, S, 9          22   63.38   42.57   51.21   69.60
3NTX, S, D, 9          1    0.00    3.70   46.30   50.00
5C, N, S, 10           1   97.89   97.89   50.00   50.00
pass                   2   93.66   93.66   50.00   50.00

DECLARER, Board 14|9

Contract           Count Overall     Bid    Play
