Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HERBST Ilan - HERBST Ophir;176;0,27;-0,00;0,27;0,38;91;  0,15;84;0,15;52;0,68;39;0,16;49;-0,26;35;0,17;84;
KOKSOY Enver - MOLVA Murat;192;0,15;0,14;0,01;-0,19;102;  0,24;90;0,13;62;-0,68;40;0,10;47;0,12;43;0,13;90;
RITMEIJER Richard - TICHA Magdalena;112;0,14;0,05;0,10;-0,15;62;  0,39;50;-0,22;57;0,68;5;0,02;7;0,10;43;0,30;50;
COLDEA Ionut - MARINA Bogdan;208;0,11;0,20;-0,09;-0,02;112;  -0,18;96;0,26;54;-0,27;58;0,01;43;0,12;53;-0,25;96;
ZIPOVSKI Dimitraki - RADISIC Goran;240;0,10;0,16;-0,07;0,04;130;  -0,20;109;-0,37;62;0,42;68;0,02;51;-0,27;58;-0,07;109;
BRICIU Marius - TEODORESCU Cornel;128;0,09;0,48;-0,39;-0,79;63;  -0,00;65;-1,20;26;-0,50;37;-0,05;32;0,01;33;0,02;65;
KAYA Emre - ATABEY Yalcin;160;0,09;0,29;-0,20;-0,19;81;  -0,21;79;0,28;43;-0,71;38;-0,47;37;0,44;42;-0,23;79;
VAN PROOIJEN Ricco - VERHEES Jr Louk;208;0,09;-0,04;0,12;0,08;97;  0,16;111;0,25;61;-0,19;36;0,23;57;0,03;54;0,02;111;
CASPERSEN Henrik - GRAVERSEN Hans Christian;112;0,07;0,23;-0,16;-0,42;55;  0,10;57;-0,67;27;-0,19;28;-0,17;29;0,31;28;0,03;57;
JOENSEN Roi A Rogvu - SIMONSEN Bogi;192;0,06;0,39;-0,34;-0,17;85;  -0,47;107;-0,19;33;-0,16;52;-0,28;35;-0,42;72;-0,09;107;
PAREZANIN Darko - PERISIC Marko;112;0,05;-0,08;0,13;0,20;61;  0,05;51;-0,39;35;1,00;26;-0,38;25;-0,03;26;0,25;51;
ASKGAARD Michael - KONOW Kasper;160;-0,09;0,22;-0,31;-0,28;78;  -0,35;81;-0,42;33;-0,18;45;-0,21;44;-0,27;37;-0,11;81;
DEHAYE Bernard - DEWASME Isabelle;192;-0,16;-0,22;0,06;0,35;85;  -0,18;107;0,46;47;0,22;38;-0,03;61;0,18;46;-0,24;107;
JASSEM Krzysztof - MAZURKIEWICZ Marcin;144;-0,19;-0,33;0,14;0,19;74;  0,08;70;-0,19;41;0,65;33;-0,41;26;0,02;44;0,22;70;
JANSONS Ugis - RUBENIS Ivars;176;-0,26;0,13;-0,38;-0,25;79;  -0,50;96;-0,08;44;-0,46;35;0,31;43;-0,44;53;-0,40;96;
WINKLER Gabor - HOMONNAY Geza;192;-0,29;-0,11;-0,18;-0,32;92;  -0,06;100;-0,45;50;-0,16;42;-0,24;52;-0,20;48;0,17;100;
PLACKETT Richard Mark - POWNALL Mike;128;-0,30;0,01;-0,31;-0,20;61;  -0,41;67;-0,88;26;0,31;35;-0,21;35;0,34;32;-0,47;67;
BOCKEN Patrick - NEVE Olivier;176;-0,31;-0,56;0,25;-0,21;75;  0,59;101;-0,24;41;-0,17;34;0,34;43;0,14;58;0,36;101;
VAN MIDDELEM Guy - CAPUTO Philippe;176;-0,33;-0,19;-0,13;-0,01;99;  -0,29;76;-0,16;52;0,14;47;0,20;37;-0,48;39;-0,14;76;
LAKATOS Peter - SZILAGYI Laszlo;176;-0,38;-0,22;-0,16;-0,68;88;  0,36;88;-1,58;37;-0,03;51;0,27;44;0,22;44;0,11;88;
MIKKELSEN Arne - MOHR Danjal Pauli;192;-0,39;-0,18;-0,20;0,17;83;  -0,50;107;0,21;43;0,14;40;-0,29;59;0,11;48;-0,38;107;
JOVANOVIC Dejan - KOLDZIC Zoran;176;-0,39;-0,39;0,01;0,09;76;  -0,06;100;-0,07;32;0,21;44;0,08;53;-0,09;47;-0,06;100;
BALASOVS Jurijs - RUBINS Karlis;192;-0,40;0,12;-0,52;-0,21;105;  -0,91;86;-0,19;50;-0,23;55;-0,53;39;-0,37;47;-0,46;86;
ABOU CHANAB Bachar - SASSELLI Marco;176;-0,41;-0,45;0,04;-0,07;73;  0,11;102;0,30;39;-0,49;34;-0,04;45;0,48;57;-0,14;102;
KURBALIJA Filip - SHIELDS Patrick;192;-0,42;-0,16;-0,25;-0,01;105;  -0,54;87;0,26;53;-0,29;52;-0,47;42;-0,35;45;-0,13;87;
MASIC Faruk - MILOVIC Milovan;176;-0,49;-0,43;-0,07;-0,22;68;  0,02;107;-0,40;35;-0,03;33;0,32;54;0,27;53;-0,27;107;
MAGNUSSON Stephan - NIKOLENKOV Dmitrij;192;-0,54;-0,23;-0,30;0,11;100;  -0,76;92;0,23;56;-0,03;44;-0,40;41;-0,05;51;-0,55;92;
ARLOVICH Andrei - VAINIKONIS Erikas;192;-0,64;-0,16;-0,47;-0,50;90;  -0,45;102;-0,61;48;-0,37;42;0,26;44;0,15;58;-0,65;102;
DAM Arni - LASSABERG Simin;160;-0,69;-0,42;-0,27;-0,06;95;  -0,60;64;-0,31;51;0,24;44;-0,44;24;-0,14;40;-0,34;64;
DOLAREVIC Samir - TICA Ranko;192;-0,83;-0,17;-0,67;-0,98;101;  -0,32;90;-0,73;53;-1,26;48;-0,26;40;-0,13;50;-0,13;90;
BUDRYS Marius - MICHAILOVAS Andrius;160;-0,88;-0,40;-0,48;-0,35;84;  -0,63;76;-0,36;37;-0,34;47;-0,68;26;-0,03;50;-0,38;76;
OLANSKI Wojtek - VAINIKONIS Vytautas;192;-0,90;-0,48;-0,42;-0,11;93;  -0,72;99;0,69;45;-0,85;48;0,00;53;-0,47;46;-0,50;99;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
CIMA Leonardo - SEMENTA Antonio;64;0,73;0,71;0,02;-0,27;32;  0,32;32;0,14;18;-0,80;14;0,20;17;0,12;15;0,16;32;
JOURDAIN Patrick - SHIELDS Patrick;64;0,14;0,02;0,12;-0,60;26;  0,61;38;-1,15;15;0,15;11;0,22;21;0,39;17;0,32;38;
GIUBILO Valerio - SEMENTA Antonio;32;0,03;-0,23;0,26;0,15;15;  0,36;17;0,21;5;0,13;10;-0,53;7;0,08;10;0,53;17;
JOURDAIN Patrick - PLACKETT Richard Mark;96;-0,11;-0,39;0,28;0,14;50;  0,43;46;0,01;19;0,21;31;0,10;19;0,00;27;0,38;46;
CIMA Leonardo - GIUBILO Valerio;64;-0,25;-0,69;0,44;0,30;25;  0,53;39;0,10;10;0,43;15;0,55;19;0,20;20;0,16;39;
KARAIVANOV Kalin - MIHAILOV Georgi;80;-0,52;-0,29;-0,23;0,85;36;  -1,11;44;1,43;17;0,33;19;-0,66;13;-0,52;31;-0,55;44;
ANGELINI Francesco - SEMENTA Antonio;95;-0,94;-0,73;-0,21;-0,27;43;  -0,16;52;-0,84;18;0,14;25;-0,10;17;-0,15;35;-0,02;52;
KURBALIJA Diane - KURBALIJA Filip;64;-1,03;-0,54;-0,50;-0,29;34;  -0,73;30;-1,01;21;0,88;13;-0,26;18;0,36;12;-0,72;30;
KOLDZIC Zoran - PAREZANIN Darko;16;-1,13;-0,33;-0,80;0,35;7;  -1,69;9;0,46;4;0,21;3;0,42;6;0,03;3;-1,98;9;
DOLAREVIC Samir - KALUDERCIC Aleksandar;80;-1,20;-0,09;-1,11;-1,43;49;  -0,61;31;-2,94;19;-0,47;30;-0,07;14;-0,83;17;-0,12;31;
KALUDERCIC Aleksandar - MASIC Faruk;96;-1,52;-1,09;-0,43;0,38;40;  -1,01;56;0,14;13;0,50;27;-1,35;25;-0,33;31;-0,23;56;
LAURIA Lorenzo - SEMENTA Antonio;16;-1,94;-1,37;-0,57;-0,39;5;  -0,66;11;-0,39;5;-;0;0,26;7;-0,56;4;-0,62;11;
VERSACE Alfredo - ANGELINI Francesco;16;-2,13;-1,91;-0,21;-0,07;8;  -0,36;8;-;0;-0,07;8;-0,01;8;-;0;-0,35;8;
VERSACE Alfredo - SEMENTA Antonio;32;0,28;0,36;-0,08;0,40;15;  -0,50;17;0,19;6;0,53;9;-0,96;9;-0,02;8;0,02;17;

