Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SANBORN Kerri - MEYERS Jill;256;0,11;-0,12;0,23;0,26;121;  0,21;134;0,04;69;0,54;52;-0,07;61;0,19;73;0,13;134;
BURATTI Monica - AGHEMO Monica;254;0,10;-0,07;0,16;0,27;125;  0,06;127;0,39;47;0,20;78;0,15;64;0,01;63;-0,02;127;
BILDE Trine - KOCH-PALMUND Charlotte;128;0,09;0,23;-0,13;0,43;57;  -0,60;70;0,21;29;0,66;28;0,36;31;-0,40;39;-0,54;70;
BILDE Dorte Cilleborg - BUUS THOMSEN Anita;288;0,09;0,12;-0,03;0,07;134;  -0,12;153;0,11;68;0,03;66;-0,11;74;0,20;79;-0,17;153;
PUNCH Sam - SYMONS Anne;288;0,04;-0,08;0,12;-0,06;150;  0,32;138;0,03;77;-0,15;73;-0,07;76;0,06;62;0,34;138;
WATTAR Nada - HOMSY Marguerite;239;0,03;0,34;-0,31;-0,09;116;  -0,52;120;-0,04;63;-0,16;53;0,19;53;-0,20;67;-0,50;120;
YAVAS Dilek - KURANOGLU Serap;255;0,01;-0,05;0,06;-0,28;123;  0,37;132;-0,02;58;-0,52;65;0,37;69;0,06;63;0,15;132;
USKUP Burcu - CAUWELS Sylvie;240;0,00;-0,21;0,21;0,17;133;  0,25;106;0,23;74;0,10;59;0,14;59;0,15;47;0,11;106;
PREVIDE Maria Cecilia - ESPINOSA-PAZ Maria Jose;256;-0,02;0,05;-0,06;0,14;126;  -0,27;129;-0,07;63;0,35;63;0,17;64;-0,10;65;-0,30;129;
CASTELLS Laura - CASTELLS Marina;240;-0,02;-0,17;0,15;0,45;106;  -0,09;132;0,41;56;0,50;50;-0,17;69;-0,29;63;0,14;132;
PONCIONI Graca - DORIA Lucia;256;-0,04;-0,02;-0,02;0,10;134;  -0,15;121;-0,17;65;0,36;69;-0,19;63;-0,15;58;0,02;121;
STAS Marie-Francoise - VANDENBOSSCHE Caroline;272;-0,04;0,09;-0,13;-0,16;124;  -0,12;143;-0,37;62;0,05;62;-0,24;78;0,14;65;-0,05;143;
SZUCS Villo - LAJOS Hanka;256;-0,07;-0,27;0,20;0,02;128;  0,39;127;0,52;53;-0,33;75;0,24;63;0,31;64;0,11;127;
DE MAGALHAES PEREIRA Ana - OLIVEIRA Anabela;368;-0,10;-0,16;0,05;0,08;192;  0,01;175;0,19;108;-0,05;84;0,13;85;0,04;90;-0,07;175;
McGOWAN Elizabeth (Liz) - McQUAKER Fiona;256;-0,11;-0,13;0,02;-0,21;116;  0,22;136;-0,00;50;-0,36;66;-0,03;74;0,25;62;0,12;136;
BRYANT Brenda - NISBET Pamela;256;-0,12;-0,14;0,03;0,28;121;  -0,20;134;0,41;54;0,17;67;0,04;70;0,20;64;-0,32;134;
PLATH Mieke - KRIFTNER Susanne;240;-0,18;-0,06;-0,11;0,03;127;  -0,29;111;-0,19;59;0,23;68;0,04;57;-0,56;54;-0,04;111;
GREENWOOD Fiona - PALMER Julia;192;-0,19;0,03;-0,22;-0,38;86;  -0,09;105;-0,27;37;-0,46;49;0,19;58;-0,11;47;-0,15;105;
ALEGRE Eleonora - HERRERA Florencia;256;-0,21;0,05;-0,26;-0,15;116;  -0,36;138;0,29;62;-0,66;54;-0,22;74;-0,31;64;-0,10;138;
KAPLAN Rena - MUNDELL Giselle;256;-0,25;0,09;-0,34;0,14;122;  -0,78;133;0,23;70;0,02;52;-0,16;67;-0,31;66;-0,54;133;
BRAKE Jessica - HUMPHRIES Susan;256;-0,25;-0,00;-0,25;-0,39;141;  -0,08;114;-0,57;70;-0,21;71;0,10;54;0,08;60;-0,17;114;
VARGAS DE ANDRADE Isabella - DE MELLO Sylvia Figueira;240;-0,28;-0,29;0,01;0,25;124;  -0,24;116;0,15;58;0,34;66;-0,13;66;0,28;50;-0,29;116;
TAYMOUR ARABI Nadia - HAMDY Nessrine;240;-0,29;-0,33;0,04;-0,09;114;  0,17;123;-0,33;49;0,09;65;-0,60;71;0,14;52;0,45;123;
RUSSO Rita - LEITAO Mariana;368;-0,30;-0,20;-0,10;0,18;149;  -0,29;217;0,13;68;0,22;81;-0,11;111;-0,02;106;-0,22;217;
TOPIOL Yael - COUTEAUX Antonella;224;-0,30;-0,17;-0,13;-0,47;101;  0,15;120;-0,78;54;-0,12;47;0,22;53;-0,07;67;0,10;120;
QUINN Shawn - WITTES Pam;256;-0,31;-0,08;-0,23;-0,05;136;  -0,46;116;-0,02;73;-0,07;63;-0,02;59;0,05;57;-0,48;116;
HERNANDEZ Maria Eugenia - MESTRES Montserrat;255;-0,31;-0,13;-0,18;-0,39;143;  0,09;111;-0,59;70;-0,20;73;-0,35;65;0,07;46;0,27;111;
DE LORENZO Paula - FERNANDEZ Margarita;240;-0,38;-0,12;-0,26;0,19;119;  -0,70;121;0,76;55;-0,31;64;0,03;66;-0,34;55;-0,56;121;
SHAH Vasanti - DEY Bharati;256;-0,47;-0,60;0,14;0,19;117;  0,09;138;0,75;69;-0,61;48;0,32;63;-0,16;75;0,03;138;
KABBAJ Leila - MARRAKCHI Khadija;256;-0,51;-0,09;-0,42;-0,14;114;  -0,66;139;-0,43;50;0,10;64;-0,56;52;0,09;87;-0,51;139;
TICHY Eszter - ZALAI Agnes;224;-0,53;-0,45;-0,08;-0,21;104;  0,03;118;0,13;49;-0,50;55;0,24;57;-0,15;61;-0,01;118;
SOLIMAN Hoda - ELAWADY Dina;256;-0,57;-0,35;-0,21;-0,15;145;  -0,30;108;-0,34;83;0,10;62;0,04;57;0,28;51;-0,46;108;
SMYKALLA Gisela - DELLA MONTA Annaig;272;-0,63;-0,52;-0,11;-0,35;113;  0,06;158;-0,58;64;-0,05;49;-0,46;81;0,16;77;0,22;158;
KOCHAR Rubinder Kaur - LAW Manju;272;-0,65;-0,34;-0,32;-0,44;141;  -0,18;129;-0,43;63;-0,45;78;-0,08;68;0,01;61;-0,15;129;
VIDIGAL Ana Carolina - MENEZES Lucia;240;-0,69;-0,19;-0,50;-0,43;92;  -0,55;147;-0,35;37;-0,48;55;-0,20;81;-0,38;66;-0,27;147;
AGGARWAL Anshu - VALRANI Vandana;208;-0,74;-0,36;-0,38;-0,53;117;  -0,19;89;-0,50;54;-0,56;63;0,05;48;-0,04;41;-0,20;89;
SHARMA Asha - BATRA Puja;240;-0,75;-0,48;-0,27;-0,19;122;  -0,36;117;-0,31;89;0,13;33;-0,03;67;0,01;50;-0,35;117;
FOSSATI Susana Mirta - PAILHE Maria Celia;224;-0,77;-0,13;-0,64;-0,64;102;  -0,66;118;-0,60;51;-0,69;51;0,04;55;-0,08;63;-0,63;118;
WALIA Rupinder Kaur - KUMAR Kumkum;256;-1,00;-0,13;-0,87;-0,87;139;  -0,88;115;-1,40;61;-0,45;78;0,05;58;-0,03;57;-0,90;115;
T'KINT DE ROODENBEKE Cathy - LAHLOU Fatim;176;-1,04;-0,52;-0,52;-0,61;92;  -0,42;83;-1,19;43;-0,11;49;-0,17;43;-0,33;40;-0,18;83;
SAIN Aparna - CHOTHIA Feroza;240;-1,11;-0,67;-0,44;-0,55;112;  -0,35;125;-0,57;63;-0,52;49;-0,43;57;0,16;68;-0,24;125;
LAHLOU Fatim - MARRAKCHI Khadija;16;-1,84;-0,98;-0,86;-0,11;10;  -2,12;6;0,83;4;-0,74;6;-0,76;3;0,15;3;-1,81;6;

