                                                       |             |              |           Play           |        Declaring         |                Defending              |
GOODMAN Peter - THOMAS Adrian                          |  258   0.09 |  0.11  -0.02 |  0.18 (132)  -0.24 (124) |  0.26 ( 67)   0.09 ( 65) | -0.03 ( 63)  -0.20 ( 61)  -0.13 (124) |
BROGELAND Boye - SVENDSEN Odin                         |  259   0.09 | -0.15   0.23 |  0.29 (134)   0.18 (123) |  0.82 ( 60)  -0.15 ( 74) | -0.00 ( 47)  -0.14 ( 76)   0.27 (123) |
VLAJNIC Branko - ZIPOVSKI Dimitraki                    |  240   0.06 | -0.10   0.16 |  0.18 (115)   0.14 (125) |  0.13 ( 61)   0.23 ( 54) | -0.04 ( 61)   0.28 ( 64)   0.02 (125) |
ELSINEN Antti - KOISTINEN Kauko                        |  240   0.03 |  0.06  -0.03 | -0.10 (125)   0.04 (115) | -0.08 ( 55)  -0.11 ( 70) |  0.03 ( 53)   0.17 ( 62)  -0.07 (115) |
BARCZY Peter - SZABO Csaba                             |  260  -0.01 | -0.11   0.10 |  0.17 (120)   0.05 (139) |  0.11 ( 64)   0.23 ( 56) | -0.01 ( 65)   0.14 ( 74)  -0.02 (139) |
DENNING Paul - SHIELDS Patrick                         |  258  -0.04 | -0.04  -0.00 |  0.62 (109)  -0.46 (148) |  0.79 ( 52)   0.46 ( 57) |  0.06 ( 63)  -0.32 ( 85)  -0.30 (148) |
WILKINSON Alexander William - PIPER Douglas            |  260  -0.05 |  0.05  -0.09 |  0.33 (129)  -0.52 (129) |  0.48 ( 61)   0.21 ( 68) |  0.04 ( 66)  -0.42 ( 63)  -0.33 (129) |
CHIDIAC Pierre - HAMDAN Faycal                         |  239  -0.08 | -0.01  -0.07 |  0.22 (128)  -0.42 (110) | -0.09 ( 59)   0.49 ( 69) | -0.34 ( 53)  -0.12 ( 57)  -0.20 (110) |
LESKELA Vesa - TAMMINEN Jussi Pekka                    |  240  -0.09 |  0.17  -0.26 | -0.02 (102)  -0.45 (137) | -0.23 ( 56)   0.24 ( 46) | -0.04 ( 77)  -0.12 ( 60)  -0.37 (137) |
BETHERS Janis - BENDIKS Janis                          |  280  -0.11 |  0.06  -0.17 | -0.54 (117)   0.09 (163) | -0.15 ( 58)  -0.92 ( 59) |  0.06 ( 87)   0.01 ( 76)   0.06 (163) |
WLADOW Entscho - ELINESCU Michael                      |  240  -0.12 | -0.05  -0.07 | -0.07 (129)  -0.07 (110) | -0.57 ( 65)   0.43 ( 64) |  0.23 ( 48)  -0.21 ( 62)  -0.05 (110) |
FILIP Anatol - VELECKY Eduard                          |  360  -0.13 | -0.21   0.08 | -0.06 (169)   0.21 (188) | -0.14 ( 65)  -0.02 (104) | -0.10 (113)  -0.04 ( 75)   0.29 (188) |
ZEPIC Vjekoslav - SCEPANOVIC Tomislav                  |  240  -0.13 |  0.15  -0.28 | -0.48 (113)  -0.11 (126) | -1.11 ( 57)   0.16 ( 56) | -0.04 ( 63)   0.16 ( 63)  -0.17 (126) |
ZENCEVICIUS Zilvinas - KARTANAS Virginijus             |  240  -0.16 |  0.04  -0.20 |  0.14 (111)  -0.49 (128) |  0.22 ( 51)   0.06 ( 60) | -0.34 ( 54)  -0.35 ( 74)  -0.15 (128) |
DUMBOVICH Miklos - GOTTHARD Laszlo                     |  180  -0.18 | -0.14  -0.03 |  0.04 ( 92)  -0.11 ( 87) |  0.40 ( 50)  -0.40 ( 42) |  0.12 ( 44)   0.07 ( 43)  -0.20 ( 87) |
OZOLS Janis - ROMANOVSKIS Janis                        |  180  -0.22 | -0.13  -0.09 |  0.14 ( 99)  -0.37 ( 79) | -0.19 ( 46)   0.42 ( 53) | -0.09 ( 53)  -0.46 ( 26)  -0.16 ( 79) |
ZIVKOVIC Gojko - MOSSOP David                          |  220  -0.29 | -0.07  -0.22 | -0.02 (120)  -0.48 ( 99) |  0.01 ( 49)  -0.04 ( 71) | -0.10 ( 55)   0.09 ( 44)  -0.46 ( 99) |
GRANSTROM Juho - PATANA Kari                           |  240  -0.30 | -0.02  -0.28 |  0.12 (108)  -0.61 (131) |  0.50 ( 51)  -0.21 ( 57) | -0.19 ( 54)  -0.37 ( 77)  -0.31 (131) |
HARFOUCHE Gabriel - NASR Nabil                         |  220  -0.34 | -0.19  -0.15 |  0.07 (106)  -0.37 (112) |  0.04 ( 48)   0.10 ( 58) | -0.07 ( 59)  -0.42 ( 53)  -0.13 (112) |
GOODMAN Alan - ASH Mike                                |  260  -0.42 |  0.05  -0.47 | -0.23 (134)  -0.72 (126) | -0.13 ( 73)  -0.34 ( 61) |  0.03 ( 68)  -0.37 ( 58)  -0.57 (126) |
STANICIC Ognjen - TESLA Miro                           |  240  -0.48 | -0.27  -0.21 | -0.00 (127)  -0.43 (112) | -0.28 ( 67)   0.31 ( 60) | -0.24 ( 50)  -0.26 ( 62)  -0.18 (112) |
HENC Marian - LOHAY Karol                              |  360  -0.56 | -0.52  -0.03 |  0.02 (154)  -0.08 (201) | -0.19 ( 76)   0.23 ( 78) | -0.11 (101)  -0.30 (100)   0.12 (201) |
FAYAD Mireille - HARFOUCHE Gabriel                     |  140  -0.66 | -0.35  -0.31 | -0.28 ( 71)  -0.33 ( 69) | -0.46 ( 28)  -0.17 ( 43) |  0.39 ( 36)  -0.04 ( 33)  -0.51 ( 69) |
BIRBALAS Linas - POSKA Gediminas                       |  220  -0.78 | -0.43  -0.35 | -0.19 (129)  -0.57 ( 89) |  0.31 ( 67)  -0.74 ( 62) | -0.36 ( 45)  -0.41 ( 44)  -0.19 ( 89) |
HAY James - MORGAN Frazer                              |  200  -0.78 | -0.39  -0.39 | -0.13 (100)  -0.67 ( 98) | -0.08 ( 50)  -0.18 ( 50) |  0.23 ( 44)  -0.28 ( 54)  -0.62 ( 98) |
PETRYLA Egidijus - PETRYLIENE Nele                     |  240  -0.82 | -0.44  -0.38 | -0.52 (125)  -0.24 (115) | -0.92 ( 58)  -0.17 ( 67) |  0.45 ( 58)  -0.76 ( 57)  -0.09 (115) |
KOLETTIS George - ROUVIS Themis                        |  240  -0.95 | -0.86  -0.10 | -0.19 (126)   0.00 (109) | -0.28 ( 66)  -0.08 ( 60) |  0.08 ( 51)  -0.45 ( 58)   0.20 (109) |
FRANGOS Philippos - TILLYRI Frosso                     |  240  -0.96 | -0.40  -0.56 | -0.47 (127)  -0.67 (111) | -0.79 ( 68)  -0.11 ( 59) |  0.06 ( 54)   0.16 ( 57)  -0.78 (111) |
VUCIC Aleksandar - CURLIN Igor                         |  180  -0.97 | -0.23  -0.73 | -0.99 (100)  -0.42 ( 79) | -0.61 ( 53)  -1.41 ( 47) | -0.07 ( 41)  -0.04 ( 38)  -0.36 ( 79) |
FAYAD Mireille - HAMDAN Faycal                         |  120  -1.01 | -0.61  -0.40 | -0.71 ( 58)  -0.12 ( 60) | -1.38 ( 25)  -0.20 ( 33) |  0.19 ( 34)   0.10 ( 26)  -0.27 ( 60) |
CHRISTOFOROU George - PANAYIOTOU Kyriakos              |  239  -1.02 | -0.59  -0.43 | -0.27 (121)  -0.60 (118) | -1.14 ( 53)   0.42 ( 68) | -0.36 ( 56)  -0.21 ( 62)  -0.32 (118) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
VLAJNIC Branko - ALTMAN Boris                          |   20   0.87 |  1.61  -0.74 | -0.40 ( 12)  -1.25 (  8) | -0.68 (  8)   0.18 (  4) |  0.86 (  4)   0.56 (  4)  -1.97 (  8) |
ZIPOVSKI Dimitraki - CURLIN Igor                       |   20   0.85 |  0.15   0.70 |  0.60 (  9)   0.78 ( 11) |  0.81 (  5)   0.32 (  4) |  1.10 (  6)  -0.05 (  5)   0.21 ( 11) |
ZENCEVICIUS Zilvinas - POSKA Gediminas                 |   20  -0.46 | -0.80   0.34 |  0.74 ( 11)  -0.16 (  9) |  1.65 (  4)   0.22 (  7) | -0.35 (  6)   0.72 (  3)  -0.17 (  9) |
VUCIC Aleksandar - ALTMAN Boris                        |   20  -1.22 | -1.47   0.25 |  0.47 ( 13)  -0.17 (  7) | -0.03 (  6)   0.91 (  7) |  0.08 (  5)  -1.73 (  2)   0.27 (  7) |
ZIPOVSKI Dimitraki - RADISIC Goran                     |   20  -2.06 | -1.14  -0.92 | -0.45 (  8)  -1.23 ( 12) |  0.40 (  6)  -3.00 (  2) |  0.08 (  2)  -0.61 ( 10)  -0.74 ( 12) |
ABOUCHANAB Nicole - PIEDRA Fernando                    |   20  -0.41 | -0.28  -0.13 |  0.31 (  7)  -0.37 ( 13) |  1.35 (  3)  -0.47 (  4) | -0.12 (  5)  -0.50 (  8)  -0.01 ( 13) |

