Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
PIEKAREK Josef - SMIRNOV Alexander;240;0,29;0,08;0,21;0,06;122;  0,37;117;0,24;60;-0,13;62;0,06;63;0,52;54;0,10;117;
BERSET Ole - EKREN Bjorn Olav;200;0,25;0,09;0,16;0,26;108;  0,04;89;-0,26;54;0,78;54;-0,39;41;0,24;48;0,09;89;
BONEV Ilko - BATOV Vasil;238;0,25;0,19;0,06;0,24;109;  -0,10;128;0,07;43;0,36;66;-0,02;70;-0,39;58;0,09;128;
DUBOIN Giorgio - SEMENTA Antonio;240;0,16;0,07;0,09;0,19;97;  0,03;138;0,68;48;-0,28;49;0,43;67;-0,16;71;-0,10;138;
ALTMAN Boris - RADISIC Goran;219;0,15;0,21;-0,06;-0,51;105;  0,35;112;-0,59;48;-0,44;57;-0,00;53;0,19;59;0,25;112;
JONES Dafydd - JONES Gary;200;0,14;0,21;-0,07;-0,02;106;  -0,13;94;-0,14;54;0,10;52;0,14;43;0,07;51;-0,22;94;
GOODMAN Peter - THOMAS Adrian;258;0,11;0,14;-0,03;0,19;132;  -0,27;124;0,31;67;0,06;65;-0,05;63;-0,21;61;-0,14;124;
ELSINEN Antti - KOISTINEN Kauko;240;0,09;0,11;-0,02;-0,07;125;  0,03;115;-0,05;55;-0,09;70;0,06;53;0,18;62;-0,09;115;
BROGELAND Boye - SVENDSEN Odin;259;0,05;-0,20;0,25;0,32;134;  0,17;123;0,89;60;-0,15;74;-0,02;47;-0,19;76;0,30;123;
VLAJNIC Branko - ZIPOVSKI Dimitraki;240;0,05;-0,11;0,15;0,21;115;  0,10;125;0,19;61;0,22;54;-0,05;61;0,25;64;-0,00;125;
WILKINSON Alexander William - PIPER Douglas;260;0,01;0,10;-0,09;0,40;129;  -0,58;129;0,60;61;0,23;68;0,03;66;-0,47;63;-0,37;129;
BARCZY Peter - SZABO Csaba;260;-0,05;-0,20;0,15;0,22;120;  0,09;139;0,18;64;0,27;56;-0,01;65;0,18;74;-0,00;139;
WLADOW Entscho - ELINESCU Michael;240;-0,05;0,03;-0,08;-0,08;129;  -0,09;110;-0,61;65;0,47;64;0,27;48;-0,22;62;-0,08;110;
DENNING Paul - SHIELDS Patrick;258;-0,05;-0,05;0,00;0,69;109;  -0,51;148;0,93;52;0,47;57;0,05;63;-0,34;85;-0,33;148;
CHIDIAC Pierre - HAMDAN Faycal;239;-0,06;0,02;-0,08;0,22;128;  -0,43;110;-0,09;59;0,49;69;-0,39;53;-0,11;57;-0,19;110;
ZEPIC Vjekoslav - SCEPANOVIC Tomislav;240;-0,13;0,18;-0,31;-0,51;113;  -0,13;126;-1,18;57;0,17;56;-0,06;63;0,18;63;-0,20;126;
FILIP Anatol - VELECKY Eduard;360;-0,17;-0,27;0,10;-0,07;169;  0,24;188;-0,18;65;0,01;104;-0,13;113;-0,06;75;0,34;188;
BETHERS Janis - BENDIKS Janis;280;-0,17;0,05;-0,22;-0,64;117;  0,08;163;-0,16;58;-1,10;59;0,02;87;0,01;76;0,07;163;
OZOLS Janis - ROMANOVSKIS Janis;180;-0,18;-0,09;-0,09;0,13;99;  -0,37;79;-0,22;46;0,44;53;-0,07;53;-0,52;26;-0,15;79;
DUMBOVICH Miklos - GOTTHARD Laszlo;180;-0,20;-0,19;-0,01;0,07;92;  -0,10;87;0,47;50;-0,41;42;0,13;44;0,08;43;-0,21;87;
LESKELA Vesa - TAMMINEN Jussi Pekka;240;-0,20;0,10;-0,30;-0,03;102;  -0,51;137;-0,21;56;0,20;46;-0,02;77;-0,13;60;-0,45;137;
ZENCEVICIUS Zilvinas - KARTANAS Virginijus;240;-0,25;-0,00;-0,25;0,14;111;  -0,59;128;0,18;51;0,10;60;-0,34;54;-0,43;74;-0,19;128;
ZIVKOVIC Gojko - MOSSOP David;220;-0,29;-0,08;-0,21;0,03;120;  -0,50;99;0,07;49;0,00;71;-0,16;55;0,14;44;-0,47;99;
GRANSTROM Juho - PATANA Kari;240;-0,29;-0,01;-0,29;0,17;108;  -0,67;131;0,60;51;-0,21;57;-0,19;54;-0,41;77;-0,35;131;
HARFOUCHE Gabriel - NASR Nabil;220;-0,38;-0,22;-0,16;0,09;106;  -0,41;112;0,06;48;0,11;58;-0,11;59;-0,47;53;-0,12;112;
STANICIC Ognjen - TESLA Miro;240;-0,46;-0,28;-0,18;0,06;127;  -0,45;112;-0,26;67;0,40;60;-0,24;50;-0,29;62;-0,19;112;
GOODMAN Alan - ASH Mike;260;-0,50;-0,01;-0,50;-0,25;134;  -0,76;126;-0,13;73;-0,39;61;0,03;68;-0,43;58;-0,58;126;
FAYAD Mireille - HARFOUCHE Gabriel;140;-0,60;-0,33;-0,27;-0,28;71;  -0,27;69;-0,46;28;-0,16;43;0,43;36;-0,03;33;-0,47;69;
HENC Marian - LOHAY Karol;360;-0,64;-0,61;-0,03;0,05;154;  -0,10;201;-0,19;76;0,28;78;-0,15;101;-0,33;100;0,14;201;
HAY James - MORGAN Frazer;200;-0,85;-0,45;-0,40;-0,10;100;  -0,72;98;-0,01;50;-0,18;50;0,26;44;-0,31;54;-0,66;98;
BIRBALAS Linas - POSKA Gediminas;220;-0,87;-0,48;-0,40;-0,21;129;  -0,67;89;0,31;67;-0,78;62;-0,47;45;-0,44;44;-0,22;89;
PETRYLA Egidijus - PETRYLIENE Nele;240;-0,88;-0,45;-0,42;-0,57;125;  -0,26;115;-1,03;58;-0,17;67;0,46;58;-0,78;57;-0,11;115;
KOLETTIS George - ROUVIS Themis;240;-0,99;-0,89;-0,09;-0,25;126;  0,08;109;-0,38;66;-0,11;60;0,11;51;-0,45;58;0,27;109;
FRANGOS Philippos - TILLYRI Frosso;240;-1,03;-0,43;-0,60;-0,52;127;  -0,70;111;-0,86;68;-0,13;59;0,09;54;0,19;57;-0,85;111;
VUCIC Aleksandar - CURLIN Igor;180;-1,08;-0,29;-0,78;-1,04;100;  -0,48;79;-0,63;53;-1,50;47;-0,08;41;-0,05;38;-0,41;79;
CHRISTOFOROU George - PANAYIOTOU Kyriakos;239;-1,15;-0,68;-0,47;-0,30;121;  -0,64;118;-1,25;53;0,44;68;-0,38;56;-0,21;62;-0,35;118;
FAYAD Mireille - HAMDAN Faycal;120;-1,17;-0,73;-0,45;-0,86;58;  -0,07;60;-1,65;25;-0,26;33;0,23;34;0,10;26;-0,24;60;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
VLAJNIC Branko - ALTMAN Boris;20;0,95;1,79;-0,84;-0,45;12;  -1,42;8;-0,75;8;0,15;4;0,96;4;0,61;4;-2,21;8;
ZIPOVSKI Dimitraki - CURLIN Igor;20;0,60;-0,17;0,77;0,69;9;  0,84;11;0,84;5;0,50;4;1,18;6;-0,10;5;0,24;11;
ZENCEVICIUS Zilvinas - POSKA Gediminas;20;-0,30;-0,63;0,33;0,79;11;  -0,24;9;1,93;4;0,13;7;-0,35;6;0,59;3;-0,20;9;
VUCIC Aleksandar - ALTMAN Boris;20;-1,45;-1,73;0,28;0,58;13;  -0,29;7;-0,14;6;1,20;7;0,08;5;-1,81;2;0,18;7;
ZIPOVSKI Dimitraki - RADISIC Goran;20;-2,10;-1,13;-0,97;-0,39;8;  -1,36;12;0,54;6;-3,19;2;0,13;2;-0,58;10;-0,89;12;
ABOUCHANAB Nicole - PIEDRA Fernando;20;-0,40;-0,23;-0,17;0,32;7;  -0,43;13;1,41;3;-0,50;4;-0,18;5;-0,56;8;-0,02;13;

