Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
ZMUDA Justyna - DUFRAT Katarzyna;224;0,06;-0,25;0,31;0,24;116;  0,38;108;0,17;53;0,30;63;0,42;57;-0,12;51;0,22;108;
VAN ZWOL Wietske - ARNOLDS Carla;208;0,05;0,27;-0,23;-0,15;99;  -0,30;108;0,14;47;-0,41;52;-0,10;58;-0,35;50;-0,09;108;
YAN Ru - LI Yiting;224;0,02;-0,07;0,09;0,26;110;  -0,07;113;-0,01;62;0,60;48;0,04;65;0,09;48;-0,13;113;
MIYAKUNI Ayako - OTA Hiroko;224;0,01;-0,14;0,16;0,33;95;  0,03;129;0,65;50;-0,04;45;-0,14;70;-0,10;59;0,16;129;
GIBBONS Christine - GIBBONS Jenna;208;-0,00;0,01;-0,01;0,28;121;  -0,43;86;0,78;50;-0,08;71;0,03;42;-0,19;44;-0,34;86;
WILKINSON Jenny - NEWTON Shirley;224;-0,01;-0,07;0,06;0,18;112;  -0,05;112;0,45;56;-0,10;56;-0,09;47;0,20;65;-0,13;112;
CAMPAGNANO Debora - HUGON Elisabeth;144;-0,03;0,09;-0,12;-0,18;73;  -0,05;71;-0,45;42;0,18;31;0,04;35;-0,11;36;-0,02;71;
BOURKE Margaret - LUSK Sue;240;-0,05;-0,15;0,09;0,21;108;  -0,00;129;0,76;43;-0,15;65;-0,20;68;-0,13;61;0,17;129;
NARASIMHAN Hansa - RADIN Judi;112;-0,12;-0,18;0,06;0,06;59;  0,05;53;-0,29;23;0,29;36;-0,43;26;-0,23;27;0,38;53;
BRISEBOIS Isabelle - NYSTROM Samantha;208;-0,13;-0,14;0,00;-0,00;109;  0,00;98;0,06;57;-0,06;52;-0,30;49;0,01;49;0,15;98;
HOMSY Marguerite - KHOURI Maud;240;-0,19;0,02;-0,21;-0,43;116;  0,00;122;-1,06;49;0,02;67;0,01;67;0,22;55;-0,10;122;
BILTOFT Valentina - FULLER Leone;192;-0,26;-0,52;0,26;0,43;91;  0,11;100;0,15;46;0,72;45;-0,25;47;0,09;53;0,18;100;
DEORA Hema - KARMARKAR Marianne;224;-0,27;0,10;-0,37;-0,07;112;  -0,69;111;-0,88;58;0,81;54;0,03;56;-0,36;55;-0,53;111;
WU Ling Li - LIU Pei-Hua;192;-0,29;-0,08;-0,21;-0,30;104;  -0,10;87;-0,75;54;0,18;50;-0,04;35;0,07;52;-0,12;87;
HAMDY Nessrine - BADAWI Laila;207;-0,33;-0,17;-0,16;0,01;99;  -0,32;107;0,54;53;-0,60;46;-0,18;59;-0,18;48;-0,14;107;
SWIEL Joy - NARUNSKY Maureen;240;-0,38;-0,28;-0,09;-0,56;120;  0,39;116;-0,31;55;-0,78;65;0,13;64;0,12;52;0,27;116;
AGHA Rubina - AZWER Zeenat;288;-0,45;-0,49;0,04;-0,08;137;  0,16;149;0,01;73;-0,19;64;-0,21;66;0,11;83;0,19;149;
CARTNER Linda - PALMER Glenis;240;-0,48;-0,16;-0,33;-0,23;106;  -0,40;133;-0,10;46;-0,34;60;0,14;70;-0,14;63;-0,41;133;
VARGAS DE ANDRADE Isabella - PAIN Leda;240;-0,54;-0,25;-0,29;0,05;122;  -0,66;116;-1,57;19;0,35;103;0,08;91;-0,25;25;-0,67;116;
DARYANANI Padma - PACHECO Morella;224;-0,59;-0,37;-0,22;-0,34;108;  -0,11;113;-0,74;58;0,12;50;-0,23;49;-0,09;64;0,04;113;
KENNY Renee - LIPSHITZ Charmaine;224;-0,59;-0,37;-0,22;-0,24;109;  -0,20;113;-0,20;54;-0,27;55;-0,43;53;-0,07;60;0,04;113;
THIRION Christiane - FABBRICATORE Sophie;240;-0,60;-0,12;-0,49;-0,48;109;  -0,49;130;-0,47;57;-0,49;52;-0,35;53;0,22;77;-0,49;130;
BISTOQUET Chantal - MOERS Jeanine;240;-0,64;-0,26;-0,38;-0,64;114;  -0,15;125;-0,53;62;-0,78;52;0,54;68;-0,67;57;-0,14;125;
PACHECO Juliana - PONCIONI Graca;192;-0,73;-0,19;-0,54;-0,82;95;  -0,26;96;-1,11;48;-0,53;47;-0,31;42;-0,35;54;0,07;96;
CASSIN Jacqueline - GARCIA Anne;192;-0,88;-0,04;-0,83;-0,49;96;  -1,19;95;-0,35;50;-0,65;46;-0,13;54;-0,28;41;-0,99;95;
AL-NAJJAB Najwa - FAKHOURI Amal;224;-0,89;-0,45;-0,45;-0,27;95;  -0,58;128;-0,04;45;-0,48;50;-0,17;72;0,27;56;-0,60;128;
SOLIMAN Hoda - PHILIPPE PASCAL Catherine;224;-0,95;-0,55;-0,40;-0,39;105;  -0,41;119;-0,48;53;-0,30;52;-0,31;59;0,10;60;-0,30;119;
SUAREZ Adriana - DE JESUS Karla;224;-1,02;-0,39;-0,62;-0,27;110;  -0,99;111;-0,65;53;0,08;57;-0,14;54;-0,31;57;-0,76;111;
HAI Rubina Saeed - RAZA Fatima;240;-1,05;-0,64;-0,41;0,02;133;  -0,95;105;-0,45;59;0,39;74;-0,65;54;0,16;51;-0,70;105;
SAKET Huda - GHARBIEH May Abu;224;-1,08;-0,39;-0,70;-0,48;105;  -0,91;117;-0,84;56;-0,07;49;-0,45;59;-0,15;58;-0,60;117;
BOKHARI Roshan Ara - DOSSA Qudsia;144;-1,21;-0,82;-0,39;-0,51;62;  -0,30;82;-0,24;32;-0,79;30;-0,13;45;-0,06;37;-0,20;82;
ASHBERG Jocelyn - KAMINER Shirley;208;-1,25;-0,59;-0,65;-1,22;99;  -0,14;109;-0,76;42;-1,56;57;-0,00;45;-0,43;64;0,11;109;
JAJOO Monica - BATRA Puja;224;-1,65;-0,89;-0,76;-0,71;93;  -0,81;129;-0,83;55;-0,53;38;0,25;71;-0,42;58;-0,76;129;
SAIN Aparna - CHOTHIA Feroza;224;-1,73;-0,95;-0,78;-0,44;121;  -1,19;102;-0,48;66;-0,40;55;-0,04;44;-0,59;58;-0,84;102;
ALZABEN Mona - KANAN Noura;224;-1,75;-0,68;-1,06;-1,28;111;  -0,86;112;-1,71;53;-0,89;58;-0,20;61;-0,08;51;-0,72;112;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
TACHE Nina - DARYANANI Padma;16;-2,00;-2,70;0,70;-0,05;4;  0,94;12;0,00;2;-0,09;2;0,42;6;-0,08;6;0,77;12;
SUAREZ Adriana - TACHE Nina;16;-2,81;-3,14;0,33;0,50;10;  0,06;6;1,29;6;-0,69;4;0,00;3;0,00;3;0,06;6;

