Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
FEITELSON Candice - MILL Cathy;176;0,05;0,10;-0,05;-0,55;64;  0,23;110;-1,16;35;0,20;29;0,13;42;0,10;68;0,12;110;
DE MELLO Sylvia Figueira - PAIN Leda;240;0,03;0,22;-0,19;0,18;113;  -0,53;125;0,90;57;-0,55;56;-0,15;70;-0,67;55;-0,15;125;
DEWI Suci Amita - MURNIATI Kristina Wahyu;240;0,03;0,05;-0,02;-0,02;106;  -0,02;132;-0,28;48;0,19;58;-0,40;59;-0,07;73;0,20;132;
FARHOLT Stense - RAHELT Maria Marit;224;0,02;0,01;0,01;0,16;107;  -0,14;115;-0,23;50;0,51;57;0,04;52;-0,52;63;0,13;115;
ZHANG Yalan - GU Ling;224;0,01;0,06;-0,05;0,11;102;  -0,20;121;-0,11;53;0,35;49;0,09;62;-0,44;59;-0,03;121;
DAMAYANTI Fera - RIANTINI -;208;-0,01;-0,26;0,25;0,28;105;  0,21;102;0,59;50;-0,01;55;0,30;46;-0,09;56;0,13;102;
TAN Gemma - GALLEGO Tina J, Del;160;-0,07;-0,18;0,11;0,05;73;  0,16;84;-0,65;37;0,77;36;-0,14;45;0,10;39;0,19;84;
JENSEN Anita - RASMUSSEN Helle;224;-0,10;0,03;-0,13;-0,22;102;  -0,06;122;-0,09;49;-0,34;53;0,30;66;-0,54;56;0,03;122;
ADRAIN Di - HULETT Margie;224;-0,12;-0,12;0,00;0,19;103;  -0,15;121;0,07;55;0,32;48;-0,28;62;-0,10;59;0,04;121;
DEORA Hema - KARMARKAR Marianne;224;-0,18;0,19;-0,37;-0,28;107;  -0,46;115;-0,17;54;-0,40;53;0,09;60;-0,14;55;-0,44;115;
TAN Gemma - EGAN Victoria;128;-0,21;-0,38;0,17;0,02;67;  0,34;61;0,40;37;-0,44;30;0,23;26;0,34;35;0,04;61;
WORTEL Meike - MICHIELSEN Marion;208;-0,22;-0,31;0,09;0,62;101;  -0,42;107;0,48;53;0,79;48;-0,00;55;-0,27;52;-0,29;107;
TRAVIS Barbara - HAVAS Elizabeth;256;-0,23;-0,15;-0,08;-0,26;129;  0,10;126;-0,53;62;0,00;67;0,15;63;-0,21;63;0,13;126;
SVER Nikica - PILIPOVIC Marina;304;-0,23;-0,31;0,08;0,15;159;  0,01;145;0,46;78;-0,15;81;0,28;69;0,29;76;-0,28;145;
SUMAMPOUW Conny - KORENGKENG Irne;224;-0,24;-0,07;-0,17;-0,15;101;  -0,18;122;-0,55;50;0,24;51;0,12;58;0,06;64;-0,27;122;
RUSO Sandra - PECINA Planinka (Nina);176;-0,25;0,11;-0,36;-0,21;91;  -0,53;83;-0,62;45;0,19;46;0,10;41;-0,16;42;-0,49;83;
MULLER Renata - PETROVIC Izvorka;192;-0,29;0,13;-0,42;-0,11;103;  -0,77;89;-0,40;56;0,23;47;0,11;45;0,00;44;-0,83;89;
CORMACK Jan - ALABASTER Jan;256;-0,29;-0,17;-0,12;-0,22;123;  -0,03;132;-0,59;59;0,12;64;-0,01;69;-0,09;63;0,02;132;
SARWAT Safeya (Sophie) - HAMDY Nessrine;208;-0,31;0,03;-0,34;-0,50;92;  -0,21;116;-0,43;47;-0,57;45;0,44;60;0,00;56;-0,43;116;
ZABANEH Hala - QASHU Azza;224;-0,32;-0,64;0,32;0,12;104;  0,50;118;0,55;53;-0,34;51;0,10;64;0,45;54;0,24;118;
THADANI Sheelu - KABRA Usha;224;-0,33;-0,08;-0,25;-0,27;116;  -0,23;107;-0,12;52;-0,39;64;0,04;57;-0,14;50;-0,19;107;
SCHROOR Paula - KAPLAN Rena;240;-0,36;0,01;-0,37;-0,67;115;  -0,10;122;-1,12;53;-0,30;62;-0,08;63;0,09;59;-0,10;122;
CORREA Paula - DORIA Lucia;192;-0,37;-0,06;-0,31;-0,32;102;  -0,32;89;-1,02;52;0,42;50;0,14;45;0,30;44;-0,53;89;
BOLDT Silvia Elena - IRIBARREN Gloria;240;-0,38;-0,19;-0,19;0,03;112;  -0,40;125;-0,06;52;0,11;60;-0,30;72;-0,14;53;-0,17;125;
SANDLER Ghita - BERNSTEIN Roz;224;-0,41;-0,12;-0,29;-0,40;109;  -0,18;115;-0,08;56;-0,74;53;-0,08;59;-0,07;56;-0,10;115;
SUMMERS-CALEY Sylvia - BRISEBOIS Isabelle;208;-0,42;-0,21;-0,21;-0,73;93;  0,21;115;-0,11;41;-1,22;52;0,29;60;0,17;55;-0,02;115;
ESPINOSA-PAZ Maria Teresa - ANTONINI Maria Cristina;208;-0,42;-0,01;-0,41;-0,42;110;  -0,42;96;-0,14;61;-0,77;49;-0,61;50;-0,16;46;-0,02;96;
SHIMAMURA Kyoko - TAJIMA Mitsue;224;-0,48;-0,26;-0,22;0,15;90;  -0,48;133;0,70;46;-0,42;44;0,11;69;0,14;64;-0,60;133;
THIRION Christiane - BISTOQUET Chantal;224;-0,51;-0,16;-0,35;-0,01;119;  -0,75;104;0,08;59;-0,10;60;-0,07;52;-0,06;52;-0,68;104;
BALKIN Diana - BANDUCCI Peta;224;-0,74;-0,49;-0,25;-0,08;107;  -0,40;116;0,21;50;-0,34;57;-0,08;63;-0,13;53;-0,30;116;
ABU JABER Aida - KHATTAK Yasmin;208;-0,80;-0,24;-0,56;-0,28;94;  -0,80;113;-0,62;46;0,04;48;-0,04;61;-0,08;52;-0,74;113;
SETOGUCHI Nobuko - OTA Hiroko;224;-0,84;-0,61;-0,23;-0,18;136;  -0,30;88;-0,07;68;-0,29;68;0,27;50;-0,17;38;-0,38;88;
MONDOR Francoise - REY Catherine;224;-0,87;-0,64;-0,23;-0,30;110;  -0,18;112;-0,40;69;-0,12;41;0,34;50;-0,08;62;-0,29;112;
ABU GARBIEH May - AL BITAR Mais;224;-0,88;-0,55;-0,34;-0,62;131;  0,06;93;-0,62;66;-0,61;65;-0,09;46;0,21;47;-0,00;93;
KVASNIKOFF Natasha - PELI Muguette;224;-1,68;-0,72;-0,96;-1,15;112;  -0,78;111;-1,78;53;-0,57;59;0,21;61;-0,34;50;-0,75;111;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SUN Ming - WANG Wen Fei;16;2,31;0,61;1,70;3,18;7;  0,55;9;2,20;3;3,91;4;-0,20;7;0,25;2;0,65;9;
VELHAGEN Consuelo - EGAN Victoria;16;1,50;0,87;0,63;0,04;8;  1,21;8;0,00;2;0,06;6;0,17;4;1,10;4;0,58;8;
WANG Hongli - LIU Yi Qian;32;0,53;-0,48;1,01;1,09;16;  0,94;16;1,26;13;0,33;3;0,76;8;0,95;8;0,09;16;
EGAN Victoria - MAYER Faith;64;0,41;0,91;-0,51;-1,02;32;  0,01;32;-1,95;16;-0,10;16;0,00;18;-0,49;14;0,23;32;
GALLEGO Tina J, Del - LIN Phoebe;96;-0,11;0,21;-0,33;-0,59;47;  -0,07;49;-1,21;25;0,12;22;0,04;19;-0,26;30;0,07;49;
TAN Gemma - VELHAGEN Consuelo;16;-0,75;-1,29;0,54;2,43;4;  -0,09;12;4,32;2;0,55;2;-0,48;4;-0,17;8;0,19;12;
ABU GARBIEH May - KHATTAK Yasmin;16;-1,38;-0,35;-1,02;-1,88;7;  -0,35;9;-2,05;2;-1,82;5;0,49;5;0,14;4;-0,68;9;
WILKINSON Jenny - GIBBONS Christine;16;-1,56;-0,52;-1,04;0,04;8;  -2,12;8;0,71;5;-1,07;3;0,62;5;-0,75;3;-2,22;8;
TAN Gemma - LIN Phoebe;16;-1,56;-0,66;-0,90;-1,24;8;  -0,56;8;-0,11;4;-2,37;4;-0,03;5;0,04;3;-0,55;8;

