Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
JONES Dafydd - JONES Gary;200;0,11;-0,04;0,15;0,17;89;  0,14;111;0,30;41;0,07;48;0,23;50;0,30;61;-0,13;111;
BALDURSSON Jon - JONSSON Thorlakur;160;0,11;0,01;0,10;0,51;78;  -0,28;82;0,31;45;0,77;33;-0,12;40;-0,34;42;-0,05;82;
MAGNUSSON Stephan - NIKOLENKOV Dmitrij;240;0,07;0,06;0,01;-0,14;122;  0,17;118;-0,41;60;0,11;62;0,32;63;0,09;55;-0,04;118;
DE WIJS Simon - MULLER Bauke;200;0,07;-0,14;0,21;0,43;95;  0,01;105;0,11;48;0,76;47;0,24;42;-0,23;63;0,05;105;
VAN PROOIJEN Ricco - VERHEES Jr Louk;180;0,06;0,30;-0,24;-0,04;93;  -0,45;87;-0,12;52;0,05;41;-0,13;44;-0,10;43;-0,33;87;
ZAK Piotr - ZAREMBA Jerzy;100;0,01;-0,31;0,32;0,60;51;  0,03;49;0,95;28;0,18;23;-0,19;27;-0,11;22;0,18;49;
BLAKSET Lars - SCHALTZ Martin;240;-0,00;-0,17;0,17;0,22;122;  0,11;118;0,88;52;-0,27;70;-0,10;68;-0,22;50;0,26;118;
LEVENKO Vassili - SESTER Sven;200;-0,02;-0,15;0,13;0,01;94;  0,23;105;0,17;46;-0,14;48;-0,17;53;-0,33;52;0,48;105;
CROUCH Peter - PATTERSON Derek;220;-0,03;0,01;-0,04;0,06;107;  -0,14;113;0,20;57;-0,11;50;0,08;46;-0,18;67;-0,07;113;
MULTON Franck - ZIMMERMANN Pierre;160;-0,04;-0,15;0,11;0,33;78;  -0,10;82;0,35;32;0,33;46;0,37;32;0,51;50;-0,56;82;
BRGULJAN Karlo - SASEK Tomislav;240;-0,07;0,12;-0,18;0,08;127;  -0,48;113;0,49;75;-0,51;52;-0,30;52;0,07;61;-0,38;113;
BILDE Dennis - GRAVERSEN Hans Christian;199;-0,16;-0,18;0,02;-0,34;102;  0,39;97;-0,51;52;-0,16;50;0,16;51;0,19;46;0,22;97;
POSTIC Ivan - RUSO Lara;180;-0,16;-0,19;0,02;-0,11;93;  0,17;87;-0,14;52;-0,08;41;0,02;50;0,03;37;0,14;87;
HAGEN Anders - KONOW Kasper;200;-0,18;-0,14;-0,04;-0,03;91;  -0,05;109;0,01;34;-0,05;57;0,04;51;0,06;58;-0,11;109;
KOISTINEN Kauko - NYBERG Clas;320;-0,21;0,19;-0,40;0,02;167;  -0,85;153;-0,09;90;0,14;77;-0,19;85;-0,35;68;-0,59;153;
BESSIS Michel - BESSIS Thomas;200;-0,22;0,10;-0,32;-0,73;98;  0,08;102;-0,54;49;-0,92;49;0,10;48;0,10;54;-0,02;102;
DENNING Paul - SHIELDS Patrick;220;-0,23;-0,28;0,05;0,18;107;  -0,08;112;0,17;60;0,19;47;-0,01;58;-0,17;54;0,01;112;
GOODMAN Peter - POWNALL Mike;220;-0,24;-0,01;-0,24;-0,35;102;  -0,14;116;-0,07;53;-0,66;49;0,05;54;-0,06;62;-0,13;116;
BAUSBACK Nikolas - LOEFGREN Martin;180;-0,28;-0,18;-0,10;-0,16;78;  -0,06;101;-0,18;34;-0,14;44;0,14;39;-0,15;62;-0,02;101;
BRICIU Marius - NEGOESCU Anton;200;-0,28;-0,37;0,09;0,27;100;  -0,09;99;0,09;58;0,52;42;-0,18;39;-0,15;60;0,07;99;
EINARSSON Bjarni Holmar - JORGENSEN Adalsteinn;260;-0,34;-0,33;-0,01;-0,04;142;  0,03;118;0,09;79;-0,21;63;0,34;53;0,12;65;-0,18;118;
BANCHEREAU Philippe - PALAZO Denis;199;-0,39;0,00;-0,39;-0,54;110;  -0,21;89;-0,78;62;-0,22;48;-0,17;59;0,19;30;-0,16;89;
FUCIK Jan - PURKARTHOFER Gunther;200;-0,43;-0,30;-0,13;0,21;88;  -0,40;112;0,27;38;0,16;50;0,08;59;-0,56;53;-0,17;112;
GRANSTROM Juho - PATANA Kari;320;-0,51;-0,29;-0,21;-0,05;157;  -0,38;162;-0,36;74;0,23;83;-0,23;82;0,16;80;-0,34;162;
LUKS Leo - NABER Lauri;200;-0,57;-0,02;-0,55;-0,54;95;  -0,56;105;-1,04;43;-0,13;52;0,00;51;-0,57;54;-0,27;105;
BABSCH Andreas - BIEDER Wolfgang;200;-0,58;-0,38;-0,20;-0,45;102;  0,07;98;-0,82;47;-0,14;55;0,19;47;-0,14;51;0,05;98;
FRANGOS Philippos - TILLYRI Frosso;220;-0,84;-0,40;-0,44;-0,74;107;  -0,14;113;-1,02;55;-0,45;52;-0,07;57;-0,09;56;-0,06;113;
HANDLEY-PRITCHARD Ben - IVANCIC Matej;220;-1,00;-0,44;-0,57;-0,41;100;  -0,70;120;-0,37;52;-0,46;48;-0,51;56;-0,36;64;-0,27;120;
KOLETTIS George - POLITIS Takis;220;-1,13;-0,38;-0,75;-0,74;125;  -0,75;95;-0,71;60;-0,78;65;0,05;45;-0,42;50;-0,55;95;
GEORGIADES George - IOANNOU Terpsi;200;-1,30;-0,82;-0,48;-0,27;102;  -0,69;98;-0,12;52;-0,42;50;-0,06;53;-0,26;45;-0,55;98;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
ZAK Piotr - ZAREMBA Jerzy;100;0,01;-0,31;0,32;0,60;51;  0,03;49;0,95;28;0,18;23;-0,19;27;-0,11;22;0,18;49;

