Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SLEMR Jakub - KOPECKY Michal;336;0,14;0,11;0,03;0,12;172;  -0,06;162;0,08;88;0,17;84;-0,19;86;0,47;76;-0,18;162;
CURLIN Igor - KOLDZIC Zoran;320;0,13;-0,02;0,15;0,32;153;  -0,01;165;0,24;73;0,39;80;-0,12;75;0,42;90;-0,18;165;
REPS Klaus - FRITSCHE Joerg;304;0,12;-0,11;0,24;0,22;161;  0,26;142;0,32;85;0,11;76;0,28;68;0,09;74;0,08;142;
VAINIKONIS Erikas - ARLOVICH Andrei;304;0,12;-0,03;0,15;0,13;151;  0,17;153;-0,03;70;0,28;81;-0,00;72;0,22;81;0,05;153;
VANDERVORST Mike - CAPUTO Philippe;237;0,11;0,13;-0,02;-0,17;126;  0,15;111;-0,42;59;0,05;67;-0,15;57;-0,02;54;0,24;111;
MESBUR Adam - FITZGIBBON Nicholas;288;0,11;0,02;0,08;-0,09;144;  0,26;144;0,40;62;-0,46;82;0,40;69;0,16;75;-0,02;144;
BAHBOUT Sam - DE DONDER Steven;352;0,09;0,07;0,03;-0,17;175;  0,22;176;0,12;89;-0,47;86;0,19;91;0,09;85;0,08;176;
SZEGEDI Balazs - HEGEDUS Gal;464;0,08;-0,07;0,14;0,19;231;  0,10;232;0,29;114;0,09;117;-0,03;120;-0,05;112;0,14;232;
BARBOSA Joao - SARMENTO Paulo;320;0,02;0,12;-0,10;-0,16;155;  -0,05;163;-0,21;84;-0,11;71;0,09;84;0,08;79;-0,13;163;
NIKOLCHEV Klimentin - IVANCHEV Hristo;256;0,01;-0,24;0,26;0,48;142;  -0,03;114;0,46;63;0,50;79;0,06;58;-0,02;56;-0,04;114;
OJA Olavi - MARIPUU Jaanus;288;-0,00;-0,08;0,08;-0,01;153;  0,18;135;0,00;70;-0,02;83;0,37;60;-0,00;75;0,02;135;
WINKLER Gabor - DUMBOVICH Miklos;272;-0,01;-0,29;0,28;0,37;141;  0,19;128;0,38;76;0,36;65;0,24;70;0,19;58;-0,03;128;
NAWROCKI Piotr - WIANKOWSKI Piotr;256;-0,01;-0,02;0,01;0,31;119;  -0,25;137;0,32;65;0,30;54;0,16;65;0,09;72;-0,37;137;
KONTOMITROS Konstantinos - KOUKOUSELIS Tassos;320;-0,02;-0,10;0,08;0,19;148;  -0,02;171;0,60;74;-0,22;74;0,13;89;0,17;82;-0,17;171;
ROMBAUT Jerome - VOLCKER Frederic;272;-0,03;0,02;-0,05;-0,14;131;  0,04;141;-0,18;69;-0,11;62;0,07;71;0,20;70;-0,09;141;
BILUSIC  Ivan - BOREVKOVIC Goran;320;-0,03;0,11;-0,14;-0,29;169;  0,02;151;-0,71;85;0,14;84;-0,02;84;-0,12;67;0,08;151;
POTTAGE Julian - RATCLIFF Tony;336;-0,03;0,04;-0,07;0,10;158;  -0,22;178;0,28;68;-0,04;90;-0,16;80;0,07;98;-0,19;178;
MORARU Dan - TEODORESCU Cornel;400;-0,03;0,01;-0,04;-0,17;210;  0,10;189;-0,09;118;-0,27;92;-0,03;96;0,28;93;-0,02;189;
NORTON Ben - BELL Michael;351;-0,04;-0,11;0,07;0,25;199;  -0,18;152;0,36;98;0,15;101;-0,28;69;0,07;83;-0,09;152;
VOZABAL David - KLEMS Erik;304;-0,04;-0,08;0,03;-0,12;149;  0,18;153;0,21;68;-0,40;81;0,22;79;0,23;74;-0,04;153;
AA Terje - LIVGARD Allan;207;-0,06;0,01;-0,07;-0,21;108;  0,08;98;-0,31;52;-0,13;56;-0,23;51;-0,01;47;0,20;98;
MICHIELSEN Marion - CULLIN Per-Ola;288;-0,08;0,04;-0,11;-0,42;119;  0,11;166;-0,32;54;-0,51;65;0,08;95;-0,04;71;0,08;166;
PILON Dominique - BOMPIS Marc;288;-0,08;0,06;-0,14;-0,19;145;  -0,10;141;-0,15;71;-0,23;74;0,22;66;-0,03;75;-0,19;141;
NIGUL Hendrik - TOOMERE Taavi;320;-0,09;0,02;-0,11;-0,24;177;  0,06;142;0,27;77;-0,64;100;-0,02;73;0,30;69;-0,08;142;
NORRIS John - MARQUARDSEN Andreas;240;-0,09;-0,07;-0,02;0,03;135;  -0,09;103;0,05;68;-0,00;67;-0,09;53;0,08;50;-0,08;103;
DONEV Grozio - DRAGANOV Zhivko;335;-0,09;-0,01;-0,08;-0,01;150;  -0,14;183;-0,09;79;0,08;71;0,16;90;-0,04;93;-0,19;183;
BERTHEAU Peter - HULT Simon;320;-0,10;0,04;-0,14;-0,39;164;  0,12;155;-0,30;80;-0,47;84;-0,19;81;0,05;74;0,19;155;
PROTONOTARIOS Manolis - DELIMPALTADAKIS Nikos;336;-0,12;0,16;-0,28;-0,11;173;  -0,46;162;-0,01;90;-0,22;83;0,05;86;-0,05;76;-0,46;162;
MOLDOVAN Daniel - MORARU Marius;384;-0,13;-0,03;-0,10;-0,07;183;  -0,12;200;-0,17;94;0,05;89;-0,17;94;0,14;106;-0,12;200;
ZOZIS Sotirios - ANGELOPOULOS Petros;272;-0,13;-0,03;-0,10;-0,19;126;  -0,02;146;-0,08;60;-0,29;66;-0,17;76;-0,02;70;0,08;146;
SCHWERDT Christian - LINDE Julius;304;-0,14;-0,16;0,02;-0,16;150;  0,20;153;-0,16;75;-0,15;75;0,16;80;0,03;73;0,10;153;
NANEV Ivan - GUNEV Rossen;336;-0,15;-0,06;-0,09;0,02;175;  -0,21;160;-0,08;84;0,12;91;-0,03;75;-0,10;85;-0,15;160;
JONSSON Birkir - MAGNUSSON Ragnar;320;-0,16;-0,20;0,04;0,08;169;  0,00;151;0,52;81;-0,33;88;0,19;75;0,06;76;-0,12;151;
ROLL Josef - LEVIN Amir;272;-0,16;-0,07;-0,09;-0,05;127;  -0,11;144;-0,20;66;0,10;61;-0,16;81;0,12;63;-0,08;144;
SIGURJONSSON Julius - KARLSSON Snorri;288;-0,17;0,03;-0,19;0,04;141;  -0,42;147;0,04;80;0,05;61;0,22;67;0,12;80;-0,58;147;
CARIC Jurica - DIKLIC Dubravko;304;-0,18;-0,04;-0,14;0,01;150;  -0,28;152;-0,18;83;0,25;67;-0,01;73;0,06;79;-0,31;152;
SANDERS Derek - ADAMSON Alex;368;-0,18;0,06;-0,24;-0,40;192;  -0,07;175;-0,67;104;-0,08;88;-0,19;84;0,16;91;-0,06;175;
BASABE Enrique - DE LA MAZA Manuel;304;-0,18;-0,16;-0,03;-0,12;157;  0,08;143;0,04;76;-0,27;81;-0,06;82;-0,24;61;0,22;143;
JONES Gary - LAMFORD Paul;224;-0,22;-0,09;-0,13;0,04;118;  -0,32;105;0,19;61;-0,13;57;-0,42;53;-0,10;52;-0,06;105;
PAREZANIN Darko - GLIGORIJEVIC Marko;288;-0,23;0,01;-0,24;-0,05;148;  -0,44;139;0,08;79;-0,20;69;-0,15;75;-0,26;64;-0,24;139;
NEIMANIS Janis - JANSONS Ugis;304;-0,25;-0,01;-0,24;-0,11;134;  -0,35;167;-0,10;70;-0,12;64;-0,02;81;0,31;86;-0,50;167;
PLACKETT Richard Mark - DENNING Paul;336;-0,25;0,05;-0,30;-0,26;177;  -0,35;157;-0,16;99;-0,38;78;0,11;71;-0,05;86;-0,38;157;
UZUM Dogan - KIZILOK Omer;368;-0,28;-0,19;-0,09;-0,09;200;  -0,09;166;-0,20;95;0,00;105;0,14;78;-0,41;88;0,06;166;
CARRASCO Gabriel - FRACTMAN Gabriel;320;-0,29;0,07;-0,36;-0,41;161;  -0,32;158;-0,47;79;-0,34;82;-0,03;78;-0,08;80;-0,26;158;
BENDIKS Janis - BETHERS Janis;319;-0,30;-0,26;-0,04;-0,01;152;  -0,07;166;-0,26;75;0,23;77;-0,03;81;-0,05;85;-0,03;166;
JIMENEZ Ignacio - KNAP Andrzej;304;-0,31;-0,13;-0,18;0,08;134;  -0,39;168;0,15;57;0,03;77;-0,05;84;-0,11;84;-0,31;168;
ZUNIC Luka - CEKOL Goran;304;-0,32;-0,41;0,09;0,22;128;  -0,00;174;0,19;64;0,25;64;0,04;95;0,17;79;-0,10;174;
TOMMASINI Stefano - GREEN Ben;240;-0,32;-0,15;-0,17;-0,24;114;  -0,10;125;-0,12;56;-0,37;58;-0,08;58;0,64;67;-0,40;125;
BELGU Bora - SOHTORIK Yusuf;304;-0,36;-0,05;-0,31;-0,12;144;  -0,49;159;-0,53;64;0,20;80;-0,17;85;0,01;74;-0,40;159;
OLANSKI Wojtek - VAINIKONIS Vytautas;176;-0,37;-0,27;-0,09;-0,09;91;  -0,09;84;-0,33;48;0,18;43;0,10;38;-0,35;46;0,05;84;
WELLAND Roy - AUKEN Sabine;320;-0,41;-0,21;-0,20;0,22;142;  -0,54;178;0,09;74;0,36;68;-0,28;81;-0,20;97;-0,30;178;
ROMANOVSKA Maija - ILZINS Janis;304;-0,53;-0,19;-0,34;0,04;158;  -0,75;145;0,24;85;-0,20;73;0,07;61;-0,30;84;-0,61;145;
UMUR Omer Celal - ASLAN Bulent;224;-0,53;-0,21;-0,33;-0,36;120;  -0,29;104;-0,12;65;-0,63;55;0,03;54;-0,28;50;-0,18;104;
BAGORDO Alessandro - FOSCHINI  Luca;400;-0,57;-0,27;-0,30;-0,27;199;  -0,32;200;-0,21;111;-0,35;88;-0,08;91;-0,08;109;-0,24;200;
SOGLIA Roberto - CAPELLO Gianluca;320;-0,60;-0,41;-0,19;-0,08;151;  -0,30;168;-0,13;67;-0,04;84;-0,15;85;-0,05;83;-0,20;168;
SHENKIN Barnet J - LEVINSON Stephen;336;-0,62;-0,20;-0,42;-0,60;150;  -0,28;186;-0,26;72;-0,91;78;-0,03;97;-0,10;89;-0,21;186;
SNORRASON Gudmundur - EIRIKSSON Sveinn Runar;320;-0,62;-0,48;-0,14;-0,17;163;  -0,11;157;-0,56;69;0,12;94;0,22;77;0,02;80;-0,23;157;
MELCAK Martin - VOJTIK Jakub;272;-0,63;-0,27;-0,35;-0,25;125;  -0,45;146;-0,67;55;0,08;70;-0,22;75;-0,33;71;-0,17;146;
STANKOVIC Aleksandar - USCUMLIC Milan;318;-0,65;-0,24;-0,41;-0,19;168;  -0,66;148;-0,18;79;-0,19;89;-0,40;57;-0,14;91;-0,42;148;
PLOSCARU Ioan Laurentiu - COLDEA Ionut;144;-0,77;-0,23;-0,55;-0,36;73;  -0,74;71;-0,50;34;-0,24;39;-0,62;43;0,12;28;-0,40;71;
PLEYDELL-BOUVERIE Archie - MARSHALL Finlay;224;-1,16;-0,79;-0,36;-0,20;90;  -0,49;130;-0,36;50;-0,00;40;-0,07;68;-0,07;62;-0,41;130;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
PLACKETT Richard Mark - LAMFORD Paul;16;0,17;-0,24;0,40;0,39;11;  0,44;5;0,98;6;-0,33;5;0,24;3;-0,37;2;0,44;5;
VERSACE Alfredo - DONATI Giovanni;16;0,10;0,03;0,07;-0,07;10;  0,31;6;-1,89;3;0,70;7;0,04;1;0,22;5;0,13;6;
KLEMS Erik - KOPECKY Michal;16;0,07;-0,37;0,44;-0,92;9;  2,19;7;-2,15;5;0,61;4;0,91;6;0,00;1;1,41;7;
SZABO Csaba - DUMBOVICH Miklos;32;-0,01;-0,65;0,64;0,69;20;  0,55;12;-0,79;9;1,90;11;0,16;4;-0,05;8;0,53;12;
RATCLIFF Tony - LAMFORD Paul;16;-0,35;-0,08;-0,27;-0,61;8;  0,07;8;-3,92;3;1,38;5;-0,90;5;-0,66;3;0,88;8;
SOGLIA Roberto - FAZZARDI Gianfranco;80;-0,42;-0,11;-0,31;-0,57;35;  -0,11;45;0,22;19;-1,49;16;0,16;20;0,01;25;-0,19;45;
CAPELLO Gianluca - FAZZARDI Gianfranco;32;-0,79;-0,49;-0,30;-0,24;16;  -0,35;16;-0,23;9;-0,26;7;-0,09;10;-0,87;6;0,03;16;
SOHTORIK Yusuf - ASLAN Bulent;32;-0,92;-0,63;-0,29;0,02;17;  -0,64;15;-0,43;10;0,66;7;0,65;7;-0,41;8;-0,73;15;
PAOLUCCI Mauro - FAZZARDI Gianfranco;95;-1,20;-1,14;-0,06;0,03;37;  -0,12;58;0,03;20;0,02;17;0,02;31;0,09;27;-0,17;58;

