DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1DX, E, H, 5           1    5.38   36.92   18.46
4S, S, H, 10           2    9.23    9.23   50.00   50.00
4SX, S, H, 10          1    4.62    4.62   50.00   50.00
5C, N, H, 11           3   19.23   16.73   52.50   50.00
5C, S, D, 12           2    9.23   24.40   47.14   37.69
5C, S, H, 10           1   75.38   24.40   52.86   98.13
5C, S, H, 11           5   19.23   24.40   52.86   41.98
5H, E, C, 10           1   29.23   28.05   50.33   50.85
5HX, E, C, 10         22   49.23   45.63   51.01   52.59
5HX, E, H, 10          1   49.23   45.63   28.99   74.62
5HX, W, C, 10          1   49.23   49.23   50.00   50.00
5S, S, H, 10           2   75.38   75.38   50.00   50.00
6C, S, D, 10           1   80.77   55.49   29.34   95.93
6C, S, D, 11           2   75.38   55.49   29.34   90.55
6C, S, D, 12           1    3.08   55.49   29.34   18.24
6CX, N, D, 12          1    0.77   60.77  -10.00   50.00
6CX, S, D, 12          1    0.77   58.06   27.14   15.56
6CX, S, H, 11          1   80.77   58.06   72.86   49.85
6HX, E, C, 10          3   71.54   69.91   50.46   51.17
6HX, E, C, 11          1   49.23   69.91   50.46   28.87
6HX, E, D, 10          1   71.54   69.91   51.63   50.00

DECLARER, Board 11|5

Contract           Count Overall     Bid    Play
2NT, S, C, 9           1    3.08    3.08   50.00
2S, N, H, 10           1   16.15   20.63   45.52
2S, N, H, 11           1   33.85   20.63   63.21
3CX, E, D, 7           1   60.00   67.70   42.30
3H, S, C, 8            1    0.00    0.00   50.00
3HX, W, D, 5           1    1.54    1.54   50.00
3S, N, D, 10           1   16.15   20.63   45.52
3S, N, D, 9            1    1.54   20.63   30.91
3S, N, H, 10          14   16.15   20.63   45.52
3S, N, H, 11           6   33.85   20.63   63.21
4CX, E, S, 7           1   56.92   57.54   49.38
4S, N, C, 10           1   63.85   69.30   44.55
4S, N, H, 10          22   63.85   69.30   44.55
4S, N, H, 11           8   88.46   69.30   69.16
4S, S, H, 10           1   63.85   63.85   50.00
4SX, N, H, 10          1   95.38   94.92   50.47
5CX, E, D, 7           1    1.54   12.62   38.92
5CX, E, S, 7           1    1.54   12.62   38.92
5CX, E, S, 8           1   56.92   12.62   94.31
5DX, E, C, 8           1   56.92   56.92   50.00

DEFENDER, Board 11|5

Contract           Count Overall     Bid    Lead Restdef
2NT, S, C, 9           1   96.92   96.92   50.00   50.00
2S, N, H, 10           1   83.85   79.37   49.47   55.01
2S, N, H, 11           1   66.15   79.37   49.47   37.31
3CX, E, D, 7           1   40.00   32.30   57.70   50.00
3H, S, C, 8            1  100.00  100.00   50.00   50.00
3HX, W, D, 5           1   98.46   98.46   50.00   50.00
3S, N, D, 10           1   83.85   79.37   61.79   42.69
3S, N, D, 9            1   98.46   79.37   61.79   57.31
3S, N, H, 10          14   83.85   79.37   49.47   55.01
3S, N, H, 11           6   66.15   79.37   49.47   37.31
4CX, E, S, 7           1   43.08   42.46   49.59   51.03
4S, N, C, 10           1   36.15   30.70   55.45   50.00
4S, N, H, 10          22   36.15   30.70   48.49   56.97
4S, N, H, 11           8   11.54   30.70   48.49   32.35
4S, S, H, 10           1   36.15   36.15   50.00   50.00
4SX, N, H, 10          1    4.62    5.08   48.23   51.31
5CX, E, D, 7           1   98.46   87.38   61.08   50.00
5CX, E, S, 7           1   98.46   87.38   42.62   68.46
5CX, E, S, 8           1   43.08   87.38   42.62   13.08
5DX, E, C, 8           1   43.08   43.08   50.00   50.00

DECLARER, Board 11|6

Contract           Count Overall     Bid    Play
2H, N, S, 10           3    4.62    6.49   48.13
2H, N, S, 11           2   12.31    6.49   55.82
3DX, E, S, 7           1    3.08   51.54    1.54
3H, N, S, 10           4    4.62    6.49   48.13
3NT, N, D, 10          3   70.77   74.12   46.65
3NT, N, S, 10          8   70.77   74.12   46.65
3NT, N, S, 11          1   93.08   74.12   68.96
3NT, N, S, 12          1   95.38   74.12   71.26
3NT, S, S, 10          4   70.77   75.23   45.54
3NT, S, S, 11          1   93.08   75.23   67.85
3NTX, N, S, 10         1   98.46   98.68   49.78
4DX, E, D, 9           1   87.69   43.85   93.85
4H, N, H, 10           2   37.69   49.67   38.02
4H, N, S, 10          19   37.69   49.67   38.02
4H, N, S, 11           6   86.92   49.67   87.26
4H, S, D, 10           2   37.69   37.69   50.00
4H, S, H, 10           5   37.69   37.69   50.00
4HX, N, S, 11          1  100.00   97.71   52.29
5D, S, S, 11           1   15.38   15.38   50.00

DEFENDER, Board 11|6

Contract           Count Overall     Bid    Lead Restdef
2H, N, S, 10           3   95.38   93.51   49.89   51.98
2H, N, S, 11           2   87.69   93.51   49.89   44.29
3DX, E, S, 7           1   96.92   48.46   98.46   50.00
3H, N, S, 10           4   95.38   93.51   49.89   51.98
3NT, N, D, 10          3   29.23   25.88   53.35   50.00
3NT, N, S, 10          8   29.23   25.88   49.09   54.27
3NT, N, S, 11          1    6.92   25.88   49.09   31.96
3NT, N, S, 12          1    4.62   25.88   49.09   29.65
3NT, S, S, 10          4   29.23   24.77   50.00   54.46
3NT, S, S, 11          1    6.92   24.77   50.00   32.15
3NTX, N, S, 10         1    1.54    1.32   49.94   50.28
4DX, E, D, 9           1   12.31   56.15    6.15   50.00
4H, N, H, 10           2   62.31   50.33   61.98   50.00
4H, N, S, 10          19   62.31   50.33   49.32   62.66
4H, N, S, 11           6   13.08   50.33   49.32   13.43
4H, S, D, 10           2   62.31   62.31   50.00   50.00
4H, S, H, 10           5   62.31   62.31   50.00   50.00
4HX, N, S, 11          1    0.00    2.29   49.96   47.75
5D, S, S, 11           1   84.62   84.62   50.00   50.00

DECLARER, Board 12|7

Contract           Count Overall     Bid    Play
2H, W, D, 9            1   69.23   69.23   50.00
2NT, S, H, 8           1   90.77   64.09   76.67
2S, E, C, 9            3   69.23   69.29   49.95
2S, E, D, 9            1   69.23   69.29   49.95
3D, N, H, 10           1   93.85   92.73   51.11
3D, S, H, 10           1   93.85   93.85   50.00
3H, E, C, 9            1   69.23   70.33   48.90
3H, E, D, 10           1   92.31   70.33   71.98
3H, E, D, 9           11   69.23   70.33   48.90
3H, E, H, 9            1   69.23   70.33   48.90
3H, W, D, 9            6   69.23   69.23   50.00
3H, W, H, 9            1   69.23   69.23   50.00
3HX, E, H, 9           1  100.00  100.00   50.00
3NT, S, H, 5           1    4.62   52.57    2.04
3NT, W, D, 5           1    1.54    1.54   50.00
3NTX, S, S, 9          1  100.00   35.38  114.62
3S, E, C, 9            1   69.23   67.95   51.28
3S, E, D, 8            1   26.92   67.95    8.97
3S, E, D, 9            3   69.23   67.95   51.28
4D, N, H, 10           1   93.85   84.04   59.81
4H, E, C, 9            1   26.92   30.33   46.59
4H, E, D, 9            5   26.92   30.33   46.59
4H, N, D, 9            1   54.62   54.62   50.00
4H, W, D, 9           11   26.92   26.92   50.00
4S, E, C, 10           1   98.46   30.10  118.36
4S, E, D, 9            4   26.92   30.10   46.82
4SX, E, D, 9           1    3.08    9.43   43.64
5D, S, S, 10           1   54.62   54.62   50.00
5DX, N, H, 10          1    6.15    5.38   50.77
5DX, N, H, 9           1    3.08    5.38   47.69

DEFENDER, Board 12|7

Contract           Count Overall     Bid    Lead Restdef
2H, W, D, 9            1   30.77   30.77   50.00   50.00
2NT, S, H, 8           1    9.23   35.91   65.68    7.65
2S, E, C, 9            3   30.77   30.71   45.44   54.62
2S, E, D, 9            1   30.77   30.71   52.28   47.77
3D, N, H, 10           1    6.15    7.27   50.00   48.89
3D, S, H, 10           1    6.15    6.15   50.00   50.00
3H, E, C, 9            1   30.77   29.67   51.10   50.00
3H, E, D, 10           1    7.69   29.67   49.74   28.28
3H, E, D, 9           11   30.77   29.67   49.74   51.36
3H, E, H, 9            1   30.77   29.67   51.10   50.00
3H, W, D, 9            6   30.77   30.77   50.00   50.00
3H, W, H, 9            1   30.77   30.77   50.00   50.00
3HX, E, H, 9           1    0.00    0.00   50.00   50.00
3NT, S, H, 5           1   95.38   47.43   72.96   75.00
3NT, W, D, 5           1   98.46   98.46   50.00   50.00
3NTX, S, S, 9          1    0.00   64.62  -14.62   50.00
3S, E, C, 9            1   30.77   32.05   44.10   54.62
3S, E, D, 8            1   73.08   32.05   52.95   88.08
3S, E, D, 9            3   30.77   32.05   52.95   45.77
4D, N, H, 10           1    6.15   15.96   50.00   40.19
4H, E, C, 9            1   73.08   69.67   53.41   50.00
4H, E, D, 9            5   73.08   69.67   49.20   54.21
4H, N, D, 9            1   45.38   45.38   50.00   50.00
4H, W, D, 9           11   73.08   73.08   50.00   50.00
4S, E, C, 10           1    1.54   69.90   38.87   -7.23
4S, E, D, 9            4   73.08   69.90   55.56   47.62
4SX, E, D, 9           1   96.92   90.57   56.51   49.84
5D, S, S, 10           1   45.38   45.38   50.00   50.00
5DX, N, H, 10          1   93.85   94.62   50.00   49.23
5DX, N, H, 9           1   96.92   94.62   50.00   52.31

DECLARER, Board 12|8

Contract           Count Overall     Bid    Play
2NT, E, D, 11          2   13.08   12.66   50.42
3C, E, S, 10           1    9.23    9.74   49.49
3C, E, S, 11           1   10.77    9.74   51.03
3NT, E, D, 10          4   23.85   54.19   19.66
3NT, E, D, 11         24   60.77   54.19   56.58
3NT, E, D, 12          1   93.08   54.19   88.89
3NT, E, D, 6           1    0.00   54.19   -4.19
3NT, E, D, 7           1    1.54   54.19   -2.65
3NT, E, H, 11          2   60.77   54.19   56.58
3NT, E, H, 12          1   93.08   54.19   88.89
3NT, E, H, 9           1   15.38   54.19   11.20
3NT, E, S, 10          5   23.85   54.19   19.66
3NT, E, S, 11         11   60.77   54.19   56.58
3NT, E, S, 12          2   93.08   54.19   88.89
3NT, W, D, 8           1    3.85   29.49   24.36
3NT, W, H, 10          1   23.85   29.49   44.36
3NT, W, S, 11          1   60.77   29.49   81.28
3NTX, E, C, 11         1   98.46   94.79   53.67
3S, N, H, 8            1   93.85   93.33   50.51
3SX, N, H, 8           1   92.31   89.82   52.49
4DX, S, H, 7           1    3.08    3.08   50.00
5C, E, D, 10           1    3.85    7.69   46.15
5SX, N, H, 7           1    0.00    2.05   47.95

DEFENDER, Board 12|8

Contract           Count Overall     Bid    Lead Restdef
2NT, E, D, 11          2   86.92   87.34   50.26   49.32
3C, E, S, 10           1   90.77   90.26   49.74   50.77
3C, E, S, 11           1   89.23   90.26   49.74   49.23
3NT, E, D, 10          4   76.15   45.81   50.55   79.79
3NT, E, D, 11         24   39.23   45.81   50.55   42.87
3NT, E, D, 12          1    6.92   45.81   50.55   10.56
3NT, E, D, 6           1  100.00   45.81   50.55  103.64
3NT, E, D, 7           1   98.46   45.81   50.55  102.10
3NT, E, H, 11          2   39.23   45.81   46.69   46.73
3NT, E, H, 12          1    6.92   45.81   46.69   14.42
3NT, E, H, 9           1   84.62   45.81   46.69   92.12
3NT, E, S, 10          5   76.15   45.81   50.09   80.26
3NT, E, S, 11         11   39.23   45.81   50.09   43.33
3NT, E, S, 12          2    6.92   45.81   50.09   11.03
3NT, W, D, 8           1   96.15   70.51   75.64   50.00
3NT, W, H, 10          1   76.15   70.51   55.64   50.00
3NT, W, S, 11          1   39.23   70.51   18.72   50.00
3NTX, E, C, 11         1    1.54    5.21   46.33   50.00
3S, N, H, 8            1    6.15    6.67   50.00   49.49
3SX, N, H, 8           1    7.69   10.18   50.00   47.51
4DX, S, H, 7           1   96.92   96.92   50.00   50.00
5C, E, D, 10           1   96.15   92.31   53.85   50.00
5SX, N, H, 7           1  100.00   97.95   50.00   52.05

DECLARER, Board 13|10

Contract           Count Overall     Bid    Play
1NT, E, D, 10          7   86.15   71.83   64.32
1NT, E, D, 11          2   94.62   71.83   72.78
1NT, E, D, 8           4   43.85   71.83   22.01
1NT, E, D, 9          13   69.23   71.83   47.40
1NT, W, D, 9           1   69.23   69.23   50.00
2C, E, H, 8            1   11.54   33.56   27.97
2C, E, S, 9            1   26.92   33.56   43.36
2D, E, H, 8            1   11.54   11.54   50.00
2D, W, D, 7            1    6.92    6.92   50.00
2DX, N, S, 6           1    1.54    1.54   50.00
2S, E, H, 7            1    6.92    6.92   50.00
2S, N, H, 6            1    7.69    7.69   50.00
2S, W, H, 5            1    0.00    1.15   48.85
2S, W, H, 6            1    2.31    1.15   51.15
3C, E, C, 10           3   52.31   33.10   69.21
3C, E, C, 11           1   69.23   33.10   86.13
3C, E, C, 9            1   26.92   33.10   43.82
3C, E, D, 8            1    6.92   33.10   23.82
3C, E, D, 9            1   26.92   33.10   43.82
3C, E, H, 10           3   52.31   33.10   69.21
3C, E, H, 8            1    6.92   33.10   23.82
3C, E, H, 9           14   26.92   33.10   43.82
3C, E, S, 10           1   52.31   33.10   69.21
3C, E, S, 9            1   26.92   33.10   43.82
3C, W, H, 7            1    2.31    2.31   50.00
3CX, E, S, 10          1  100.00   89.32   60.68
3S, N, D, 6            1    3.08    3.08   50.00

DEFENDER, Board 13|10

Contract           Count Overall     Bid    Lead Restdef
1NT, E, D, 10          7   13.85   28.17   50.00   35.68
1NT, E, D, 11          2    5.38   28.17   50.00   27.22
1NT, E, D, 8           4   56.15   28.17   50.00   77.99
1NT, E, D, 9          13   30.77   28.17   50.00   52.60
1NT, W, D, 9           1   30.77   30.77   50.00   50.00
2C, E, H, 8            1   88.46   66.44   54.25   67.77
2C, E, S, 9            1   73.08   66.44   43.95   62.69
2D, E, H, 8            1   88.46   88.46   50.00   50.00
2D, W, D, 7            1   93.08   93.08   50.00   50.00
2DX, N, S, 6           1   98.46   98.46   50.00   50.00
2S, E, H, 7            1   93.08   93.08   50.00   50.00
2S, N, H, 6            1   92.31   92.31   50.00   50.00
2S, W, H, 5            1  100.00   98.85   50.00   51.15
2S, W, H, 6            1   97.69   98.85   50.00   48.85
3C, E, C, 10           3   47.69   66.90   32.49   48.31
3C, E, C, 11           1   30.77   66.90   32.49   31.38
3C, E, C, 9            1   73.08   66.90   32.49   73.69
3C, E, D, 8            1   93.08   66.90   66.18   60.00
3C, E, D, 9            1   73.08   66.90   66.18   40.00
3C, E, H, 10           3   47.69   66.90   54.28   26.52
3C, E, H, 8            1   93.08   66.90   54.28   71.90
3C, E, H, 9           14   73.08   66.90   54.28   51.90
3C, E, S, 10           1   47.69   66.90   43.49   37.31
3C, E, S, 9            1   73.08   66.90   43.49   62.69
3C, W, H, 7            1   97.69   97.69   50.00   50.00
3CX, E, S, 10          1    0.00   10.68   40.08   49.24
3S, N, D, 6            1   96.92   96.92   50.00   50.00

DECLARER, Board 13|9

Contract           Count Overall     Bid    Play
2H, S, S, 11           1   15.38   15.22   50.17
3NT, N, C, 10          1   65.38   80.26   35.13
3NT, N, C, 11          1   87.69   80.26   57.44
3NT, N, S, 11          1   87.69   80.26   57.44
3NT, S, C, 10          7   65.38   54.88   60.50
3NT, S, C, 11          3   87.69   54.88   82.81
3NT, S, C, 12          1   99.23   54.88   94.35
3NT, S, C, 8           4    6.92   54.88    2.04
3NT, S, C, 9           6   20.77   54.88   15.89
3NT, S, D, 11          1   87.69   54.88   82.81
3NT, S, H, 10          1   65.38   54.88   60.50
3NT, S, S, 10          1   65.38   54.88   60.50
3NT, S, S, 11          5   87.69   54.88   82.81
3NT, S, S, 12          1   99.23   54.88   94.35
3NT, S, S, 8           1    6.92   54.88    2.04
4H, N, C, 10           9   41.54   42.69   48.85
4H, N, C, 11           1   76.15   42.69   83.46
4H, N, C, 9            2    6.92   42.69   14.23
4H, N, D, 10           3   41.54   42.69   48.85
4H, N, D, 9            1    6.92   42.69   14.23
4H, N, H, 12           1   96.92   42.69  104.23
4H, N, S, 11           1   76.15   42.69   83.46
4H, S, C, 10           5   41.54   47.83   43.71
4H, S, C, 11           1   76.15   47.83   78.32
4H, S, D, 10           2   41.54   47.83   43.71
4H, S, D, 9            1    6.92   47.83    9.09
4H, S, H, 11           1   76.15   47.83   78.32
4NT, S, S, 9           1    6.92   50.77    6.15
4S, N, C, 10           1   41.54   41.54   50.00
4S, S, C, 10           1   41.54   41.54   50.00

DEFENDER, Board 13|9

Contract           Count Overall     Bid    Lead Restdef
2H, S, S, 11           1   84.62   84.78   49.83   50.00
3NT, N, C, 10          1   34.62   19.74   53.72   61.15
3NT, N, C, 11          1   12.31   19.74   53.72   38.85
3NT, N, S, 11          1   12.31   19.74   42.56   50.00
3NT, S, C, 10          7   34.62   45.12   58.58   30.92
3NT, S, C, 11          3   12.31   45.12   58.58    8.61
3NT, S, C, 12          1    0.77   45.12   58.58   -2.93
3NT, S, C, 8           4   93.08   45.12   58.58   89.38
3NT, S, C, 9           6   79.23   45.12   58.58   75.53
3NT, S, D, 11          1   12.31   45.12   17.19   50.00
3NT, S, H, 10          1   34.62   45.12   39.50   50.00
3NT, S, S, 10          1   34.62   45.12   34.79   54.70
3NT, S, S, 11          5   12.31   45.12   34.79   32.39
3NT, S, S, 12          1    0.77   45.12   34.79   20.85
3NT, S, S, 8           1   93.08   45.12   34.79  113.16
4H, N, C, 10           9   58.46   57.31   54.04   47.12
4H, N, C, 11           1   23.85   57.31   54.04   12.50
4H, N, C, 9            2   93.08   57.31   54.04   81.73
4H, N, D, 10           3   58.46   57.31   59.81   41.35
4H, N, D, 9            1   93.08   57.31   59.81   75.96
4H, N, H, 12           1    3.08   57.31   -4.23   50.00
4H, N, S, 11           1   23.85   57.31   16.54   50.00
4H, S, C, 10           5   58.46   52.17   50.52   55.77
4H, S, C, 11           1   23.85   52.17   50.52   21.15
4H, S, D, 10           2   58.46   52.17   67.83   38.46
4H, S, D, 9            1   93.08   52.17   67.83   73.08
4H, S, H, 11           1   23.85   52.17   21.68   50.00
4NT, S, S, 9           1   93.08   49.23   32.99  110.85
4S, N, C, 10           1   58.46   58.46   50.00   50.00
4S, S, C, 10           1   58.46   58.46   50.00   50.00

DECLARER, Board 14|11

Contract           Count Overall     Bid    Play
1NT, N, C, 6           3   43.08   52.53   40.54
1NT, N, C, 7           1   80.77   52.53   78.24
1NT, N, D, 5           1   15.38   52.53   12.85
1NT, N, H, 6           1   43.08   52.53   40.54
1NT, N, S, 6           6   43.08   52.53   40.54
1NT, N, S, 7           2   80.77   52.53   78.24
1NT, S, C, 6           1   43.08   45.58   47.50
1NT, W, H, 7           1   75.38   54.62   70.77
1NTX, W, C, 6          1    6.15   51.56    4.59
2C, E, H, 7            1   33.85   54.62   29.23
2D, N, H, 7            1   43.08   43.08   50.00
2D, S, S, 7            1   43.08   68.99   24.09
2D, S, S, 8            9   80.77   68.99   61.78
2DX, S, H, 7           1   15.38   72.52   -7.13
2H, N, D, 6            1   15.38   45.59   19.79
2H, N, D, 7            2   43.08   45.59   47.48
2H, N, D, 8            1   98.46   45.59  102.87
2H, N, H, 6            2   15.38   45.59   19.79
2H, N, H, 7            4   43.08   45.59   47.48
2NT, N, S, 6           1   15.38   22.81   42.58
2NT, S, C, 5           1    3.08   19.23   33.85
2NT, S, C, 6           1   15.38   19.23   46.15
2NT, S, H, 7           1   43.08   19.23   73.85
2S, E, C, 6            1    6.15   31.82   24.34
2S, E, D, 8            1   94.62   31.82  112.80
2S, E, H, 6            1    6.15   31.82   24.34
2S, E, H, 7            6   33.85   31.82   52.03
2S, W, C, 8            1   94.62   94.62   50.00
2SX, E, H, 6           1    0.00   12.87   37.13
2SX, E, H, 7           1    6.15   12.87   43.28
3CX, E, H, 8           1    6.15    3.08   53.08
3D, N, H, 7            1   15.38   15.38   50.00
3D, S, S, 7            1   15.38   34.42   30.96
3D, S, S, 8            2   43.08   34.42   58.65
3DX, S, H, 7           1    1.54   11.06   40.48
3H, N, D, 8            1   43.08   17.06   76.01
3NT, N, C, 7           1   15.38    6.69   58.69
3NT, N, S, 7           1   15.38    6.69   58.69
4DX, S, H, 7           1    0.00    1.06   48.94

DEFENDER, Board 14|11

Contract           Count Overall     Bid    Lead Restdef
1NT, N, C, 6           3   56.92   47.47   44.38   65.08
1NT, N, C, 7           1   19.23   47.47   44.38   27.38
1NT, N, D, 5           1   84.62   47.47   87.15   50.00
1NT, N, H, 6           1   56.92   47.47   59.46   50.00
1NT, N, S, 6           6   56.92   47.47   48.15   61.31
1NT, N, S, 7           2   19.23   47.47   48.15   23.62
1NT, S, C, 6           1   56.92   54.42   61.73   40.77
1NT, W, H, 7           1   24.62   45.38   29.23   50.00
1NTX, W, C, 6          1   93.85   48.44   95.41   50.00
2C, E, H, 7            1   66.15   45.38   50.00   70.77
2D, N, H, 7            1   56.92   56.92   50.00   50.00
2D, S, S, 7            1   56.92   31.01   44.02   81.89
2D, S, S, 8            9   19.23   31.01   44.02   44.20
2DX, S, H, 7           1   84.62   27.48  107.13   50.00
2H, N, D, 6            1   84.62   54.41   35.90   94.31
2H, N, D, 7            2   56.92   54.41   35.90   66.62
2H, N, D, 8            1    1.54   54.41   35.90   11.23
2H, N, H, 6            2   84.62   54.41   61.75   68.46
2H, N, H, 7            4   56.92   54.41   61.75   40.77
2NT, N, S, 6           1   84.62   77.19   49.11   58.31
2NT, S, C, 5           1   96.92   80.77   57.95   58.21
2NT, S, C, 6           1   84.62   80.77   57.95   45.90
2NT, S, H, 7           1   56.92   80.77   26.15   50.00
2S, E, C, 6            1   93.85   68.18   75.66   50.00
2S, E, D, 8            1    5.38   68.18  -12.80   50.00
2S, E, H, 6            1   93.85   68.18   54.13   71.54
2S, E, H, 7            6   66.15   68.18   54.13   43.85
2S, W, C, 8            1    5.38    5.38   50.00   50.00
2SX, E, H, 6           1  100.00   87.13   58.08   54.79
2SX, E, H, 7           1   93.85   87.13   58.08   48.63
3CX, E, H, 8           1   93.85   96.92   50.00   46.92
3D, N, H, 7            1   84.62   84.62   50.00   50.00
3D, S, S, 7            1   84.62   65.58   45.61   73.43
3D, S, S, 8            2   56.92   65.58   45.61   45.74
3DX, S, H, 7           1   98.46   88.94   59.52   50.00
3H, N, D, 8            1   56.92   82.94   43.06   30.92
3NT, N, C, 7           1   84.62   93.31   48.69   42.62
3NT, N, S, 7           1   84.62   93.31   49.92   41.38
4DX, S, H, 7           1  100.00   98.94   51.06   50.00

DECLARER, Board 14|12

Contract           Count Overall     Bid    Play
1NT, E, S, 7           1   26.15   42.88   33.28
1NTX, N, D, 5          1    6.92   52.55    4.37
2C, E, H, 9            1   43.85   43.85   50.00
2C, W, C, 10           1   67.69   59.74   57.95
2C, W, D, 10           2   67.69   59.74   57.95
2C, W, H, 10           1   67.69   59.74   57.95
2C, W, S, 10           3   67.69   59.74   57.95
2C, W, S, 9            3   43.85   59.74   34.10
2D, E, S, 11           2   79.23   45.62   83.62
2D, E, S, 8            2   26.15   45.62   30.54
2D, E, S, 9            1   43.85   45.62   48.23
2H, W, D, 7            1   19.23   37.69   31.54
2H, W, H, 8            1   43.85   37.69   56.15
2H, W, S, 8            1   43.85   37.69   56.15
